source_kind,source_file,source_line,instruction_offset,caller_class,caller_method,caller_descriptor,sink,classification,scope_or_limit,evidence_status
fosservices,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,293738,0x0526f4,EnableDisableComponentAction,enableDisableComponent,(Ljava/lang/String;IZ)V,AmazonPackageManager.setApplicationEnabledSetting,amazon_product_policy_fixed_component_writer,in-process ProductPolicy action; supplied fixed policy component/package,static_invoke_site_only
services,decompiled/baksmali/vdexExtractor/services/disassembly.log,56994,0x05da2c,BluetoothManagerService,updateOppLauncherComponentState,(IZ)V,PackageManager.setComponentEnabledSetting,other_system_component_writer,BluetoothManagerService#updateOppLauncherComponentState,static_invoke_site_only
services,decompiled/baksmali/vdexExtractor/services/disassembly.log,85596,0x07cc08,InputMethodManagerService,updateInputMethodsFromSettingsLocked,(Z)V,PackageManager.setApplicationEnabledSetting,other_system_component_writer,InputMethodManagerService#updateInputMethodsFromSettingsLocked,static_invoke_site_only
services,decompiled/baksmali/vdexExtractor/services/disassembly.log,158798,0x0d7ba8,ActivityManagerService.DevelopmentSettingsObserver,onChange,()V,PackageManager.setComponentEnabledSetting,other_system_component_writer,ActivityManagerService.DevelopmentSettingsObserver#onChange,static_invoke_site_only
services,decompiled/baksmali/vdexExtractor/services/disassembly.log,500744,0x2dbb62,PackageManagerShellCommand,runSetEnabledSetting,(I)I,PackageManager.setApplicationEnabledSetting,shell_command_to_framework_writer,shell command front end; framework caller checks still apply,static_invoke_site_only
services,decompiled/baksmali/vdexExtractor/services/disassembly.log,500765,0x2dbbc2,PackageManagerShellCommand,runSetEnabledSetting,(I)I,PackageManager.setComponentEnabledSetting,shell_command_to_framework_writer,shell command front end; framework caller checks still apply,static_invoke_site_only
services,decompiled/baksmali/vdexExtractor/services/disassembly.log,785598,0x108d22,ActivityManagerService,systemReady,(Ljava/lang/Runnable;Landroid/util/TimingsTraceLog;)V,PackageManager.setComponentEnabledSetting,other_system_component_writer,ActivityManagerService#systemReady,static_invoke_site_only
services,decompiled/baksmali/vdexExtractor/services/disassembly.log,832035,0x1de190,DevicePolicyManagerService,enableIfNecessary,(Ljava/lang/String;I)V,PackageManager.setApplicationEnabledSetting,device_policy_trusted_writer,device/profile-owner path; not ordinary shell evidence,static_invoke_site_only
services,decompiled/baksmali/vdexExtractor/services/disassembly.log,840319,0x1de234,DevicePolicyManagerService,enableSystemApp,(Landroid/content/ComponentName;Ljava/lang/String;Ljava/lang/String;)V,PackageManager.setApplicationEnabledSetting,device_policy_trusted_writer,device/profile-owner path; not ordinary shell evidence,static_invoke_site_only
services,decompiled/baksmali/vdexExtractor/services/disassembly.log,934926,0x2b7e8a,PackageManagerService,clearPackageStateForUserLIF,(Lcom/android/server/pm/PackageSetting;ILcom/android/server/pm/PackageManagerService$PackageRemovedInfo;)Z,PackageManagerService.clearPackagePreferredActivities,framework_internal_sink_or_helper,framework implementation or internal helper,static_invoke_site_only
services,decompiled/baksmali/vdexExtractor/services/disassembly.log,949444,0x2d1072,PackageManagerService,removePackageDataLIF,(Lcom/android/server/pm/PackageSetting;[ILcom/android/server/pm/PackageManagerService$PackageRemovedInfo;IZ)V,PackageManagerService.clearPackagePreferredActivities,framework_internal_sink_or_helper,framework implementation or internal helper,static_invoke_site_only
services,decompiled/baksmali/vdexExtractor/services/disassembly.log,957018,0x2c73ec,PackageManagerService,clearPackagePreferredActivities,(Ljava/lang/String;)V,PackageManagerService.clearPackagePreferredActivities,framework_internal_sink_or_helper,framework implementation or internal helper,static_invoke_site_only
services,decompiled/baksmali/vdexExtractor/services/disassembly.log,966005,0x2d2a58,PackageManagerService,resetApplicationPreferences,(I)V,PackageManagerService.clearPackagePreferredActivities,framework_internal_sink_or_helper,framework implementation or internal helper,static_invoke_site_only
services,decompiled/baksmali/vdexExtractor/services/disassembly.log,966955,0x2d540c,PackageManagerService,setHomeActivity,(Landroid/content/ComponentName;I)V,PackageManagerService.replacePreferredActivity,framework_internal_sink_or_helper,framework implementation or internal helper,static_invoke_site_only
services,decompiled/baksmali/vdexExtractor/services/disassembly.log,1021399,0x388692,SystemImpl,enablePackageForUser,(Ljava/lang/String;ZI)V,PackageManager.setApplicationEnabledSetting,other_system_component_writer,SystemImpl#enablePackageForUser,static_invoke_site_only
