id,sink_class,operation,exact_build_path,line_or_offset,binder_interface,transaction,publication_or_service,permission_selinux_service_manager_gate,caller_or_publisher,user_scope,target_or_literal,evidence_sha256,confidence,unknowns
VE-015,PackageManagerShellCommand,shell package enable/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,500744/IP=0x2dbb62,IPackageManager,UNKNOWN,package service manager shell path,shell UID command path; standard PMS gate,PackageManagerShellCommand,--user,package argument,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,static direct,transaction UNKNOWN
VE-016,PackageManagerShellCommand,shell component enable/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,500765/IP=0x2dbbc2,IPackageManager,UNKNOWN,package service manager shell path,shell UID command path; standard PMS gate,PackageManagerShellCommand,--user,component argument,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,static direct,transaction UNKNOWN
VE-017,ActivityManagerService,systemReady component state/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,785598/IP=0x108d22,IPackageManager,UNKNOWN,system_server internal,system_server internal; user_setup_complete marker,ActivityManagerService,system lifecycle user scope,ActivityManagerStartApps,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,static direct,exact gate UNKNOWN
VE-018,DevicePolicyManagerService,enableIfNecessary/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,832035/IP=0x1de190,IPackageManager,UNKNOWN,device_policy system service,DevicePolicyManager/admin gate; caller/data-flow UNKNOWN,DevicePolicyManagerService,userId argument,device-admin package,373a51150fcb079da026b20e71d44380bc3d86e52eb88c63ebd39cfd58a6ba53,static direct,permission exactness UNKNOWN
VE-019,DevicePolicyManagerService,enableSystemApp/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,840319/IP=0x1de234,IPackageManager,UNKNOWN,device_policy system service,only system apps; delegation-enable-system-app marker,DevicePolicyManagerService,userId argument,system app package,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,static direct,transaction UNKNOWN
VE-020,PackageManagerService,common enabled-state sink/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,954239/sink helper,IPackageManager transaction target,UNKNOWN,package service manager `package`,common setEnabledSetting validation; system_server internal,PackageManagerService,userId argument,component/package state,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,static sink,SELinux exact rule UNKNOWN
VE-021,SystemImpl,enablePackageForUser/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,1021399/IP=0x388692,IPackageManager,UNKNOWN,webkit/system_server path,caller/data-flow UNKNOWN,SystemImpl,user argument,package for user,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,static direct,exact gate UNKNOWN
VE-022,PackageManagerService,setHomeActivity/setHomeActivity,decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/PackageManagerService.java,13817,IPackageManager,UNKNOWN,package service manager `package`,PMS HOME setter; caller permission gate not visible at this method,PackageManagerService,userId,HOME component; android.intent.category.HOME,47cda8ecce8ad5ac0343dec5a202aded878a838fd7d6a8659ff38b3439ac738,static sink,exact transaction and SELinux UNKNOWN
VE-023,PackageManagerService,setHomeActivity -> replacePreferredActivity, decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/PackageManagerService.java,13838,IPackageManager,UNKNOWN,package service manager `package`,delegates to replacePreferredActivity; getCallingUid observed,PackageManagerService,userId,HOME filter,47cda8ecce8ad5ac0343dec5a202aded878a838fd7d6a8659ff38b3439ac738,static sink,spacing/path normalized; exact tx UNKNOWN
VE-024,PackageManagerService,replacePreferredActivity,decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/PackageManagerService.java,13120-13137,IPackageManager,UNKNOWN,package service manager `package`,checkCallingOrSelfPermission; SET_PREFERRED_APPLICATIONS; getCallingUid,caller UID,explicit userId,preferred HOME/activity,47cda8ecce8ad5ac0343dec5a202aded878a838fd7d6a8659ff38b3439ac738,static sink,SELinux exact rule UNKNOWN
VE-025,PackageManagerService,addPreferredActivity,decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/PackageManagerService.java,13049-13065,IPackageManager,UNKNOWN,package service manager `package`,checkCallingOrSelfPermission; SET_PREFERRED_APPLICATIONS; getCallingUid,caller UID,explicit userId,preferred activity,47cda8ecce8ad5ac0343dec5a202aded878a838fd7d6a8659ff38b3439ac738,static sink,SELinux exact rule UNKNOWN
VE-026,PackageManagerService,addPersistentPreferredActivity,decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/PackageManagerService.java,13345,IPackageManager,UNKNOWN,package service manager `package`,caller UID observed; policy/admin gate exactness UNKNOWN,caller UID,explicit userId,persistent preferred activity,47cda8ecce8ad5ac0343dec5a202aded878a838fd7d6a8659ff38b3439ac738,static sink,permission exactness UNKNOWN
VE-027,PackageManagerService,clearPackagePreferredActivities,decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/PackageManagerService.java,13208-13217,IPackageManager,UNKNOWN,package service manager `package`,checkCallingOrSelfPermission; SET_PREFERRED_APPLICATIONS; getCallingUid,caller UID,UNKNOWN,package preferred state,47cda8ecce8ad5ac0343dec5a202aded878a838fd7d6a8659ff38b3439ac738,static sink,user scope UNKNOWN
VE-028,AmazonUserManagerService$BinderService,setUserSetupComplete -> putIntForUser,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,54524-54566,AmazonUserManagerService private Binder surface; ContentResolver settings writer,UNKNOWN,private Amazon user manager; Binder.clear/restore identity,UNKNOWN,AmazonUserManagerService$BinderService,UserInfo-derived user,USER_SETUP_COMPLETE/setup state,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static direct,setting key and transaction UNKNOWN
VE-029,AmazonUserManagerService$BinderService,setUserSortedList -> file writer,setUserSortedList,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,54567-54699,AmazonUserManagerService private Binder surface,UNKNOWN,private Amazon user manager; file persistence gate UNKNOWN,AmazonUserManagerService$BinderService,UNKNOWN,sorted user list file,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static sink,file path/SELinux UNKNOWN
VE-030,update-binary,block_image_update -> PerformBlockImageUpdate -> WriteToPartition,native update-binary,registration 0x40d144; handler 0x40b8b8; WriteToPartition 0x413c40,N/A (native registry; no Binder),N/A,update-binary/recovery execution context,boot/recovery/service-manager/SELinux gate UNKNOWN,update-binary handler,UNKNOWN,partition target supplied by OTA script,02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,static native sink,execution not performed; exact runtime gate UNKNOWN
VE-031,update-binary,block_image_recover -> WipeBlockDeviceFn,native update-binary,handler 0x40cbc0; WipeBlockDeviceFn 0x406508,N/A (native registry; no Binder),N/A,update-binary/recovery execution context,boot/recovery/SELinux gate UNKNOWN,update-binary handler,UNKNOWN,partition/device target supplied by OTA script,02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,static native sink,exact partition and gate UNKNOWN
VE-032,recovery updater,block_image_update script sink,artifacts/phase6kt-recovery-verifier-audit-20260810-01/audit.json,lines 327-332,N/A (recovery command),N/A,recovery verifier/update-binary,signature/boot/recovery/SELinux gates UNKNOWN,recovery script,UNKNOWN,system/vendor block partitions,UNKNOWN,static reference,source hash not present in bounded row
