id,scope,artifact_or_source_path,sha256,symbol_line_offset,channel_or_node,source_registration,exact_image_or_node_evidence,caller_policy_effect,classification,min_safe_followup
TQ-013,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/m4u/2.4/m4u_debug.c,fbc86a573996617ef32d8f66d543e499ee203d35a3cdde498780e3c55e88bc81,1416-1539,/sys/kernel/debug/m4u/*,debugfs files mode 0600,exact runtime node not in selected capture,root-only if present; DMA effect,UNKNOWN,do not enumerate/write
TQ-014,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/mdp/mdp_ioctl_ex.c,665aacbd47eb99f3a5e38f0447c75881c04827f24cf60c9baa7606e6dd1d52c1,1056-1062;1099-1101,/dev/mdp_limit,unlocked_ioctl/compat and class/device create,exact shipped node/policy not confirmed,display/readback effect; no HOME,UNKNOWN,source-only; no ioctl
TQ-015,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/usb_c/tcpc/tcpci_core.c,a11df22e3472bbe2c1b5521ae8100b345eb2ec6f1369b70771c6ec6d4416b6a9,46-66;864-884,tcpc sysfs role_def/rp_lvl/pd_test/timer/typec_disable,selected 0664 attrs; class/subsys_initcall,exact runtime node/policy not closed,USB-C/power-role effect; no HOME,UNKNOWN,read-only metadata only
TQ-016,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/input/keyboard/mediatek/kpd.c,cb365638a33c195b4ee1abb76be028110d16dcd5f6852182900512e7040a6878,803-805;948-957;1121-1136,/dev/kpd;debugfs/keypad/debug,input ioctl/misc/input/debugfs/init,exact node/policy not closed,keyboard/power effect; no launcher edge,UNKNOWN,no open/ioctl/debugfs write
TQ-017,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/input/touchscreen/mediatek/NT36523/nt36xxx.c,1371a85ed3b6011fe186d9dbb02992a529c533bf9a30f28885f0c4760b3f4e90,641;719-724;787-803;1709,touch sysfs/debugfs/proc/input,gesture attr; debugfs; proc; input registration,exact node/policy not closed,touch/power wake effect; no HOME,UNKNOWN,metadata only; no writes
TQ-018,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/char/rpmb/rpmb-mtk.c,a6b070190ad8b97173c129509e6d8f8ae8c9f0d383bc349be44d9c919387c8d5,2732-2736;2769-2776,/dev/rpmb,unlocked_ioctl and class/device create,exact runtime caller policy not captured,secure storage effect; no HOME,UNKNOWN,no open/ioctl/partition access
TQ-019,LOCAL_ONLY,firmware/extracted/PS7331/boot.img,cf12e5619d635ecf7927784a4ed15a254a96c1642d1db9e4ca6734b192d6fa1b,container image,boot payload,exact shipped boot hash; not branch/caller proof,provenance only,LOCAL_ONLY,LOCAL_ONLY,match trusted runtime provenance only
TQ-020,LOCAL_ONLY,firmware/extracted/PS7331/boot_unpacked/Image,10638df8d43c83e0799bfe071ef29a8069ad909b320536cff6b58ee5e1efea7d,strings 13004815 kernel;13566552 M4U;13724536+ GED,embedded kernel strings,4.4.146+/M4U/GED markers; no source symbol address mapping,no caller/policy/effect closure,LOCAL_ONLY,no binary execution,
TQ-021,POSITIVE_STATIC,adb/phase6n/PHASE6N-KERNEL-RO-20260810-01/logger_modes.stdout.txt,5c5fa2ed958cbe6019d665c5ee71c74d13c30f272a71f2a6a0f7e157c53b6001,metadata capture,/dev/metrics;/dev/vitals,read-only metadata; no consuming read,root:log 0640; shell caller not closed to read,POSITIVE_STATIC,retain capture; do not open/read,
TQ-022,POSITIVE_STATIC,adb/phase6n/PHASE6N-KERNEL-RO-20260810-01/amazon_proc_modes.stdout.txt,c4fbc91d404888cadeab52455ef571504e04668b7ad7e89b945343399f03d86f,metadata capture,/proc/idme/*;/proc/life_cycle_reason,read-only/denied metadata,SELinux enforcing and modes; no setter/effect closure,POSITIVE_STATIC,no mutation,
TQ-023,POSITIVE_STATIC,adb/phase6n/PHASE6N-KERNEL-RO-20260810-01/debugfs_nodes.stdout.txt,f5141ee05bd1a1c85f16821b0fbb7d715e269256a1d87ee1ec57a8a03f59b3fb,metadata capture,/sys/kernel/debug/ged,visible directory only; no file enumeration/write,caller policy/file effect incomplete,UNKNOWN,UNKNOWN,do not enumerate/write
TQ-024,LOCAL_ONLY,findings/phase-9-ps7331-reference-porting-boundary.md,not separately hashed in row,reference boundary,Phase 9 source/binary boundary,no driver registration,reference payload/addresses not transferable,caller/effect not implied,LOCAL_ONLY,source/ABI/provenance only
