package,uid,code_path,system_app,privileged,signature_digest,granted_permissions,permission_protection,grant_flags,code_or_sink_path,caller_reachability,provenance,source_ref
"com.amazon.ods.kindleconnect","10039","/system/priv-app/com.amazon.ods.kindleconnect","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:12; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.android.vending","10180","/data/app/com.android.vending-InxWV-Nv8Fy8x5lSfSr0mQ==","false","false","e3ca78d8","android.permission.CHANGE_COMPONENT_ENABLED_STATE|android.permission.DELETE_PACKAGES|android.permission.FORCE_STOP_PACKAGES|android.permission.INSTALL_PACKAGES|android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","generic package/component writers; no Fire/HOME writer in bounded scan","UNKNOWN","saved package-state granted row; no direct privapp block in audited XML; install/history source UNKNOWN; REBOOT additionally confirmed in Vending dump","output/tables/phase6mc-permission-holders.csv:13; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18 | signature=output/tables/phase6lz-component-state-permissions/component-state-permission-holders.csv:3; SHA256=8eeb03c1757832d9ea33abe4968724444ce3d0fe2befc4ea296e482b5ac398e1 | adb/phase6mb-vending-20260810-01/dumpsys_package_vending.txt:1292-1547; SHA256=08c767ce505c431fcdf4057305a83deecb98ac77842cccb8f90576efc091a958"
"com.dolby.daxservice","10108","/system/priv-app/daxService","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:14; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.sharingservice.android.client.proxy","10114","/system/priv-app/com.amazon.sharingservice.android.client.proxy.release","true","true","UNKNOWN","android.permission.MANAGE_USERS","signature|privileged","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:15; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.android.certinstaller","10170","/system/app/TabletCertInstaller","true","false","UNKNOWN","android.permission.MANAGE_USERS","signature|privileged","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:16; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.device.backup.sdk.internal.library","10037","/system/priv-app/com.amazon.device.backup.sdk.internal.library","true","true","UNKNOWN","android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:17; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.android.contacts","10122","/system/priv-app/TabletContacts","true","true","UNKNOWN","android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:18; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.android.camera2","10021","/system/priv-app/TabletCamera2","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:19; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.aca","10139","/system/priv-app/com.amazon.aca","true","true","UNKNOWN","android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:20; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.imp","10043","/system/priv-app/com.amazon.imp","true","true","UNKNOWN","android.permission.MANAGE_USERS","signature|privileged","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:21; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.mp3","10110","/system/priv-app/com.amazon.mp3","true","true","UNKNOWN","android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:22; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.frameworksettings","10112","/system/priv-app/com.amazon.frameworksettings","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:23; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.csapp","10077","/system/priv-app/com.amazon.csapp","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:24; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.diode","10009","/system/priv-app/com.amazon.diode","true","true","UNKNOWN","android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:25; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.logan","10066","/system/priv-app/Logan","true","true","UNKNOWN","android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:26; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.tahoe","10128","/system/priv-app/com.amazon.tahoe","true","true","e627f73a","android.permission.CHANGE_COMPONENT_ENABLED_STATE|android.permission.INSTALL_PACKAGES|android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","child-scoped PMS component/package-state writer (KFT path); User 0 reachability not proven","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:27; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18 | signature=output/tables/phase6lz-component-state-permissions/component-state-permission-holders.csv:4; SHA256=8eeb03c1757832d9ea33abe4968724444ce3d0fe2befc4ea296e482b5ac398e1"
"com.android.settings.intelligence","10019","/system/priv-app/TabletSettingsIntelligence","true","true","UNKNOWN","android.permission.MANAGE_USERS","signature|privileged","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:28; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.alexa.multimodal.gemini","10044","/system/priv-app/com.amazon.alexa.multimodal.gemini","true","true","e627f73a","android.permission.CHANGE_COMPONENT_ENABLED_STATE|android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:29; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18 | signature=output/tables/phase6lz-component-state-permissions/component-state-permission-holders.csv:5; SHA256=8eeb03c1757832d9ea33abe4968724444ce3d0fe2befc4ea296e482b5ac398e1"
"com.amazon.sneakpeek","10173","/system/priv-app/com.amazon.sneakpeek","true","true","UNKNOWN","android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:30; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.kindle.kso","10074","/system/priv-app/com.amazon.kindle.kso","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:31; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.device.backup","10024","/system/priv-app/com.amazon.device.backup","true","true","UNKNOWN","android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:32; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.kindle.starsight","10062","/system/priv-app/com.amazon.kindle.starsight","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:33; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.securitysyncclient","10111","/system/priv-app/com.amazon.securitysyncclient","true","true","UNKNOWN","android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:34; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.device.messaging","10071","/system/priv-app/DeviceMessagingAndroid","true","true","UNKNOWN","android.permission.MANAGE_USERS","signature|privileged","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:35; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.kindle.otter.oobe","10023","/system/priv-app/com.amazon.kindle.otter.oobe","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:36; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.android.musicfx","10088","/system/priv-app/MusicFX","true","true","7d5711a7","android.permission.CHANGE_COMPONENT_ENABLED_STATE","signature|privileged","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:37; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18 | signature=output/tables/phase6lz-component-state-permissions/component-state-permission-holders.csv:6; SHA256=8eeb03c1757832d9ea33abe4968724444ce3d0fe2befc4ea296e482b5ac398e1"
"com.amazon.tv.ottssocompanionapp","10061","/system/priv-app/com.amazon.tv.ottssocompanionapp","true","true","UNKNOWN","android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:38; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.appverification","10070","/system/priv-app/AppVerification","true","true","UNKNOWN","android.permission.DELETE_PACKAGES|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:39; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.android.gallery3d","10186","/system/priv-app/com.android.gallery3d","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:40; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.android.packageinstaller","10018","/system/priv-app/TabletPackageInstaller","true","true","UNKNOWN","android.permission.DELETE_PACKAGES|android.permission.INSTALL_PACKAGES|android.permission.MANAGE_USERS","signature|privileged","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:41; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.client.metrics","10007","/system/priv-app/MetricsService","true","true","UNKNOWN","android.permission.MANAGE_USERS","signature|privileged","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:42; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.android.managedprovisioning","10091","/system/priv-app/ManagedProvisioning","true","true","abe86ff5","android.permission.CHANGE_COMPONENT_ENABLED_STATE|android.permission.DELETE_PACKAGES|android.permission.INSTALL_PACKAGES|android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","provisioning lifecycle; relevant sink reachability UNKNOWN","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:43; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18 | signature=output/tables/phase6lz-component-state-permissions/component-state-permission-holders.csv:7; SHA256=8eeb03c1757832d9ea33abe4968724444ce3d0fe2befc4ea296e482b5ac398e1"
"com.amazon.wifilocker","10069","/system/priv-app/CredentialLockerAndroid-tablet-release","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:44; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.kor.demo","10094","/system/priv-app/com.amazon.kor.demo","true","true","e627f73a","android.permission.CHANGE_COMPONENT_ENABLED_STATE|android.permission.DELETE_PACKAGES|android.permission.FORCE_STOP_PACKAGES|android.permission.INSTALL_PACKAGES|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","retail-demo lifecycle; relevant sink reachability UNKNOWN","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:45; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18 | signature=output/tables/phase6lz-component-state-permissions/component-state-permission-holders.csv:8; SHA256=8eeb03c1757832d9ea33abe4968724444ce3d0fe2befc4ea296e482b5ac398e1"
"amazon.speech.davs.davcservice","10133","/system/priv-app/amazon.speech.davs.davcservice","true","true","UNKNOWN","android.permission.MANAGE_USERS","signature|privileged","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:46; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.afe.app","10082","/system/priv-app/com.amazon.afe.app-stub","true","true","UNKNOWN","android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:47; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.comms.kids","10055","/system/priv-app/com.amazon.comms.kids","true","true","e627f73a","android.permission.CHANGE_COMPONENT_ENABLED_STATE","signature|privileged","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:48; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18 | signature=output/tables/phase6lz-component-state-permissions/component-state-permission-holders.csv:9; SHA256=8eeb03c1757832d9ea33abe4968724444ce3d0fe2befc4ea296e482b5ac398e1"
"com.amazon.kindle.unifiedSearch","10026","/system/priv-app/com.amazon.kindle.unifiedSearch","true","true","e627f73a","android.permission.CHANGE_COMPONENT_ENABLED_STATE|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:49; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18 | signature=output/tables/phase6lz-component-state-permissions/component-state-permission-holders.csv:10; SHA256=8eeb03c1757832d9ea33abe4968724444ce3d0fe2befc4ea296e482b5ac398e1"
"com.android.storagemanager","10060","/system/priv-app/StorageManager","true","true","UNKNOWN","android.permission.DELETE_PACKAGES|android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:50; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
