id,source_or_anchor,input_sha256,gate_or_input,privileged_sink,scope,confidence,assessment
INV-11,firmware/extracted/PS7331/META-INF/com/android/otacert,5d52405362dcc9e755a4d972074ac7f886a5450e18fb6a6c2c2dad2b55730fe1,otacert member present,signature verification implementation,package authenticity,medium,certificate present; cryptographic verification not replayed
INV-12,firmware/extracted/PS7331/META-INF/com/android/metadata,9501caa9c986904bda3fe0f0e5f21134f968edaf30a4949779357d2aeb66bbf2,post-build/incremental/timestamp/pre-device,version/product/signature/recovery gates,OTA admission,medium,metadata gate evidence
INV-13,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/dcp/ota/SideloadMetadataChecker.java:24-71; SideloadVerifier.java:15-66; SideloadInstaller.java:40-74,35b2cd7ab72549277b691e603039a155d26a9a850c753f80c7cda968053c88ce,metadata/version/product/signature/PVT and RecoverySystemWrapper.verifyPackage,UpdateSystem.install,system OTA installer,medium,static Java contract; no arbitrary package
INV-14,artifacts/phase6j/ota-contracts-ps7331-device-20260805-01/DeviceSoftwareOTAContracts.apk,815e38eb47f6d9090087f9a399e1d9e5aebd1aefc441d9a82128e4f92f76685c,contract model only,UpdateSystem/recovery wrapper contract,OTA app,medium,contract coverage not native verifier
INV-15,artifacts/phase6my-bootafter-ota-package-helper-20260810-01/call-edges.csv:6MY-E01-E07; fosservices disassembly:96087-96126,1136d4815ae63011522fead17ef743bc0daa57334ae6ebb3b4c05c1d09507c52,boot phase 550 AND PackageManagerService.isUpgrade(),secure settings and OobeHomeActivity enable,post-install lifecycle,high,confirmed static post-OTA hook
INV-16,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/fireossystemota_fosinit.xml:9-12,37012a90b7822304a080c736f12684fdf5d58a2bc6ca92e80536d37c3a882f58,VendorRecoverySystemCallback registration,FireOSSystemOTACallback,system_server init wiring,medium,derived system-image extraction
INV-17,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/amazonpackagemanager_fosinit.xml:9-24,37012a90b7822304a080c736f12684fdf5d58a2bc6ca92e80536d37c3a882f58,AmazonPackageManagerService and callbacks,system-server package-management service,system_server,medium,derived system-image extraction
INV-18,firmware/extracted/PS7331/vbmeta.img:missing local path,UNKNOWN,AVB/rollback index metadata,verified boot rollback sink,package/boot chain,unknown,UNKNOWN exact path absent locally
INV-19,firmware/extracted/PS7331/META-INF/com/android/avb*:missing local path,UNKNOWN,AVB metadata member,verified boot rollback sink,package metadata,unknown,UNKNOWN exact glob absent locally
INV-20,firmware/extracted/PS7331/recovery verifier implementation source:missing local path,UNKNOWN,RecoverySystemWrapper native/recovery verifier,signature/AVB/rollback enforcement,recovery,unknown,UNKNOWN exact implementation source absent locally
INV-21,untrusted input to privileged sink:reviewed local artifacts only,see inputs above,"filename/metadata/script arguments are package-controlled but gates precede install",partition/file/update/recovery sinks,full update path,medium,not confirmed; no malformed/symlink/traversal/runtime test
