package,evidence_type,classification,path,sha256,line,class_or_symbol,detail
com.amazon.csapp,jadx_bind_service,UNKNOWN,artifacts/**/jadx|decompiled,NA,NA,NA,no candidate-specific IH2ClientService/bindService/ServiceConnection source located in bounded scope
com.amazon.wifilocker,package_path,CONFIRMED_PACKAGE_PROVENANCE,device/baseline/BASELINE-20260803-05/packages/package_focus.txt,edf238bc7aa0c1f4dafd2eb86d5fee5c5b87eab5bfd40678b04e27381417423,90,package_path,/system/priv-app/CredentialLockerAndroid-tablet-release/CredentialLockerAndroid-tablet-release.apk
com.amazon.wifilocker,uses-permission_xmltree,PARTIAL_PERMISSION_ONLY,artifacts/phase6ac/protected-broadcast-source-audit-20260805-02/manifest-aapt.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,1446-1450,manifest permission declarations,DELETE_CREDENTIALS and RECEIVE_DELETE_CREDENTIALS_STATUS observed; candidate APK manifest tree absent
com.amazon.wifilocker,signature_uid,UNKNOWN,device/baseline/BASELINE-20260803-05,NA,NA,NA,no per-package signing certificate or numeric UID artifact
com.amazon.wifilocker,jadx_bind_service,UNKNOWN,artifacts/**/jadx|decompiled,NA,NA,NA,no candidate-specific IH2ClientService/bindService/ServiceConnection source located in bounded scope
com.amazon.ags.app,package_path,CONFIRMED_PACKAGE_PROVENANCE,device/baseline/BASELINE-20260803-05/packages/package_focus.txt,edf238bc7aa0c1f4dafd2eb86d5fee5c5b87eab5bfd40678b04e27381417423,99,package_path,/system/priv-app/com.amazon.ags.app/com.amazon.ags.app.apk
com.amazon.ags.app,uses-permission_xmltree,PARTIAL_PERMISSION_ONLY,artifacts/phase6ac/protected-broadcast-source-audit-20260805-02/manifest-aapt.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,893;1086,manifest permission declarations,ACCESS_TO_AMAZON_GAMES_SERVICE and RECEIVE_ADM_MESSAGE observed; candidate APK manifest tree absent
com.amazon.ags.app,signature_uid,UNKNOWN,device/baseline/BASELINE-20260803-05,NA,NA,NA,no per-package signing certificate or numeric UID artifact
com.amazon.ags.app,jadx_bind_service,UNKNOWN,artifacts/**/jadx|decompiled,NA,NA,NA,no candidate-specific IH2ClientService/bindService/ServiceConnection source located in bounded scope
com.amazon.avod,apk_provenance,CONFIRMED_APK_HASH,artifacts/phase6do/avod-static-audit-20260806-01/summary.json,0217f4a88342a570f9663203c46ec781f636194e56e11370f698cc8048a6e597,5-7,com.amazon.avod,APK sha256 01c7831086a911c9773fa8596a07d0d9e379d639aea6e0568fb9d5ea0359b9a1; manifest and JADX roots recorded
com.amazon.avod,uses-permission_xmltree,CONFIRMED_PERMISSION,artifacts/phase6do/avod-static-audit-20260806-01/manifest_hits.csv,a422d897a7aeb9f41476611e3bdc045d855f5c9d053e299616d0b76b66b42639,2-3;7-15,AndroidManifest.xml,com.amazon.avod.SDK_ACCESS and SDK-gated services/providers
com.amazon.avod,jadx_bind_service,CONFIRMED_BIND_SERVICE,artifacts/phase6do/avod-static-audit-20260806-01/java_hits.csv,27e53ab90fa0751c5c69bfd2fb5591311f82bb7a4bcc1c27fca75c8b82ce103f,139,PlaybackSdkFeature,bindService(PlaybackSdkService.class) via ServiceConnection
com.amazon.avod,signature_uid,PARTIAL_BINDER_UID_CHECK,artifacts/phase6do/avod-static-audit-20260806-01/java_hits.csv,27e53ab90fa0751c5c69bfd2fb5591311f82bb7a4bcc1c27fca75c8b82ce103f,188,DownloadSdkService,Process.myUid()!=Binder.getCallingUid(); no package signature certificate
com.amazon.avod,split_provenance,PARTIAL_BASE_ONLY,device/baseline/BASELINE-20260803-05/packages/package_focus.txt,edf238bc7aa0c1f4dafd2eb86d5fee5c5b87eab5bfd40678b04e27381417423,118,package_path,/data/app/com.amazon.avod-llUXUUPczfHcVsyR4FQq7g==/base.apk; no split list
com.amazon.kindle,package_path,CONFIRMED_PACKAGE_PROVENANCE,device/baseline/BASELINE-20260803-05/packages/package_focus.txt,edf238bc7aa0c1f4dafd2eb86d5fee5c5b87eab5bfd40678b04e27381417423,134,package_path,/system/priv-app/com.amazon.kindle/com.amazon.kindle.apk
com.amazon.kindle,uses-permission_xmltree,PARTIAL_PERMISSION_ONLY,artifacts/phase6ac/protected-broadcast-source-audit-20260805-02/manifest-aapt.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,996,manifest permission declaration,com.amazon.kindle.permission.LIBRARY_ACCESS observed; candidate APK manifest tree absent
com.amazon.kindle,signature_uid,UNKNOWN,device/baseline/BASELINE-20260803-05,NA,NA,NA,no per-package signing certificate or numeric UID artifact
com.amazon.kindle,jadx_bind_service,UNKNOWN,artifacts/**/jadx|decompiled,NA,NA,NA,no candidate-specific IH2ClientService/bindService/ServiceConnection source located in bounded scope
com.amazon.kindle,split_provenance,UNKNOWN,artifacts/**,NA,NA,NA,no candidate APK or split manifest provenance in bounded scope
