service_name,service_impl_class,fosinit_registered,fosinit_files,published_name_evidence,runtime_service_list,service_context,service_context_source,service_context_line,shell_uid2000_find_denied,avc_tcontext,avc_source,avc_line,binder_inventory_auth_markers,binder_inventory_assessment,confidence
SurfaceFlinger,UNMAPPED,UNKNOWN,,,YES,u:object_r:surfaceflinger_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,157,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
ThermalTemperatureObserverService,ThermalTemperatureObserverService,NO_OR_DELEGATED,,ThermalTemperatureObserverService,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:temperatureobserver_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,37,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
UNKNOWN_PUBLISHED_NAME,CRLSetManagerService,NO_OR_DELEGATED,,NOT_LITERAL_OR_DELEGATED,NO_OR_NOT_CAPTURED,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
UNKNOWN_PUBLISHED_NAME,PackageRecencyFilterConfigService,NO_OR_DELEGATED,,NOT_LITERAL_OR_DELEGATED,NO_OR_NOT_CAPTURED,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
UNKNOWN_PUBLISHED_NAME,AmazonMediaCodecLoggerService,NO_OR_DELEGATED,,NOT_LITERAL_OR_DELEGATED,NO_OR_NOT_CAPTURED,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
UNKNOWN_PUBLISHED_NAME,MigrationService,NO_OR_DELEGATED,,NOT_LITERAL_OR_DELEGATED,NO_OR_NOT_CAPTURED,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,"checkCallingOrSelfPermission,SecurityException",candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
UNKNOWN_PUBLISHED_NAME,AmazonAccessibilityManagerService,NO_OR_DELEGATED,,NOT_LITERAL_OR_DELEGATED,NO_OR_NOT_CAPTURED,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,"checkCallingOrSelfPermission,SecurityException",candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
UNKNOWN_PUBLISHED_NAME,AdvertisingIdManagerService,NO_OR_DELEGATED,,NOT_LITERAL_OR_DELEGATED,NO_OR_NOT_CAPTURED,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,"checkCallingPermission,getCallingUid,SecurityException,signature_or_privileged,clearCallingIdentity",candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
UNKNOWN_PUBLISHED_NAME,AmazonAudioService,NO_OR_DELEGATED,,NOT_LITERAL_OR_DELEGATED,NO_OR_NOT_CAPTURED,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,"checkCallingOrSelfPermission,SecurityException",candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
UNKNOWN_PUBLISHED_NAME,AmazonWifiService,NO_OR_DELEGATED,,NOT_LITERAL_OR_DELEGATED,NO_OR_NOT_CAPTURED,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,"checkCallingOrSelfPermission,SecurityException,signature_or_privileged,clearCallingIdentity",candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
UNKNOWN_PUBLISHED_NAME,DeviceInfoService,NO_OR_DELEGATED,,NOT_LITERAL_OR_DELEGATED,NO_OR_NOT_CAPTURED,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
UNKNOWN_PUBLISHED_NAME,MarketplaceService,NO_OR_DELEGATED,,NOT_LITERAL_OR_DELEGATED,NO_OR_NOT_CAPTURED,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
UNKNOWN_PUBLISHED_NAME,AmazonStatusBarManagerService,NO_OR_DELEGATED,,NOT_LITERAL_OR_DELEGATED,NO_OR_NOT_CAPTURED,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
UNKNOWN_PUBLISHED_NAME,MultiWindowExtensionsService.Lifecycle,NO_OR_DELEGATED,,NOT_LITERAL_OR_DELEGATED,NO_OR_NOT_CAPTURED,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
UNKNOWN_PUBLISHED_NAME,AmazonKeyguardService,NO_OR_DELEGATED,,NOT_LITERAL_OR_DELEGATED,NO_OR_NOT_CAPTURED,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
UNKNOWN_PUBLISHED_NAME,SmartSuspendManagerService,NO_OR_DELEGATED,,NOT_LITERAL_OR_DELEGATED,NO_OR_NOT_CAPTURED,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,clearCallingIdentity,candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
abusedetection,AbuseDetectionService,NO_OR_DELEGATED,,abusedetection,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,"enforceCallingOrSelfPermission,SecurityException",candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
accessibility,UNMAPPED,UNKNOWN,,,YES,u:object_r:accessibility_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,1,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
account,UNMAPPED,UNKNOWN,,,YES,u:object_r:account_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,2,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
activity,UNMAPPED,UNKNOWN,,,YES,u:object_r:activity_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,3,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
alarm,UNMAPPED,UNKNOWN,,,YES,u:object_r:alarm_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,4,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
alexa_modeswitch,AlexaModeSwitchManagerService,NO_OR_DELEGATED,,alexa_modeswitch,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:alexa_modeswitch_manager:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,62,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazon_input,AmazonInputManagerService,NO_OR_DELEGATED,,amazon_input | amazon_keyevent,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazon_input_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,65,"checkCallingOrSelfPermission,enforceCallingPermission,getCallingUid,SecurityException,signature_or_privileged",candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazon_keyevent,AmazonInputManagerService,NO_OR_DELEGATED,,amazon_input | amazon_keyevent,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazon_input_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,64,"checkCallingOrSelfPermission,enforceCallingPermission,getCallingUid,SecurityException,signature_or_privileged",candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazon_media_codec_logger,UNMAPPED,UNKNOWN,,,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:mediacodeclogger_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,69,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,STRONG_EVIDENCE
amazonaccessibilitymanager,UNMAPPED,UNKNOWN,,,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazonaccessibilitymanager_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,59,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,STRONG_EVIDENCE
amazonactivitymanager,AmazonActivityManagerService,YES,artifacts/amazon-services/amazonactivitymanager_fosinit.xml,NOT_LITERAL_OR_DELEGATED,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazonactivitymanager_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,83,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazonaudioservice,UNMAPPED,UNKNOWN,,,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazonaudioservice_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,51,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,STRONG_EVIDENCE
amazondevicepolicymanager,AmazonDevicePolicyManagerService,YES,artifacts/amazon-services/amazondevicepolicymanager_fosinit.xml,NOT_LITERAL_OR_DELEGATED,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazondevicepolicymanager_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,52,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazondropbox,AmazonDropBoxManagerService,NO_OR_DELEGATED,,amazondropbox,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazondropbox_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,53,SecurityException,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazonfiled,UNMAPPED,UNKNOWN,,,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazonfiled_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,75,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,STRONG_EVIDENCE
amazonlockscreen,LockScreenService,NO_OR_DELEGATED,,amazonlockscreen,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazon_lockscreen_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,42,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazonmediacodecloggerservice,UNMAPPED,UNKNOWN,,,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazonmediacodeclogger_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,63,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,STRONG_EVIDENCE
amazonpackagemanager,AmazonPackageManagerService,YES,artifacts/amazon-services/amazonpackagemanager_fosinit.xml,NOT_LITERAL_OR_DELEGATED,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazon_package_manager_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,79,signature_or_privileged,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazonpowermanagerservice,AmazonPowerManagerService,NO_OR_DELEGATED,,amazonpowermanagerservice,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,"checkCallingOrSelfPermission,SecurityException,signature_or_privileged",candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
amazonprofileservice,AmazonProfileService,NO_OR_DELEGATED,,amazonprofileservice,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazon_profile_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,44,"getCallingUid,SecurityException,signature_or_privileged,clearCallingIdentity",candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazonprotometricsservice,AmazonProtometricsService,NO_OR_DELEGATED,,amazonprotometricsservice,NO_OR_NOT_CAPTURED,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
amazonspeechservice,AmazonSpeechService,NO_OR_DELEGATED,,amazonspeechservice,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,"checkCallingOrSelfPermission,SecurityException",candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
amazonstatusbarmanagerservice,UNMAPPED,UNKNOWN,,,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
amazonstoragemanagerservice,AmazonStorageManagerService,NO_OR_DELEGATED,,amazonstoragemanagerservice,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazon_storagemanager_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,60,"enforceCallingOrSelfPermission,signature_or_privileged",candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazonthermalservice,AmazonThermalService,NO_OR_DELEGATED,,amazonthermalservice,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
amazonusagestatsservice,AmazonUsageStatsService,NO_OR_DELEGATED,,amazonusagestatsservice,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,signature_or_privileged,candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
amazonusermanagerservice,AmazonUserManagerService,NO_OR_DELEGATED,,NOT_LITERAL_OR_DELEGATED,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazonusermanager_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,50,"getCallingUid,checkComponentPermission,SecurityException,signature_or_privileged",candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazonwindowmanager,AmazonWindowManagerService,YES,artifacts/amazon-services/amazonwindowmanager_fosinit.xml,NOT_LITERAL_OR_DELEGATED,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazonwindowmanager_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,81,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
android.security.keystore,UNMAPPED,UNKNOWN,,,YES,u:object_r:keystore_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,6,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
android.service.gatekeeper.IGateKeeperService,UNMAPPED,UNKNOWN,,,YES,u:object_r:gatekeeper_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,7,YES,u:object_r:gatekeeper_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,70,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,STRONG_EVIDENCE
appcompatwhitelistservice,AppCompatWhitelistService,YES,artifacts/amazon-services/appcompatsupport_fosinit.xml,appcompatwhitelistservice,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:appcompatwhitelist_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,35,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
appops,UNMAPPED,UNKNOWN,,,YES,u:object_r:appops_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,8,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
appverificationservice,AppVerificationService,NO_OR_DELEGATED,,appverificationservice,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:app_verification_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,34,"enforceCallingPermission,signature_or_privileged",candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
appwidget,UNMAPPED,UNKNOWN,,,YES,u:object_r:appwidget_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,9,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
arcusservice,ArcusService,NO_OR_DELEGATED,,arcusservice,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:arcus_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,55,"getCallingUid,signature_or_privileged,clearCallingIdentity",candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
audio,UNMAPPED,UNKNOWN,,,YES,u:object_r:audio_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,11,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
audiosignalprocessor,AmazonAspService,NO_OR_DELEGATED,,audiosignalprocessor,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
autofill,UNMAPPED,UNKNOWN,,,YES,u:object_r:autofill_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,12,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
backup,UNMAPPED,UNKNOWN,,,YES,u:object_r:backup_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,13,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
battery,UNMAPPED,UNKNOWN,,,YES,u:object_r:battery_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,16,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
batteryproperties,UNMAPPED,UNKNOWN,,,YES,u:object_r:batteryproperties_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,14,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
batterystats,UNMAPPED,UNKNOWN,,,YES,u:object_r:batterystats_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,15,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
binder_calls_stats,UNMAPPED,UNKNOWN,,,YES,u:object_r:binder_calls_stats_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,17,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
bluetooth_manager,UNMAPPED,UNKNOWN,,,YES,u:object_r:bluetooth_manager_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,18,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
bulkmoveappstosdcardservice,BulkMoveAppsToSDCardService,NO_OR_DELEGATED,,bulkmoveappstosdcardservice,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:bulkmoveappstosdcard_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,54,"checkCallingOrSelfPermission,SecurityException,signature_or_privileged",candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
cirrusservice,CirrusService,NO_OR_DELEGATED,,cirrusservice,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:cirrus_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,33,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
clipboard,UNMAPPED,UNKNOWN,,,YES,u:object_r:clipboard_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,22,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
