rule	term	file	line	text	interpretation
remote_config_app	createForAppId	com/amazon/device/software/ota/util/settings/SettingsManager.java	73	this.mManager = remoteConfigurationManagerWrapper.createForAppId(context, "arn:aws:remote-config:us-west-2:426273902372:appConfig:a17uvcne");	SettingsManager creates an Arcus remote-configuration client.
remote_config_app	426273902372	com/amazon/device/software/ota/util/settings/SettingsManager.java	73	this.mManager = remoteConfigurationManagerWrapper.createForAppId(context, "arn:aws:remote-config:us-west-2:426273902372:appConfig:a17uvcne");	SettingsManager creates an Arcus remote-configuration client.
remote_config_app	appConfig:a17uvcne	com/amazon/device/software/ota/util/settings/SettingsManager.java	73	this.mManager = remoteConfigurationManagerWrapper.createForAppId(context, "arn:aws:remote-config:us-west-2:426273902372:appConfig:a17uvcne");	SettingsManager creates an Arcus remote-configuration client.
remote_config_attributes	Build.SERIAL	com/amazon/device/software/ota/util/settings/SettingsManager.java	74	this.mManager.openAttributes().addAttribute("dsn", Build.SERIAL);	The remote configuration request is keyed by device/build attributes.
remote_config_attributes	build_version	com/amazon/device/software/ota/util/settings/SettingsManager.java	76	this.mManager.openAttributes().addAttribute("build_version", Long.valueOf(deviceInfo.getBuildNumber()));	The remote configuration request is keyed by device/build attributes.
remote_config_attributes	ota_group	com/amazon/device/software/ota/util/settings/SettingsManager.java	84	this.mManager.openAttributes().addAttribute("ota_group", lastCheckGroup);	The remote configuration request is keyed by device/build attributes.
remote_config_sync	maybeSyncArcusConfig	com/amazon/device/software/ota/util/settings/SettingsManager.java	78	maybeSyncArcusConfig();	OTA settings can be refreshed through the remote configuration client.
remote_config_sync	mManager.sync	com/amazon/device/software/ota/util/settings/SettingsManager.java	151	this.mManager.sync(this.mArcusCallback);	OTA settings can be refreshed through the remote configuration client.
remote_config_sync	Twelve	com/amazon/device/software/ota/util/settings/SettingsManager.java	28	private static final long TWELVE_HOURS = TimeUnit.HOURS.toMillis(12);	OTA settings can be refreshed through the remote configuration client.
authenticated_update_post	AuthenticatedURLConnectionWrapper	com/amazon/device/software/tracking/service/GetUpdatesCall.java	12	import com.amazon.identity.auth.device.api.AuthenticatedURLConnectionWrapper;	The update query uses the authenticated URL wrapper and JSON POST.
authenticated_update_post	setRequestMethod("POST")	com/amazon/device/software/tracking/service/GetUpdatesCall.java	209	httpURLConnectionOpenConnection.setRequestMethod("POST");	The update query uses the authenticated URL wrapper and JSON POST.
authenticated_update_post	Content-Type	com/amazon/device/software/tracking/service/GetUpdatesCall.java	208	httpURLConnectionOpenConnection.setRequestProperty("Content-Type", "application/json");	The update query uses the authenticated URL wrapper and JSON POST.
