surface_family,source_csv,source_sha256,id,component_or_service,entry_surface,exported_or_registration,caller_to_permission,identity,user_scope,sink_or_effect,classification,evidence_path,evidence_sha256,class_method_line_or_offset,next_safe_step,status,category,capability_or_observation,path,sha256,line_or_offset,evidence,claim_boundary,scope,artifact_or_source_path,symbol_line_offset,channel_or_node,source_registration,exact_image_or_node_evidence,caller_policy_effect,min_safe_followup,test_id,phase_scope,test_family,completed_activity,mutation,restore_reboot_state,conclusion,caller_gate_sink_gap,evidence_path_hash_scope,confidence,duplicate_or_excluded,safe_readonly_retest
6TO IPC sink audit,work/luna_worker_phase6to_ipc_sink_audit_20260810.csv,43b7c270de32105680b12969b1a8dbd5a84d37a82a06d5ae24d08d0185e469a5,TO-11,GeminiHandler,internal Amazon mode-switch action,internal service callback; not exported component evidence,No remote caller in bounded writer; policy/data-driven mode-switch input,No Binder.getCallingUid/checkCallingPermission/hasCallerGotPermission in writer slice,fixed application package scope,PackageManager.setApplicationEnabledSetting for Gemini/Blink-related packages; no HOME,NOT_A_SINK,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,com.amazon.android.modeswitch.service.GeminiHandler.disableGeminiIfRequired; line 30354; offset 0x02e92e,retain as fixed package-state writer; inspect only policy/data source if new host artifact appears,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TO IPC sink audit,work/luna_worker_phase6to_ipc_sink_audit_20260810.csv,43b7c270de32105680b12969b1a8dbd5a84d37a82a06d5ae24d08d0185e469a5,TO-12,EnableDisableComponentAction,Amazon ProductPolicy action,internal trusted service action; not an exported component evidence,No remote caller in bounded writer; policy-file/user-list driven trusted system action,No Binder.getCallingUid/checkCallingPermission/hasCallerGotPermission in writer slice,supplied user ID is policy/action parameter; exact caller scope not in writer slice,AmazonPackageManager.setComponentEnabledSetting/setApplicationEnabledSetting for policy targets; no HOME selector,NOT_A_SINK,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2f; no,EnableDisableComponentAction.enableDisableComponent; line 293712/293717/293735/293738; offsets 0x052688/0x052698/0x0526e8/0x0526f4,host-only trace policy action registration and target list; no action injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TO IPC sink audit,work/luna_worker_phase6to_ipc_sink_audit_20260810.csv,43b7c270de32105680b12969b1a8dbd5a84d37a82a06d5ae24d08d0185e469a5,TO-13,com.amazon.firelauncher,exported providers/receivers/services in exact-build APK,manifest components; mixed exported=true and permissions,Manifest permission fields include signature/system/custom/BIND_JOB_SERVICE and some no local permission; no Binder caller method in manifest,N/A for manifest-only evidence,component-local; no system-server user scope in manifest,No qualifying setComponentEnabledSetting/setApplicationEnabledSetting/preferred HOME sink in bounded manifest/component inventory,NOT_A_SINK,artifacts/phase6h/phase6h-framework-ipc-20260804-01/manifest-components.csv,4696984f88fb81721c611358b5ea197438399ebc3b05e570ee07a78c98d6561e,com.amazon.firelauncher manifest rows 46-99; exact APK artifacts/launcher/com.amazon.firelauncher__0_com.amazon.firelauncher.apk SHA-256 601c510df94ddf2701ef8eb662ad565a5108688e562ca29fa56c1b14289b4ddf,manifest exposure alone is not a sink; trace only newly observed component-to-setter edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TO IPC sink audit,work/luna_worker_phase6to_ipc_sink_audit_20260810.csv,43b7c270de32105680b12969b1a8dbd5a84d37a82a06d5ae24d08d0185e469a5,TO-14,Amazon fosinit service family,AmazonActivityManager/Profile/User/PackageManager and callbacks,private system_server registration; exported=N/A,not app exported component,system_server callback/service-manager context; permission and caller checks are service-specific; no ordinary app relay established,system_server identity/callback context; user scope only where method parameter is explicit,registration/callback inventory shows no preferred HOME writer beyond already bounded child/KFT setter,NOT_A_SINK,artifacts/phase6jd-fosinit-20260808-01/extraction-manifest.tsv,0797a670880672e424326aa206ab422ca849e2996d2f0985aa2d4b2ca61ea993,Amazon service registrations in existing Phase 6JD table; corresponding fosservices disassembly lines 95790-96036 and 39808-40680,host-only compare new exact-build registration/source additions; do not reopen closed callback families,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TO IPC sink audit,work/luna_worker_phase6to_ipc_sink_audit_20260810.csv,43b7c270de32105680b12969b1a8dbd5a84d37a82a06d5ae24d08d0185e469a5,TO-15,Phase 6TO boundary,scope exclusion,H2ClientService chain excluded per Phase 6TJ-TM; no device interaction,Only host static artifacts/reports; no adb/Binder/service call/driver/root/exploit/payload,N/A,N/A,No vulnerability conclusion from exported/signature alone; UNKNOWN remains UNKNOWN,NOT_A_SINK,output/tables/phase6tm-control-surface.csv,see source row SHA-256 0d630a291c239decfd91f14bf0e41b6222f847b0f88de0eda9eb0de3a98b3744,Phase 6TJ-TM H2 rows and this audit scope,keep H2 excluded; next step is host-only evidence completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TP OTA writer audit,work/luna_worker_phase6tp_ota_writer_audit_20260810.csv,949dd5515b55d0e4061c495156bc983f7c55a7193a33cabaa2d558b642d32440,6TP-001,,,,,,,,,,,,,LOCAL_ONLY,input_validation,updater-script reads ro.build.date.utc and ro.product.device and aborts on mismatch,firmware/extracted/PS7331/META-INF/com/google/android/updater-script,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,1-2,getprop/less_than_int and abort expressions are literal script evidence,"Confirms two script-level predicates only; does not establish package signature, AVB, recovery authentication, or bypass resistance.",,,,,,,,,,,,,,,,,,,,
6TP OTA writer audit,work/luna_worker_phase6tp_ota_writer_audit_20260810.csv,949dd5515b55d0e4061c495156bc983f7c55a7193a33cabaa2d558b642d32440,6TP-002,,,,,,,,,,,,,LOCAL_ONLY,privileged_partition_write,script declares block_image_update targets for system and vendor,firmware/extracted/PS7331/META-INF/com/google/android/updater-script,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,"6,10",block_image_update with /dev/block/platform/bootdevice/by-name/system and vendor,Confirms declared privileged write capability of this OTA script; not evidence that it ran or that an untrusted caller can reach it.,,,,,,,,,,,,,,,,,,,,
6TP OTA writer audit,work/luna_worker_phase6tp_ota_writer_audit_20260810.csv,949dd5515b55d0e4061c495156bc983f7c55a7193a33cabaa2d558b642d32440,6TP-003,,,,,,,,,,,,,LOCAL_ONLY,boot_firmware_write,"script declares package extraction to boot, preloader, lk, tee1/tee2, spmfw, sspm_1 and cam_vpu1/2/3",firmware/extracted/PS7331/META-INF/com/google/android/updater-script,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,"13,15-23",literal package_extract_file destination arguments,"Confirms high-impact target capability in the saved script only; no flash, recovery, reboot, or partition mutation occurred.",,,,,,,,,,,,,,,,,,,,
6TP OTA writer audit,work/luna_worker_phase6tp_ota_writer_audit_20260810.csv,949dd5515b55d0e4061c495156bc983f7c55a7193a33cabaa2d558b642d32440,6TP-004,,,,,,,,,,,,,LOCAL_ONLY,temp_cache_write,script declares extraction to /cache/recovery/last_blocklist,firmware/extracted/PS7331/META-INF/com/google/android/updater-script,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,24,literal package_extract_file destination,"Confirms a cache/recovery-side file target; does not establish arbitrary path control, symlink behavior, or execution.",,,,,,,,,,,,,,,,,,,,
6TP OTA writer audit,work/luna_worker_phase6tp_ota_writer_audit_20260810.csv,949dd5515b55d0e4061c495156bc983f7c55a7193a33cabaa2d558b642d32440,6TP-005,,,,,,,,,,,,,DERIVED_OUTPUT,indirect_dispatch,"24 registered updater function-pointer cells resolve to symbols, including package_extract_file, write_value and run_program",artifacts/phase6mk-updater-dispatch-20260810-04/registration-dispatch.csv,d88e35ec08d9ef0a55a3dbc17dc430b62d3b419810653542b6dd3077095cca24,"1,8,17,20",registration table rows 2-25; summary reports 24/24 resolution,Confirms a static registry mapping and an indirect-dispatch boundary; does not prove any command was evaluated or caller-controlled.,,,,,,,,,,,,,,,,,,,,
6TP OTA writer audit,work/luna_worker_phase6tp_ota_writer_audit_20260810.csv,949dd5515b55d0e4061c495156bc983f7c55a7193a33cabaa2d558b642d32440,6TP-006,,,,,,,,,,,,,DERIVED_OUTPUT,privileged_file_write,WriteToPartition opens a target derived from a string object and calls ota_write in its write loop,artifacts/phase6s/ota-cfg-focus-20260805-01/focus-disassembly.txt,0e780e51ced6f7b000bf0a821ffe6cfe81bc0108e6073174b7fa0cb0b94abdcd,0x413dcc-0x413e3c; 0x413e30-0x413e3c,saved disassembly shows helper call at 0x413dcc and ota_write call at 0x413e3c,"Confirms binary-side I/O capability in selected function body; does not prove path provenance, authorization, runtime reachability, or privilege escalation.",,,,,,,,,,,,,,,,,,,,
6TP OTA writer audit,work/luna_worker_phase6tp_ota_writer_audit_20260810.csv,949dd5515b55d0e4061c495156bc983f7c55a7193a33cabaa2d558b642d32440,6TP-007,,,,,,,,,,,,,DERIVED_OUTPUT,native_io_helpers,ota_open and ota_write contain libc open/write wrapper calls and error branches,artifacts/phase6s/ota-cfg-focus-20260805-01/focus-disassembly.txt,0e780e51ced6f7b000bf0a821ffe6cfe81bc0108e6073174b7fa0cb0b94abdcd,0x426350-0x42648c; 0x426d80-0x426e44,saved ota_open/ota_write disassembly and phase6ah closure,Confirms helper-level native I/O capability only; no claim is made about an attacker-supplied filename or successful write.,,,,,,,,,,,,,,,,,,,,
6TP OTA writer audit,work/luna_worker_phase6tp_ota_writer_audit_20260810.csv,949dd5515b55d0e4061c495156bc983f7c55a7193a33cabaa2d558b642d32440,6TP-008,,,,,,,,,,,,,DERIVED_OUTPUT,cache_path_and_cleanup,"MakeFreeSpaceOnCache traverses cache directories and has stat64, __readlink_chk and unlink direct edges",artifacts/phase6ne-updater-cache-flow-20260810-02/direct-call-edges.csv,d653e4a84898509781a333c56502087a83981781fcf6612d7026bfd79602b477,"rows 6-45; offsets 0x417824, 0x4179f4, 0x417bf0, 0x417ea8",saved direct-call edge table,"Confirms selected cache-management capability; does not establish symlink traversal, TOCTOU, arbitrary deletion, or attacker control of cache entries.",,,,,,,,,,,,,,,,,,,,
6TP OTA writer audit,work/luna_worker_phase6tp_ota_writer_audit_20260810.csv,949dd5515b55d0e4061c495156bc983f7c55a7193a33cabaa2d558b642d32440,6TP-009,,,,,,,,,,,,,UNKNOWN,symlink_toctou,"canonicalization proof is unresolved: selected graph has zero direct edges for readlink/readlinkat/realpath markers, while a cache helper separately calls __readlink_chk",artifacts/phase6mk-updater-dispatch-20260810-04/canonicalization-context.csv,44f61840637e65d7a263b4912d340d834aba1b41b7a84dc7d20382e45fd1a726,rows 2-6; related cache edge 0x417bf0,bounded-negative table and phase6mk summary,"UNKNOWN is intentional: absence from selected graph is not binary-wide absence, and no runtime symlink/TOCTOU test was performed.",,,,,,,,,,,,,,,,,,,,
6TP OTA writer audit,work/luna_worker_phase6tp_ota_writer_audit_20260810.csv,949dd5515b55d0e4061c495156bc983f7c55a7193a33cabaa2d558b642d32440,6TP-010,,,,,,,,,,,,,UNKNOWN,property_write,"write_value is registered, but the preserved updater-script contains getprop reads and no write_value invocation",artifacts/phase6mk-updater-dispatch-20260810-04/registration-dispatch.csv,d88e35ec08d9ef0a55a3dbc17dc430b62d3b419810653542b6dd3077095cca24,"row 17; script lines 1-2,25",registry row plus literal script inventory,Confirms handler presence only; cannot claim a property write occurs in this script or that any caller can invoke the handler.,,,,,,,,,,,,,,,,,,,,
6TP OTA writer audit,work/luna_worker_phase6tp_ota_writer_audit_20260810.csv,949dd5515b55d0e4061c495156bc983f7c55a7193a33cabaa2d558b642d32440,6TP-011,,,,,,,,,,,,,UNKNOWN,caller_authentication,"native registration is reached from main in the static model, but the registry call remains indirect and recovery/external caller authentication is not closed",artifacts/phase6mk-updater-dispatch-20260810-04/summary.json,4cf463ec498b74e6460fb598f7ce5e5756418aaa5c2ac5767009c22e9c29b9fe,"4-7,23-30,60-66","summary bounded_interpretation, observations, and rejected runtime operations","No claim of shell/ADB reachability, recovery acceptance, signature bypass, or exploitable privilege boundary is supported.",,,,,,,,,,,,,,,,,,,,
6TP OTA writer audit,work/luna_worker_phase6tp_ota_writer_audit_20260810.csv,949dd5515b55d0e4061c495156bc983f7c55a7193a33cabaa2d558b642d32440,6TP-012,,,,,,,,,,,,,LOCAL_ONLY,execution_boundary,"analysis records host_only=true, updater_executed=false, recovery_executed=false, partition_written=false and device_contacted=false",artifacts/phase6mk-updater-dispatch-20260810-04/summary.json,4cf463ec498b74e6460fb598f7ce5e5756418aaa5c2ac5767009c22e9c29b9fe,"7,11,14,32,60-66",saved phase6mk execution-safety fields,"This is a host-side evidence boundary, not evidence that the OTA path is safe or unreachable on a device.",,,,,,,,,,,,,,,,,,,,
6TQ driver inventory,work/luna_worker_phase6tq_driver_inventory_20260810.csv,289dde4546aacc33aaacec0f715d2f5dbd2ddcd0cde9f415f90c7ac14c0567b5,TQ-001,,,,,,,,ABSENT,,,,,,,,,(directory absent),,,,ABSENT,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/amazon,path absent,drivers/amazon,none,not applicable,not applicable,none; use platform/device/amazon/kernel/driver,,,,,,,,,,,,
6TQ driver inventory,work/luna_worker_phase6tq_driver_inventory_20260810.csv,289dde4546aacc33aaacec0f715d2f5dbd2ddcd0cde9f415f90c7ac14c0567b5,TQ-002,,,,,,,,POSITIVE_STATIC,,,,,,,,,ab6484ae7a694412ec4eeabb67133ddd0c0af221076b6d989c8ab1fe7c84e61e,,,,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_idme.c,62;316-347,/proc/idme/*,idme_fops; write bits stripped before proc_create_data,phase6br/phase6n ordinary entries read-only; mac_sec system:root 0400,SELinux/runtime mode gate; read-only information effect,metadata/policy diff only; no proc write,,,,,,,,,,,,
6TQ driver inventory,work/luna_worker_phase6tq_driver_inventory_20260810.csv,289dde4546aacc33aaacec0f715d2f5dbd2ddcd0cde9f415f90c7ac14c0567b5,TQ-003,,,,,,,,POSITIVE_STATIC,,,,,,,,,9293b2f75e8e7760f961d5849b3fe3e666e8e2df0b2906b6fcdf4b2190d7afbd,,,,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_logger.c,696-738,/dev/metrics;/dev/vitals,read/poll/release only; no write/ioctl,phase6br/6n root:log 0640; reads intentionally not consumed,shell caller lacks log; telemetry only,retain metadata; do not open/read,,,,,,,,,,,,
6TQ driver inventory,work/luna_worker_phase6tq_driver_inventory_20260810.csv,289dde4546aacc33aaacec0f715d2f5dbd2ddcd0cde9f415f90c7ac14c0567b5,TQ-004,,,,,,,,POSITIVE_STATIC,,,,,,,,,87e455617e0960658bade537a316c5168a47048db1f2e72922b3e38129449419,,,,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_sign_of_life.c,255-265,/proc/life_cycle_reason,read-only fops and proc_create mode 0444,phase6br/6n read denied under enforcing SELinux,kernel-internal RTC setters only; no HOME edge,metadata/SELinux correlation only,,,,,,,,,,,,
6TQ driver inventory,work/luna_worker_phase6tq_driver_inventory_20260810.csv,289dde4546aacc33aaacec0f715d2f5dbd2ddcd0cde9f415f90c7ac14c0567b5,TQ-005,,,,,,,,UNKNOWN,,,,,,,,,6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e,,,,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_drv_test.c,784-866,/proc/amzn_drvs/*,write dispatcher; module_init,phase6np says built-in image marker excluded; runtime node not established,caller and shipped status incomplete; hardware-test effect,config+Image/module evidence only; never write,,,,,,,,,,,,
6TQ driver inventory,work/luna_worker_phase6tq_driver_inventory_20260810.csv,289dde4546aacc33aaacec0f715d2f5dbd2ddcd0cde9f415f90c7ac14c0567b5,TQ-006,,,,,,,,POSITIVE_STATIC,,,,,,,,,09e19712f177e0740a96964f420f74adda3412442b65d6df5cec8187e38e6071,,,,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_keycombo.c,116-158;184-300,hardware input/device-tree,panic/orderly_reboot callbacks,Image/device-tree strings only; no userspace node,hardware event caller; reboot/panic not HOME,none; no hardware trigger,,,,,,,,,,,,
6TQ driver inventory,work/luna_worker_phase6tq_driver_inventory_20260810.csv,289dde4546aacc33aaacec0f715d2f5dbd2ddcd0cde9f415f90c7ac14c0567b5,TQ-007,,,,,,,,POSITIVE_STATIC,,,,,,,,,95671972e22b12d0f6301c28750ebc28e371e02a75610ff62a94a90953fa30c5,,,,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/gpu/ged/src/ged_main.c,271-344;411;521,/proc/ged,ged_ioctl/fops; proc_create mode 0644; module_init,phase6n/6is node mode 0644 label proc_ged; query-only prior evidence,caller policy/query effect only; no PMS/HOME,no non-query ioctl,,,,,,,,,,,,
6TQ driver inventory,work/luna_worker_phase6tq_driver_inventory_20260810.csv,289dde4546aacc33aaacec0f715d2f5dbd2ddcd0cde9f415f90c7ac14c0567b5,TQ-008,,,,,,,,UNKNOWN,,,,,,,,,7c6530b4ecfe6c142d1fbfac7c26c9e242c511216cd295b9836958fdebea88a5,,,,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/gpu/ged/src/ged_debugFS.c,68-173,/sys/kernel/debug/ged,debugfs fops/create,phase6n directory visible; files not enumerated or written,debugfs caller/file effect incomplete,read-only metadata only,,,,,,,,,,,,
