surface_family,source_csv,source_row,source_sha256,id,sink_class,operation,exact_build_path,line_or_offset,binder_interface,transaction,publication_or_service,permission_selinux_service_manager_gate,caller_or_publisher,user_scope,target_or_literal,evidence_sha256,confidence,unknowns,row_id,delta_type,topic,evidence_location,capability,reachability,observed_effect,disposition,surface,source_config,dt_init_ueventd_file_contexts_vendor_te,native_artifact_dt_needed_relocations,identity_policy_sink,result,unknown_boundary,provenance_sha256,scope,route_family,canonical_result,duplicate_or_contradiction,integrated_status,new_safe_read_only_probe,prohibited_replay,evidence_paths_sha256,category,status,evidence_file
6WI native driver caller,work/luna_worker_phase6wi_driver_caller_20260810.csv,3,97e7a355e1ffa06de3a94c5eab3ef4fcb288b8a4f65fbe4157a399f6de21884b,WI-02,,,,,,,,,,,,,,,,,,,,,,,/dev/ion core/custom,"ion.c:1478-1617,1657-1658,1906-1924; ion custom control is summarized in phase6me driver-control-closure.csv; kernel.config:3532-3534",vendor_file_contexts:198 labels /dev/ion ion_device; :277/:280 label libion_mtk.so/libion_ulit.so; :574/:582/:591/:594 label ION debugfs; exact ueventd/init/DT join absent,"libion.so/libion_mtk.so artifacts show strings/symbols/ioctl capability, but no top-level process owner, DT_NEEDED consumer, or relocation/call-site join to a shipped daemon/APK",ION library labels are same_process_hal_file; no exact identity and no package/HOME/settings sink,UNKNOWN,library capability is excluded as a caller; no runtime invocation or node open,ion.c=abac518864faed94439d75d204e8c16ea75cf3a74c93ee50e128e0f6928a6d63; kernel.config=eefb8db484f65e196a7bb401ae0165f434f08b13041aef6762917e284d013d04; vendor_file_contexts=db5cd91b8d25170ad27809ace8cdbbd2a3f838ec72e2598a4f6b5a44953d322e; native-inventory.csv=9d1313d25cb45492d5656d03f05b7e60f5d037ccef15c20d9edec5e0fdbf17f9,,,,,,,,,,,
6WI native driver caller,work/luna_worker_phase6wi_driver_caller_20260810.csv,4,97e7a355e1ffa06de3a94c5eab3ef4fcb288b8a4f65fbe4157a399f6de21884b,WI-03,,,,,,,,,,,,,,,,,,,,,,,Amazon-LD sysfs/module parameters,"amzn_ld.c:618-738,878-896; CONFIG_AMAZON_LD=y and CONFIG_AMAZON_LD_SWITCH=y in prior closure; boot Image strings include amzn_ld.g_adc1_mv/g_adc2_mv","boot Image confirms kernel strings only; no retained exact DT instance, ueventd rule, file_contexts path, init action, or vendor-TE allow for the attributes",native corpus has no exact sysfs attribute string plus write relocation/call-site; DT_NEEDED closure unavailable,no userland identity or sensitive sink identified,UNKNOWN,kernel string presence is not a shipped userland caller; source file was archive-only and hash not independently available in extracted tree,boot.img=cf12e5619d635ecf7927784a4ed15a254a96c1642d1db9e4ca6734b192d6fa1b; Image=10638df8d43c83e0799bfe071ef29a8069ad909b320536cff6b58ee5e1efea7d; native-inventory.csv=9d1313d25cb45492d5656d03f05b7e60f5d037ccef15c20d9edec5e0fdbf17f9,,,,,,,,,,,
6WI native driver caller,work/luna_worker_phase6wi_driver_caller_20260810.csv,5,97e7a355e1ffa06de3a94c5eab3ef4fcb288b8a4f65fbe4157a399f6de21884b,WI-04,,,,,,,,,,,,,,,,,,,,,,,/proc/idme/* and IDME HAL,amzn_idme.c:316-347; kernel.config:3583-3584; exported idme_get_* symbols are kernel interfaces,vendor_file_contexts:79-80 labels fireos.hardware.idme@1.0/@1.1-service executables amzn_hal_idme_default_exec; vendor_sepolicy.cil contains amzn_hal_idme_default domain; exact proc file_contexts and DT /idme instance not closed,"IDME HAL/library names are present in bounded inventory, but no exact /proc/idme string plus open/read relocation/call-site in a shipped ELF; no DT_NEEDED consumer chain",HAL service identity is privileged-domain context only; no exact package/HOME/PMS sink,UNKNOWN,service presence and kernel exports do not prove a proc reader; no runtime read,amzn_idme.c=ab6484ae7a694412ec4eeabb67133ddd0c0af221076b6d989c8ab1fe7c84e61e; kernel.config=eefb8db484f65e196a7bb401ae0165f434f08b13041aef6762917e284d013d04; vendor_file_contexts=db5cd91b8d25170ad27809ace8cdbbd2a3f838ec72e2598a4f6b5a44953d322e,,,,,,,,,,,
6WI native driver caller,work/luna_worker_phase6wi_driver_caller_20260810.csv,6,97e7a355e1ffa06de3a94c5eab3ef4fcb288b8a4f65fbe4157a399f6de21884b,WI-05,,,,,,,,,,,,,,,,,,,,,,,/proc/amzn_drvs/* diagnostics,"amzn_drv_test.c:681-712,784-841; phase6nb records CONFIG_AMZN_DRV_TEST absent from trona defconfig","vendor policy domain list includes amzn_hal_diagnostictroublecode_default, but shipped snapshot lacks a closed /proc/amzn_drvs node plus exact init/ueventd/file_contexts chain","libmt8183_diag.so is ARM64 shared object hash 7147e161de7b3a8097bdf6079d0b414c147067d46e1f446138d041a63dd127d; static strings expose ashmem only, not amzn_drvs/idme/open/write/ioctl; no DT_NEEDED caller",diagnostic HAL/domain name is not a proc caller and no package/HOME/privilege sink is joined,UNKNOWN,conditional source-only surface; final merged config/module delivery and shipped diagnostic process ownership are missing; ELF not executed,amzn_drv_test.c=6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e; libmt8183_diag.so=7147e161de7b3a8097bdf6079d0b414c147067d46e1f446138d041a63dd127d7; vendor_sepolicy.cil=82430bdb87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,,,,,,,,,,,
6WI native driver caller,work/luna_worker_phase6wi_driver_caller_20260810.csv,7,97e7a355e1ffa06de3a94c5eab3ef4fcb288b8a4f65fbe4157a399f6de21884b,WI-06,,,,,,,,,,,,,,,,,,,,,,,RPMP/RPMB service and block path,rpmb core/rpmb-mtk source and kernel.config:2235-2237; phase6me source scope includes drivers/char,vendor init extraction lists rpmb_svc.rc; vendor_file_contexts has rpmb/block device types; exact DT RPMB node and ueventd ownership not closed,"native inventory has rpmb_svc process observation only; no exact ELF open/ioctl call-site, DT_NEEDED, or relocation tuple",rpmb_svc identity is a service observation; no package/HOME sink,UNKNOWN,process presence is not a path-specific native caller; no block/device operation executed,vendor_file_contexts=db5cd91b8d25170ad27809ace8cdbbd2a3f838ec72e2598a4f6b5a44953d322e; vendor_sepolicy.cil=82430bdb87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,,,,,,,,,,,
6WI native driver caller,work/luna_worker_phase6wi_driver_caller_20260810.csv,8,97e7a355e1ffa06de3a94c5eab3ef4fcb288b8a4f65fbe4157a399f6de21884b,WI-07,,,,,,,,,,,,,,,,,,,,,,,thermal HAL/proc and camera/sensor native families,phase6me source closure records thermal/camera/sensor registrations and ioctl/proc/sysfs markers; phase6tc rows TC-04..TC-06,vendor init extraction lists init.thermal*.rc and init.sensor_1_0.rc; policy domain list includes thermal/camera/sensor HALs; exact node-to-ueventd/file_contexts/TE allow join not complete,"native inventory lists camera/sensor/thermal libraries and services, but no exact path string plus open/read/write/ioctl relocation/call-site for a shipped top-level caller",HAL/service identity only; no package/HOME/settings sink,UNKNOWN,capability-only library/service rows intentionally collapsed; exact userland caller and sink remain absent,phase6me input-manifest=ada254be9c56572282704924eea66e2852889ec73c0a65be4558f36f77d8250a; native-inventory.csv=9d1313d25cb45492d5656d03f05b7e60f5d037ccef15c20d9edec5e0fdbf17f9; vendor_file_contexts=db5cd91b8d25170ad27809ace8cdbbd2a3f838ec72e2598a4f6b5a44953d322e,,,,,,,,,,,
6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,2,844bbbffa47066e663c65f6fdaced9ea48fc90746fe9be01b39a065332aa8760,WJ-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3A-6VF,HOME and formal User-0 resolver,Saved resolver evidence remains Fire Launcher; static HOME setters/sinks do not establish ordinary caller reachability or a sustainable replacement.,"Preferred/set-home, force-stop, monitor, accessibility, and HOME regression runs are duplicate outcome families; foreground redirects are not formal HOME changes.",INTEGRATED,Join phase6mw sink-calls by method/user/target with saved home_resolve and preferred-activity outputs; report only unmatched User-0 writers.,"No preferred-activity/set-home replay, component disable, accessibility enable, reboot, or launcher mutation.",findings/phase-6vf-report.md#920a4a446bb2180ac7c64b9cfa39c3f1209e065785616387e47e0d5122ba3717;work/luna_worker_phase6vd_test_reconciliation_20260810.csv#78462b8645a0c05bb134a0bae89a62cf154d0126c4aae24a93afe03d3be8a95e;artifacts/phase6mw-home-state-sinks-20260810-01/sink-calls.csv#51b924ec70b32c21d121f99b64ab997dace4bee805c52c86439808eaaf6a15e6,,,
6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,3,844bbbffa47066e663c65f6fdaced9ea48fc90746fe9be01b39a065332aa8760,WJ-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-6VF,Package/component enabled-state,"Package-state writers exist in framework/Amazon code, but saved gates rejected ordinary mutation and no writer is shown to reach User-0 HOME sustainably.","6VE's static writer inventory and 6VD's rejected shell/component tests are complementary, not contradictory: a sink is not an accepted caller.",INTEGRATED,"Normalize writer-calls with 6VE VE-001..021 by target, user argument, and caller class; flag only callsites absent from the 6VD route ledger.",No denied component-disable/enable or package-state setter replay.,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv#42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a;artifacts/phase6mh-package-state-writers-20260810-01/writer-calls.csv#39ce24194ecead7109894d6bae3cfcf631118c9181ec446dc70a6dd3354f231a;findings/phase-5-adb-surface-tests.md#870d90245a6f4221345b9eb57e86568ba485ee16d147764db4683c6cb731c282,,,
6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,4,844bbbffa47066e663c65f6fdaced9ea48fc90746fe9be01b39a065332aa8760,WJ-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6AY-6VF,KFT and child/profile users,Child/profile lifecycle and KFT component changes are real only for the target child/profile; final guards preserve User-0 Fire Launcher.,"Static KFT writers touching Tahoe, Fire Launcher, and Launcher3 do not contradict child-scoped runtime evidence; user scope is the missing join.",INTEGRATED,Join kft_tx3_method_security UserInfo.id flows to saved child user IDs and HOME/package snapshots; classify any User-0 edge separately.,"No child switching, private KFT transaction, profile provisioning/removal, or component mutation replay.",findings/phase-6ay-kft-child-user-evidence-index.md#fb98b6a05b2966258454aa3ea58aaadefb9c4f04e14ecbf0592e61858611a2ad;artifacts/phase6pr-kft-tx3-authz-20260810-01/kft_tx3_method_security.csv#da80cd783697795ae82502b87626de743f44ac736c92941ed78d20909213ca9e;findings/phase-6vf-report.md#920a4a446bb2180ac7c64b9cfa39c3f1209e065785616387e47e0d5122ba3717,,,
6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,5,844bbbffa47066e663c65f6fdaced9ea48fc90746fe9be01b39a065332aa8760,WJ-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6DI-6VF,DPM and profile-owner paths,DPM tests show bounded owner/admin behavior but no ordinary sustainable HOME/package-state route; static DPM sinks remain gated and caller identity is incomplete.,"Passive backup/lock-task observations and static enableSystemApp/enableIfNecessary sinks are different layers, not conflicting results.",INTEGRATED,"Cross-reference DPM sink rows with saved device-policy, user, and HOME outputs to identify an exact user-scoped writer without invoking DPM.","No fake-admin, owner provisioning/removal, lock-task mutation, or private DPM transaction.",findings/phase-6di-kft-dpm-backup-passive.md#801bf33635a8ffb5af57a98e1cbaaf4af526043a3042634b47cdd931c84c4927;work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv#42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a;findings/phase-6vf-report.md#920a4a446bb2180ac7c64b9cfa39c3f1209e065785616387e47e0d5122ba3717,,,
6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,6,844bbbffa47066e663c65f6fdaced9ea48fc90746fe9be01b39a065332aa8760,WJ-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C-6VF,Settings and overlays,Resource/default-home and overlay evidence does not prove runtime selection; no settings mutation or durable HOME change is established.,"UI/resource candidates and saved settings tests were previously treated as possible writers; the 6VF sink inventory leaves caller, gate, and user scope unresolved rather than positive.",INTEGRATED,Map overlay/default-home resource keys to concrete sink methods and compare against saved settings/HOME keys; emit only exact key-to-sink matches.,"No settings put/delete, overlay enable/disable, UI dispatch, or preferred-state mutation.",findings/phase-6rs-ru-report.md#525042c0378c128161d8be8163e516b969eed633640544a3a77dbf4802494a0f;work/luna_worker_phase6va_fosinit_residual_closure_20260810.csv#834676c20c53cb7910f2ed56f382fd4d90e0f04c56aaba23433a4b770c3eab2c;findings/phase-6vf-evidence-index.md#9dbe6c36a34deaf601f4f8ed071a52a7cfda73a0b3154434e98ac090f3d4b596,,,
6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,7,844bbbffa47066e663c65f6fdaced9ea48fc90746fe9be01b39a065332aa8760,WJ-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6BK-6VF,Private Binder and Amazon IPC,Service visibility/candidate interfaces and static sinks do not establish a callable transaction or accepted identity; H2 holder/grant/requester remains incomplete.,"Binder publication, method candidates, and sink inventory were unintegrated evidence classes; none is a runtime HOME/package-state result.",INTEGRATED,Join method-matrix descriptors to saved service-list/permission/SELinux artifacts and mark only interfaces with both publication and a resolved caller gate.,"No unknown transaction code, private Binder call, guessed descriptor, or Binder mutation.",artifacts/phase6mt-amazon-ipc-candidates-20260810-01/method-matrix.csv#0d630a291c239decfd91f14bf0e41b6222f847b0f88de0eda9eb0de3a98b3744;artifacts/phase6mc-caller-provenance-20260810-01/caller-provenance.csv#fbb4f21dad1c3948bb3748fe7bcf652b6b136a6fb07e62cb4e7d7e6d51e1b11d;findings/phase-6qe-evidence-index.md#9d7422fc5299f5b73eb25fee43f3e95cddd7869b25f270181ccf06f144ad0ed5,,,
6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,8,844bbbffa47066e663c65f6fdaced9ea48fc90746fe9be01b39a065332aa8760,WJ-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6AE-6VF,OTA/recovery/updater,"Exact OTA and native updater paths contain partition/cache writers statically, but no updater, recovery, OTA, reboot, or partition effect was observed.","6VB confirms extracted-image/path facts; 6VD's no-execution result is a safety boundary, not a contradiction or negative runtime proof.",INTEGRATED,"Reconcile archive EOF/manifest hashes, updater-script operations, and caller/provenance rows into one path-to-authority map; leave AVB/recovery handoff UNKNOWN.","No OTA delivery, recovery/update-binary execution, reboot, sideload, partition write, or rollback operation.",work/luna_worker_phase6vb_ota_postinstall_closure_20260810.csv#4eaeb6302d1fde0752bc052cd9c67b0b5ee1d3bac7f93935352dced1c36d3fd5;artifacts/phase6md-native-updater-path-audit-20260810-02/updater-script-operations.csv#baf9d3598cf35c009afe127401d77b3e2f0a2594c133ba71e6e5bf6b2562b367;artifacts/phase6md-native-updater-path-audit-20260810-02/path-write-call-edges.csv#7dc9e3ef02a86d978d59736440bad0273288d83c71b8e7117eefb96c7bfffdbb,,,
6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,9,844bbbffa47066e663c65f6fdaced9ea48fc90746fe9be01b39a065332aa8760,WJ-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6QE-6VF,Native drivers ION/CMDQ/MDP,"Driver and native control edges are host-side static/conditional evidence only; retail node access, process/domain load, and effect are not established.","ELF/policy/control-edge markers do not contradict the absence of device ioctl results; they are prerequisites, not runtime reachability.",INTEGRATED,Join driver-control closure to image DT_NEEDED/relocation and SELinux domain/node inventories; report only complete caller-to-node paths.,"No driver-node open, read/write, ioctl, malformed native input, or driver replay.",work/luna_worker_phase6vc_driver_caller_policy_20260810.csv#8bb5edcc5b5e1cf0bfb8e45cd14c1e185ac873c4d307e67594c024ccd3b69ad0;artifacts/phase6me-driver-control-edges-20260810-01/driver-control-closure.csv#360168945378dc42c96868339a3ed2a92fa4dfb819e9a9043286a453906218cb;findings/phase-6qe-evidence-index.md#9d7422fc5299f5b73eb25fee43f3e95cddd7869b25f270181ccf06f144ad0ed5,,,
6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,10,844bbbffa47066e663c65f6fdaced9ea48fc90746fe9be01b39a065332aa8760,WJ-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-6VF,PI-futex/root/low-level routes,Source/config/probe logs do not close a retail privilege transition or sensitive sink; no approved device mutation is present.,"PI-futex smoke/rollback observations and root-route reviews are historical safety-bounded families, not a root result; no replay is justified.",INTEGRATED,"Compare saved futex feature/config/patch-chain hashes and existing log schemas for identity, user, and sink fields; identify only missing host evidence.","No root/exploit payload, futex abuse, kernel-driver interaction, privilege escalation, or device replay.",findings/phase-5-evidence-index.md#74417961d2352883022fd69306b131dfd374e650bfc14f5238055cbf817128b9;findings/phase-6vf-report.md#920a4a446bb2180ac7c64b9cfa39c3f1209e065785616387e47e0d5122ba3717;output/tables/phase5dd-native-futex-summary.csv#e9392342c8e5463878ffb6e30cd20a601167e69e9d91b9efd5facd1854797289,,,
6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,11,844bbbffa47066e663c65f6fdaced9ea48fc90746fe9be01b39a065332aa8760,WJ-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4B-6VF,Alternate launchers/foreground fallbacks,Tahoe/KFT/Launcher3 and accessibility/ADB foreground paths are either child-scoped or temporary; none is a sustainable User-0 formal HOME replacement.,Static alternate-launcher literals in 6VE do not contradict runtime Fire resolution because no accepted User-0 writer and no persistence proof is present.,INTEGRATED,"Build a target-by-user matrix from HOME sinks, package writers, KFT rows, and saved resolver outputs; flag only a target that is both User-0 and persistent.","No alternate-launcher enable/disable, HOME setter, accessibility/ADB enablement, or foreground spoof replay.",work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv#42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a;findings/phase-4b-final-workaround-verdict.md#0eeec6f26f77d5bfcccbc34e7a976532ada7acb78538395853fc85a8378d7eb6;findings/phase-6ay-kft-child-user-evidence-index.md#fb98b6a05b2966258454aa3ea58aaadefb9c4f04e14ecbf0592e61858611a2ad,,,
6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,2,413bf7a4e9150ea0046fef4d44d8f306b595610a4e8593d3078952f5de762d57,WK-001,DefaultPermissionGrantPolicy,grant default/runtime permissions,decompiled/jadx/systemui/sources/com/android/server/pm/permission/DefaultPermissionGrantPolicy.java,106-121,internal PackageManager permission manager,UNKNOWN,system_server package-management path,system_server/internal policy path; exact caller gate UNKNOWN,DefaultPermissionGrantPolicy,userId argument,privileged/system handlers and requested runtime permissions,186a710bb9d27f703f2c76bc1e179ac18cebbff022674e9e71f2bf7a50226327,static direct,exact invocation caller and SELinux/service-manager rule UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
