service_class,method_number,kind,signature,access,line_start,line_end,permissions,package_literals,state_calls,dpm_calls,ota_calls,identity_calls,classification,risk_boundary,device_tested
AmazonUserManagerService,5653,direct_method,disableNavBarFeatureForKids ()V,access=0002 (PRIVATE),54876,54893,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5655,direct_method,getSystemServiceName ()Ljava/lang/String;,access=0009 (PUBLIC STATIC),54894,54899,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5656,direct_method,getUserSortedListFromFile ()Ljava/util/List;,access=0002 (PRIVATE),54900,55034,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5661,direct_method,sendSortedListChangedBroadcast ()V,access=0002 (PRIVATE),55035,55047,,amazon.intent.action.USER_SORTED_LIST_CHANGED,,,"0010: invoke-virtual {v1, v0, v2}, Landroid/content/Context;.sendBroadcastAsUser:(Landroid/content/Intent;Landroid/os/UserHandle;)V // method@0250",,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5654,virtual_method,getActiveProfileTypeInternal ()I,access=0001 (PUBLIC),55048,55052,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5657,virtual_method,onBootPhase (I)V,access=0001 (PUBLIC),55053,55105,,,"005b: invoke-virtual {v4, v3}, Lcom/amazon/android/server/pm/AmazonUserManagerService$BinderService;.setUserSetupComplete:(Landroid/content/pm/UserInfo;)Z // method@1600","002b: invoke-virtual {v0}, Lcom/amazon/android/server/pm/AmazonUserManagerHelper;.getDevicePolicyManager:()Landroid/app/admin/IDevicePolicyManager; // method@15ed; 002f: iput-object v0, v5, Lcom/amazon/android/server/pm/AmazonUserManagerService;.mDpm:Landroid/app/admin/IDevicePolicyManager; // field@099f","0033: invoke-virtual {v0}, Lamazon/content/pm/AmazonPackageManager;.isUpgrade:()Z // method@0039",,KFT_BOOT_LIFECYCLE,Internal user/upgrade lifecycle; may invoke KFT path; do not trigger or alter setup state.,NO
AmazonUserManagerService,5658,virtual_method,onStart ()V,access=0001 (PUBLIC),55106,55119,,,,,,,SERVICE_REGISTRATION,Publishes private Binder service; no transaction sent.,NO
AmazonUserManagerService.BinderService,5622,direct_method,<init> (Lcom/amazon/android/server/pm/AmazonUserManagerService;)V,access=10001 (PUBLIC CONSTRUCTOR),54241,54247,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService.BinderService,5623,direct_method,empowerKftUser (Landroid/content/pm/UserInfo;)V,access=0002 (PRIVATE),54248,54296,,Free Time; com.amazon.tahoe; com.amazon.tahoe.deviceadmin.FreeTimeDeviceAdminReceiver,,"0013: invoke-static {v2}, Lcom/amazon/android/server/pm/AmazonUserManagerService;.access$1100:(Lcom/amazon/android/server/pm/AmazonUserManagerService;)Landroid/app/admin/IDevicePolicyManager; // method@1608; 0017: invoke-interface {v2, v1, v0}, Landroid/app/admin/IDevicePolicyManager;.isAdminActive:(Landroid/content/ComponentName;I)Z // method@01f6; 0037: invoke-static {v2}, Lcom/amazon/android/server/pm/AmazonUserManagerService;.access$1100:(Lcom/amazon/android/server/pm/AmazonUserManagerService;)Landroid/app/admin/IDevicePolicyManager; // method@1608; 003c: invoke-interface {v2, v1, v3, v0}, Landroid/app/admin/IDevicePolicyManager;.setActiveAdmin:(Landroid/content/ComponentName;ZI)V // method@01f7; 0059: invoke-static {v2}, Lcom/amazon/android/server/pm/AmazonUserManagerService;.access$1100:(Lcom/amazon/android/server/pm/AmazonUserManagerService;)Landroid/app/admin/IDevicePolicyManager; // method@1608; 005f: invoke-interface {v2, v1, v3, v0}, Landroid/app/admin/IDevicePolicyManager;.setProfileOwner:(Landroid/content/ComponentName;Ljava/lang/String;I)Z // method@01f8",,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService.BinderService,5625,direct_method,enableKftLauncherComponent (Landroid/content/pm/UserInfo;)V,access=0002 (PRIVATE),54297,54325,,com.amazon.firelauncher; com.amazon.tahoe; com.amazon.tahoe.launcher.FreeTimeLauncherActivity; com.android.launcher3,"0012: invoke-virtual {v0, v1, v3, v3, v2}, Lamazon/content/pm/AmazonPackageManager;.setComponentEnabledSetting:(Landroid/content/ComponentName;III)V // method@003b; 0021: invoke-virtual {v0, v1, v4, v3, v2}, Lamazon/content/pm/AmazonPackageManager;.setApplicationEnabledSetting:(Ljava/lang/String;III)V // method@003a; 002e: invoke-virtual {v0, v1, v4, v3, v2}, Lamazon/content/pm/AmazonPackageManager;.setApplicationEnabledSetting:(Ljava/lang/String;III)V // method@003a",,,,KFT_LAUNCHER_STATE_WRITE,High-impact package/component mutation; private helper; do not invoke on retail device.,NO
AmazonUserManagerService.BinderService,5626,direct_method,existsKftLauncher ()Z,access=0002 (PRIVATE),54326,54336,,com.amazon.tahoe; com.amazon.tahoe.launcher.FreeTimeLauncherActivity,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService.BinderService,5629,direct_method,isMMDevice ()Z,access=0002 (PRIVATE),54337,54347,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService.BinderService,5630,direct_method,isTv ()Z,access=0002 (PRIVATE),54348,54370,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService.BinderService,5634,direct_method,tryEnableKftLauncherComponent (Landroid/content/pm/UserInfo;)Z,access=0002 (PRIVATE),54371,54414,,Could not enable KFT Launcher; Enabling KFT Tablet Launcher component for user: ,,,,,KFT_LAUNCHER_STATE_GATE,KFT/TV/existence gate before state write; host-only evidence.,NO
AmazonUserManagerService.BinderService,5624,virtual_method,enableKftLauncher (Landroid/content/pm/UserInfo;)Z,access=0001 (PUBLIC),54415,54478,,,,"0024: invoke-static {v3}, Lcom/amazon/android/server/pm/AmazonUserManagerService;.access$1100:(Lcom/amazon/android/server/pm/AmazonUserManagerService;)Landroid/app/admin/IDevicePolicyManager; // method@1608; 0047: const-string v6, ""Failed to setActiveAdmin/setProfileOwner. We don't know why"" // string@1812; 0052: const-string v6, ""Failed to setActiveAdmin/setProfileOwner. FreeTime package not found."" // string@1811; 005d: const-string v6, ""Failed to setActiveAdmin/setProfileOwner. DeviceProfileManager issue."" // string@1810",,"0034: invoke-static {}, Landroid/os/Binder;.clearCallingIdentity:()J // method@0aed; 003c: invoke-static {v3, v4}, Landroid/os/Binder;.restoreCallingIdentity:(J)V // method@0af3; 0062: invoke-static {v3, v4}, Landroid/os/Binder;.restoreCallingIdentity:(J)V // method@0af3; 0067: invoke-static {v3, v4}, Landroid/os/Binder;.restoreCallingIdentity:(J)V // method@0af3",KFT_PROFILE_OWNER_FLOW,High-impact KFT/DPM/profile-owner flow; service is private and invocation is rejected.,NO
AmazonUserManagerService.BinderService,5627,virtual_method,getActiveProfileType ()I,access=0001 (PUBLIC),54479,54486,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService.BinderService,5628,virtual_method,getUserSortedList ()Ljava/util/List;,access=0001 (PUBLIC),54487,54513,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService.BinderService,5631,virtual_method,setActiveProfileType (I)V,access=0001 (PUBLIC),54514,54523,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService.BinderService,5632,virtual_method,setUserSetupComplete (Landroid/content/pm/UserInfo;)Z,access=0001 (PUBLIC),54524,54566,,,"0017: invoke-virtual {v2, v3, v4, v6, v5}, Lcom/amazon/android/server/pm/AmazonUserManagerHelper;.putIntForUser:(Landroid/content/ContentResolver;Ljava/lang/String;II)V // method@15f0; 002c: invoke-virtual {v2, v3, v4, v6, v5}, Lcom/amazon/android/server/pm/AmazonUserManagerHelper;.putIntForUser:(Landroid/content/ContentResolver;Ljava/lang/String;II)V // method@15f0; 003b: const-string v4, ""Failed to setUserSetupComplete"" // string@1813; virtual_method #5632: setUserSetupComplete (Landroid/content/pm/UserInfo;)Z",,,"0000: invoke-static {}, Landroid/os/Binder;.clearCallingIdentity:()J // method@0aed; 002f: invoke-static {v0, v1}, Landroid/os/Binder;.restoreCallingIdentity:(J)V // method@0af3; 0041: invoke-static {v0, v1}, Landroid/os/Binder;.restoreCallingIdentity:(J)V // method@0af3; 0045: invoke-static {v0, v1}, Landroid/os/Binder;.restoreCallingIdentity:(J)V // method@0af3",SETUP_STATE_MUTATION,Setup/user state mutation in internal user lifecycle; not a third-party HOME API.,NO
AmazonUserManagerService.BinderService,5633,virtual_method,setUserSortedList (Ljava/util/List;)V,access=0001 (PUBLIC),54567,54699,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonPackageManagerService,7552,direct_method,<clinit> ()V,access=10008 (STATIC CONSTRUCTOR),96041,96049,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonPackageManagerService,7553,direct_method,<init> (Landroid/content/Context;)V,access=10001 (PUBLIC CONSTRUCTOR),96050,96062,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonPackageManagerService,7554,direct_method,access$000 (Lcom/amazon/android/service/pm/AmazonPackageManagerService;)Landroid/content/Context;,access=1008 (STATIC SYNTHETIC),96063,96068,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonPackageManagerService,7555,direct_method,access$100 ()Ljava/lang/String;,access=1008 (STATIC SYNTHETIC),96069,96074,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonPackageManagerService,7556,direct_method,access$200 (Lcom/amazon/android/service/pm/AmazonPackageManagerService;)Lcom/amazon/android/service/audio/AudioRecordPermissionEnforcer;,access=1008 (STATIC SYNTHETIC),96075,96080,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonPackageManagerService,7557,direct_method,getSystemServiceName ()Ljava/lang/String;,access=0009 (PUBLIC STATIC),96081,96086,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonPackageManagerService,7558,virtual_method,onBootPhase (I)V,access=0001 (PUBLIC),96087,96127,com.amazon.permission.RECEIVE_BOOT_AFTER_SYSTEM_OTA,amazon.intent.action.BOOT_AFTER_SYSTEM_OTA,,,"002d: invoke-virtual {v0}, Lcom/android/server/pm/PackageManagerService;.isUpgrade:()Z // method@36f9; 0038: const-string v1, ""amazon.intent.action.BOOT_AFTER_SYSTEM_OTA"" // string@5597; 0044: const-string v2, ""Sending BOOT_AFTER_SYSTEM_OTA broadcast"" // string@473b; 004b: const-string v2, ""com.amazon.permission.RECEIVE_BOOT_AFTER_SYSTEM_OTA"" // string@5cd5; 004d: invoke-virtual {v1, v0, v2}, Landroid/content/Context;.sendBroadcast:(Landroid/content/Intent;Ljava/lang/String;)V // method@024f",,POST_OTA_BROADCAST_GATE,Runs only in system-server lifecycle; protected OTA broadcast; do not replay.,NO
AmazonPackageManagerService,7559,virtual_method,onStart ()V,access=0001 (PUBLIC),96128,96137,,,,,,,SERVICE_REGISTRATION,Publishes private Binder service; no transaction sent.,NO
AmazonPackageManagerService.BinderService,7540,direct_method,<init> (Lcom/amazon/android/service/pm/AmazonPackageManagerService;)V,access=10000 (CONSTRUCTOR),95870,95876,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonPackageManagerService.BinderService,7541,virtual_method,deregisterProxyReceiver (Landroid/content/Intent;)Z,access=0001 (PUBLIC),95877,95888,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonPackageManagerService.BinderService,7542,virtual_method,getAmazonFlagsForUser (Ljava/lang/String;I)I,access=0001 (PUBLIC),95889,95895,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonPackageManagerService.BinderService,7543,virtual_method,getConfigurationHelper ()Lcom/amazon/android/service/pm/ConfigurationHelper;,access=0001 (PUBLIC),95896,95928,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonPackageManagerService.BinderService,7544,virtual_method,isFtvSpecApp (Ljava/lang/String;)Z,access=0001 (PUBLIC),95929,95935,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonPackageManagerService.BinderService,7545,virtual_method,isPreInstalledAppWithFtvSpec (Ljava/lang/String;)Z,access=0001 (PUBLIC),95936,95942,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonPackageManagerService.BinderService,7546,virtual_method,registerProxyReceiver (Landroid/content/Intent;Landroid/app/PendingIntent;)Z,access=0001 (PUBLIC),95943,95954,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonPackageManagerService.BinderService,7547,virtual_method,removeAmazonFlagsForUser (Ljava/util/List;II)V,access=0001 (PUBLIC),95955,95972,Permission denied to remove amazon flags.; amazon.permission.ADD_RM_PKG_METADATA,,,,,,PACKAGE_METADATA_PERMISSION_GATED,Amazon package metadata mutation; explicit Amazon permission branch; not HOME.,NO
AmazonPackageManagerService.BinderService,7548,virtual_method,removeAmazonMetadataForUser (Ljava/lang/String;Ljava/util/List;I)V,access=0001 (PUBLIC),95973,95990,Permission denied.; amazon.permission.ADD_RM_PKG_METADATA,,,,,,PACKAGE_METADATA_PERMISSION_GATED,Amazon package metadata mutation; explicit Amazon permission branch; not HOME.,NO
AmazonPackageManagerService.BinderService,7549,virtual_method,setAmazonFlagsForUser (Ljava/util/List;II)V,access=0001 (PUBLIC),95991,96008,Permission denied to set amazon flags.; amazon.permission.ADD_RM_PKG_METADATA,,,,,,PACKAGE_METADATA_PERMISSION_GATED,Amazon package metadata mutation; explicit Amazon permission branch; not HOME.,NO
AmazonPackageManagerService.BinderService,7550,virtual_method,setAmazonMetadataForUser (Ljava/lang/String;Ljava/util/List;Ljava/util/List;I)V,access=0001 (PUBLIC),96009,96026,Permission denied.; amazon.permission.ADD_RM_PKG_METADATA,,,,,,PACKAGE_METADATA_PERMISSION_GATED,Amazon package metadata mutation; explicit Amazon permission branch; not HOME.,NO
AmazonPackageManagerService.BinderService,7551,virtual_method,shouldAllowMicAccess (Ljava/lang/String;)Z,access=0001 (PUBLIC),96027,96036,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
