"record_id","record_type","surface","artifact_or_entry","caller","gate","identity_or_user_scope","sink","runtime_or_result","missing_edge","classification","confidence","evidence","next_safe_step"
"P21A-011","fosinit","core_fosinit.xml","core_fosinit.xml: VendorSystemServerCallback and debug service -> InitFireOsSystemConfigCallback; FireOSDebugService :: system-server bootstrap and debug-service registration","system_server bootstrap; debug caller for service surface UNKNOWN","bootstrap gate and debug permission beyond saved entry are not fully joined","identity behavior for debug calls UNKNOWN; no clearCallingIdentity edge established | system-server global scope","configuration initialization and diagnostic service surface; no package/HOME/OTA sink joined","host-only XML/disassembly evidence","join debug Stub methods to DUMP/permission and bootstrap callback side effects","UNKNOWN_NOT_A_VULNERABILITY","Hypothesis","artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/core_fosinit.xml:8-15; artifacts/amazon-services/core_fosinit.xml:8-15; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:34632-34655","inspect saved debug methods and init callback only; no diagnostic Binder calls"
"P21A-012","fosinit","receiverfilter_fosinit.xml","receiverfilter_fosinit.xml: VendorPackageManagerCallback -> ReceiverFilterCallback :: PackageManager receiver-filter callback","PackageManager lifecycle callback; external caller not applicable/recovered","filter metadata construction and action/data-type matching gates visible; final PM branch incomplete","system_server callback identity; clearCallingIdentity not shown | package/component receiver scope; user scope not visible","receiver/action/data-type filtering effect; no direct settings/HOME/package-state writer joined","host-only source/data-flow evidence","join filter file provenance, package/component inputs, final PMS mutation and any user argument","BOUNDED_PARTIAL","Strong evidence","artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/receiverfilter_fosinit.xml:8-11; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:195193-195889; work/luna_worker_phase6va_fosinit_residual_closure_20260810.csv:receiverfilter","static receiver-filter/PMS join; no broadcast or package mutation"
"P21A-013","fosinit","tabletbroadcastrelay_fosinit.xml","tabletbroadcastrelay_fosinit.xml: vendor service -> TabletBroadcastRelayService; TabletBroadcastRelayReceiver :: onStart receiver registration for USER_BACKGROUND/USER_FOREGROUND","system service registration; receiver-side sender/caller UNKNOWN","no caller gate on registration; receiver authorization/forward target unresolved","registration is system_server identity; receiver callback identity and clearCallingIdentity UNKNOWN | UserHandle.ALL explicit all-user scope","broadcast relay forwarding sink unresolved; package/component/HOME/settings/OTA destination UNKNOWN","host-only disassembly evidence","join receiver onReceive actions, permission, explicit target package/component, and downstream sink","UNRESOLVED_AUTHZ_BOUNDED","Hypothesis","artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/tabletbroadcastrelay_fosinit.xml:8-11; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:168379-168430; work/luna_worker_phase6va_fosinit_residual_closure_20260810.csv:tabletbroadcastrelay","static receiver/source join only; no broadcast registration or relay trigger"
"P21B-001","vending","LauncherConfigurationReceiver","artifacts/phase6ps-vending-receiver-20260810-01/LauncherConfigurationReceiver.java","Manifest action com.android.launcher3.action.FIRST_SCREEN_ACTIVE_INSTALLS; sender identity UNKNOWN","exported=true; no manifest permission; verificationToken required; missing token returns","Caller/package/profile/user binding is represented only by the bounded caller text; no separate accepted identity was closed","Accepted receiver path after token parsing","host-only; no broadcast, PendingIntent, Binder or device call","External sender UID and token provenance are not established","PARTIAL_CLOSED","Strong evidence","Receiver source SHA-256 71d17a064272f88d02f4619a2f4fa6fedf0ae91a233c29e0ad6d4110643b6b47; prior P20D-VENDING-002 closure","Recover the missing caller/creator/user edge offline; do not invoke the receiver, DSE Binder, PendingIntent or settings writer"
"P21B-002","vending","LauncherConfigurationReceiver","artifacts/phase6ps-vending-receiver-20260810-01/LauncherConfigurationReceiver.java","Token creator package is the effective identity input; external caller UNKNOWN","Creator equals current launcher, or Setup/ApplicationInfo plus launcher qualification branch","Caller/package/profile/user binding is represented only by the bounded caller text; no separate accepted identity was closed","Receiver acceptance and payload processing","host-only; no broadcast, PendingIntent, Binder or device call","Profile/user binding and exact legitimate caller remain unknown; exported status is insufficient","OPEN_EDGE","Hypothesis","Same receiver source; agyy.d/b/g and ahmo.u branches","Recover the missing caller/creator/user edge offline; do not invoke the receiver, DSE Binder, PendingIntent or settings writer"
"P21B-003","vending","LauncherConfigurationReceiver","artifacts/phase6ps-vending-receiver-20260810-01/LauncherConfigurationReceiver.java","Accepted creator-qualified receiver path","Item-list extras; restore/account feature gates; no direct privilege gate beyond acceptance","Caller/package/profile/user binding is represented only by the bounded caller text; no separate accepted identity was closed","aoba item flags/bookkeeping; aofc downstream restore bookkeeping","host-only; no broadcast, PendingIntent, Binder or device call","Exact downstream persistence and user/profile ownership are incomplete","BOUNDED_NEGATIVE","Disproved","Recovered body consumes hotseat/widget/workspace/folder lists; no HOME component setter or Fire Launcher literal","Recover the missing caller/creator/user edge offline; do not invoke the receiver, DSE Binder, PendingIntent or settings writer"
"P21B-004","vending","DseService manifest and entry","artifacts/phase6mb-vending-static-20260810-01/manifest-print.txt; artifacts/phase6mb-vending-jadx-20260810-01/base/sources/com/google/android/finsky/setup/dse/impl/DseService.java","External Binder caller package/UID UNKNOWN","exported=true; DSE permission; mi DeviceSetup feature ahwm.i; o Binder.getCallingUid plus arjs authorization ahwm.d","Caller/package/profile/user binding is represented only by the bounded caller text; no separate accepted identity was closed","mph binder surface and authorized DSE operations","host-only; no broadcast, PendingIntent, Binder or device call","Permission declaration semantics and arbitrary-caller/bypass reachability are not proven; no Binder call performed","OPEN_EDGE","Hypothesis","Manifest SHA-256 e332aa77041fd4c4c58c4861471341a8563c7f6c51fc64f54c651fccb27e61c4; DseService SHA-256 79c903844c1e80f6f04423de1a3cff6a456490339bebd12f7cef824070dd7beb","Recover the missing caller/creator/user edge offline; do not invoke the receiver, DSE Binder, PendingIntent or settings writer"
"P21B-005","vending","DSE g duplicated/partial branch","artifacts/phase6mb-vending-jadx-20260810-01/base/sources/com/google/android/finsky/setup/dse/impl/DseService.java","mph installDse/installApp after o(); exact upstream caller authorization is gated but provenance incomplete","Nonempty package; refetch/choice matching; DSE feature gates; installed-state and cleanup conditions","Caller/package/profile/user binding is represented only by the bounded caller text; no separate accepted identity was closed","Search/default selection state; metrics; injected install/bookkeeping paths","host-only; no broadcast, PendingIntent, Binder or device call","JADX duplicated-block warnings prevent exact branch equivalence; original control-flow artifact unavailable in bounded set","OPEN_EDGE","Hypothesis","DseService g() lines 363-485; warnings B:51/B:53/B:55/B:56/B:59","Recover the missing caller/creator/user edge offline; do not invoke the receiver, DSE Binder, PendingIntent or settings writer"
"P21B-006","vending","DSE browser selection","artifacts/phase6mb-vending-jadx-20260810-01/base/sources/com/google/android/finsky/setup/dse/impl/DseService.java","aocc install-event callback and authorized DSE path; exact external caller remains gated/unknown","Package/selection checks; UserHandle.myUserId(); DSE authorization upstream","Caller/package/profile/user binding is represented only by the bounded caller text; no separate accepted identity was closed","PackageManager.setDefaultBrowserPackageNameAsUser(str,myUserId)","host-only; no broadcast, PendingIntent, Binder or device call","Caller-to-user/profile handoff and prior authorization-to-user binding incomplete","PARTIAL_CLOSED","Strong evidence","DseService t(); aocc.java:35 caller; browser-default sink only","Recover the missing caller/creator/user edge offline; do not invoke the receiver, DSE Binder, PendingIntent or settings writer"
"P21B-007","vending","DSE search selector and returned token","artifacts/phase6mb-vending-jadx-20260810-01/base/sources/com/google/android/finsky/setup/dse/impl/DseService.java","Authorized DSE caller path; supplied first-party PendingIntent origin UNKNOWN","Device/network eligibility; DeviceDefaultAppSelection ahwe.x; optional returning token","Caller/package/profile/user binding is represented only by the bounded caller text; no separate accepted identity was closed","Setup Wizard search-selector activity; optional PendingIntent.send in i()","host-only; no broadcast, PendingIntent, Binder or device call","Token creator/origin and runtime caller chain not recoverable; invocation prohibited","CAPABILITY_ONLY","Hypothesis","DseService h()/i(); action com.google.android.apps.setupwizard.searchselector.LAUNCH_CHOICE_SCREEN","Recover the missing caller/creator/user edge offline; do not invoke the receiver, DSE Binder, PendingIntent or settings writer"
"P21B-008","vending","DSE eligibility settings","artifacts/phase6mb-vending-jadx-20260810-01/base/sources/com/google/android/finsky/setup/dse/impl/DseService.java","Authorized DSE path expected; injected callback caller details UNKNOWN","Country/search selection; injected vku.y writer callback; exception handling","Caller/package/profile/user binding is represented only by the bounded caller text; no separate accepted identity was closed","Eligibility secure-settings writer","host-only; no broadcast, PendingIntent, Binder or device call","Exact key, provider, target user, and writer authority are absent","OPEN_EDGE","Hypothesis","DseService j(); log text says Failed to write eligibility secure settings","Recover the missing caller/creator/user edge offline; do not invoke the receiver, DSE Binder, PendingIntent or settings writer"
"P21B-009","vending","Search preferred activity downstream","artifacts/phase6mb-vending-jadx-20260810-01/base/sources/defpackage/aocc.java; artifacts/phase6mb-vending-jadx-20260810-01/base/sources/defpackage/uez.java","aocc install-event listener; selected search package match","DeviceDefaultAppSelection gate; API Q gate; WEB_SEARCH resolution and current-package checks","Caller/package/profile/user binding is represented only by the bounded caller text; no separate accepted identity was closed","PackageManager.replacePreferredActivity for WEB_SEARCH + DEFAULT","host-only; no broadcast, PendingIntent, Binder or device call","Exact install-event source and user/profile context remain incomplete","BOUNDED_NEGATIVE","Disproved","aocc SHA/context from prior closure; uez SHA-256 a60801882f5b1ada40110f32010a697aa2d809484dff1ce9b16fae6aba8d3497; no HOME action","Recover the missing caller/creator/user edge offline; do not invoke the receiver, DSE Binder, PendingIntent or settings writer"
"P21B-010","vending","DSE install/bookkeeping boundary","artifacts/phase6mb-vending-jadx-20260810-01/base/sources/com/google/android/finsky/setup/dse/impl/DseService.java; artifacts/phase6mb-vending-jadx-20260810-01/base/sources/defpackage/mph.java","mph.c/mph.d after DSE o(); injected installer/work manager caller UNKNOWN","o() authorization; SDK/bundle checks; v(1/2) and DeviceSetup feature gates","Caller/package/profile/user binding is represented only by the bounded caller text; no separate accepted identity was closed","Injected install scheduling, package selection, cleanup, and bookkeeping","host-only; no broadcast, PendingIntent, Binder or device call","Installer authority, account/user handoff, and completion callback provenance incomplete; no APK install executed","OPEN_EDGE","Hypothesis","mph SHA-256 93ffc418fb31cb58038f6ecbdefc020e4fb5221f8b80cce141a48b3591be30a1; s() uses injected aacm.k","Recover the missing caller/creator/user edge offline; do not invoke the receiver, DSE Binder, PendingIntent or settings writer"
"P21B-011","vending","Fire/HOME negative boundary","work/luna_worker_vending_downstream_closure_20260810.md; artifacts/phase6mb-vending-state-writer-scan.csv","Bounded receiver/DSE callers only","Recovered code and generic setter inventory searched for target/component literals","Caller/package/profile/user binding is represented only by the bounded caller text; no separate accepted identity was closed","No bounded Fire Launcher target or HOME resolver/component writer","host-only; no broadcast, PendingIntent, Binder or device call","Unrelated framework surfaces and unresolved injected writers remain outside scope","BOUNDED_NEGATIVE","Disproved","Prior P20D-VENDING-002 findings; no com.amazon.firelauncher literal; WEB_SEARCH is distinct from HOME","Recover the missing caller/creator/user edge offline; do not invoke the receiver, DSE Binder, PendingIntent or settings writer"
"P21C-001","ion","gralloc.mt8183.so -> libion.so/libion_mtk.so","DT_NEEDED includes libion.so and libion_mtk.so; relocations at 0x1fe10,0x1fe48,0x1fe50,0x1fe68,0x1fe70,0x1ffe8; nm/objdump show allocator/import/sync/custom references; SONAME is gralloc.mt6771.so","Candidate owner is vendor.gralloc-2-0 / system / hal_graphics_allocator_default; service binary is interface service, not direct gralloc implementation proof","/dev/ion maps to ion_device in plat/vendor file_contexts; CIL ion_device allows exist for graphics/MTK domains; authorization only","Candidate owner is vendor.gralloc-2-0 / system / hal_graphics_allocator_default; service binary is interface service, not direct gralloc implementation proof","Potential gralloc allocation/sync/import/free/custom path into graphics buffer/DMA; no top-level invocation or package/HOME sink","host-only ELF/policy graph; no /dev node operation","service-to-gralloc implementation load; successful loader resolution; runtime process and ION invocation","POSITIVE_ELF_LIBRARY_EDGE","Strong evidence","artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/vendor-lib64/lib64/hw/gralloc.mt8183.so; work/luna_worker_phase6tn_ion_loader_graph_20260810.csv E01/E02; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/vendor/etc/init/android.hardware.graphics.allocator@2.0-service.rc:1-5","Join selected object/DTB and loader callsites offline; do not open, read, write or ioctl any driver node"
"P21C-002","ion","gralloc internal loader","ELF has dlopen/dlsym symbols at 0x127b/0x12cb and target string gralloc.mt6771.so at 0xcb6; static loader intent is exact","Same allocator service candidate as P21C-001; init service user system, group graphics drmrpc, SYS_NICE","gralloc library/device labels and ion_device CIL edges exist; no loader-success policy implication","Same allocator service candidate as P21C-001; init service user system, group graphics drmrpc, SYS_NICE","May select alternate gralloc implementation before ION allocation; downstream effect remains conditional","host-only ELF/policy graph; no /dev node operation","target gralloc.mt6771.so resolution versus shipped gralloc.mt8183.so SONAME/path; constructor/load success and process ownership","POSITIVE_DLOPEN_INTENT_ONLY","Strong evidence","work/luna_worker_phase6tn_ion_loader_graph_20260810.csv E02; objdump -p gralloc.mt8183.so output; artifacts/phase6c/.../vendor/etc/init/android.hardware.graphics.allocator@2.0-service.rc","Join selected object/DTB and loader callsites offline; do not open, read, write or ioctl any driver node"
"P21C-003","ion","allocator service -> gralloc implementation","Init publishes vendor.gralloc-2-0 as /vendor/bin/hw/android.hardware.graphics.allocator@2.0-service with system UID/group graphics+drmrpc; VINTF vendor manifest declares allocator HAL contract; service DT_NEEDED is interface-only","Concrete init ownership is system / hal_graphics_allocator_default candidate; exact implementation loader mapping absent","CIL/file_contexts identify allocator service/library/device policy surface; no rule proves service has loaded gralloc.mt8183.so","Concrete init ownership is system / hal_graphics_allocator_default candidate; exact implementation loader mapping absent","Contract points to graphics allocator downstream, but no exact service→implementation→ION call chain","host-only ELF/policy graph; no /dev node operation","implementation discovery/`dlopen` mapping, loaded library and exact process-to-ION callsite","UNKNOWN_SERVICE_LOAD","Hypothesis","work/luna_worker_phase6tn_ion_loader_graph_20260810.csv E04; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/vendor/etc/init/android.hardware.graphics.allocator@2.0-service.rc:1-5; artifacts/phase5/ps7331-ota-metadata-inspection-20260804-01/compatibility/vendor_manifest.xml:92-100","Join selected object/DTB and loader callsites offline; do not open, read, write or ioctl any driver node"
"P21C-004","ion","hwcomposer.mt8183.so -> libion.so/libion_mtk.so","DT_NEEDED includes libion.so/libion_mtk.so; IONDevice reference at 0xae010; relocations 0xafe80-0xafea8; nm/objdump show map/import/share/free references","Candidate owner is vendor.hwcomposer-2-1 / system / hal_graphics_composer_default; init user system, group graphics drmrpc, SYS_NICE","ion_device file_context/CIL edges and mtk graphics policy are authorization evidence only","Candidate owner is vendor.hwcomposer-2-1 / system / hal_graphics_composer_default; init user system, group graphics drmrpc, SYS_NICE","Display composer may use ION buffers and DMA; exact service load and runtime downstream frame path unknown","host-only ELF/policy graph; no /dev node operation","service-to-hwcomposer implementation load; runtime process invocation; exact ION node callsite and frame sink","POSITIVE_ELF_LIBRARY_EDGE","Strong evidence","artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/vendor-lib64/lib64/hw/hwcomposer.mt8183.so; work/luna_worker_phase6tn_ion_loader_graph_20260810.csv E03","Join selected object/DTB and loader callsites offline; do not open, read, write or ioctl any driver node"
"P21C-005","ion","composer service -> hwcomposer implementation","Init publishes vendor.hwcomposer-2-1 as /vendor/bin/hw/android.hardware.graphics.composer@2.1-service; VINTF vendor manifest declares composer contract; service DT_NEEDED does not directly name hwcomposer.mt8183.so","Concrete ownership system / hal_graphics_composer_default; onrestart restarts surfaceflinger","CIL mtk_cmdq/graphics/ion policy edges show capability surface, not implementation loading","Concrete ownership system / hal_graphics_composer_default; onrestart restarts surfaceflinger","Potential downstream is surfaceflinger/display composition; no proof of loaded hwcomposer or ION call","host-only ELF/policy graph; no /dev node operation","implementation loader mapping and service-to-ELF-to-ION call path","UNKNOWN_SERVICE_LOAD","Hypothesis","work/luna_worker_phase6tn_ion_loader_graph_20260810.csv E05; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/vendor/etc/init/android.hardware.graphics.composer@2.1-service.rc:1-7; artifacts/phase5/ps7331-ota-metadata-inspection-20260804-01/compatibility/vendor_manifest.xml:102-109","Join selected object/DTB and loader callsites offline; do not open, read, write or ioctl any driver node"
"P21C-006","ion","UREE DRM -> ION libraries","lib_uree_mtk_modular_drm.so DT_NEEDED includes libion.so/libion_mtk.so; dlopen/import evidence at 0x144e,0x1845,0x1856,0x185f,0x186a; owner process not identified","No init service ownership joined for the exact UREE DRM library; DRM/HAL candidates only","ION labels and DRM/TEE policy types exist; exact owning domain-to-ion_device allow not isolated","No init service ownership joined for the exact UREE DRM library; DRM/HAL candidates only","DRM shared-memory/buffer path is plausible; no exact process, loader target or sensitive persistent/package sink","host-only ELF/policy graph; no /dev node operation","KM/DRM loader target, owning service/domain, successful load and ION operation","POSITIVE_ELF_LIBRARY_EDGE","Strong evidence","work/luna_worker_phase6tn_ion_loader_graph_20260810.csv E06; artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/vendor-lib64/lib64/lib_uree_mtk_modular_drm.so","Join selected object/DTB and loader callsites offline; do not open, read, write or ioctl any driver node"
"P21C-007","ion","mediaserver -> libstagefright -> libion","mediaserver DT_NEEDED includes libmediaplayerservice; libstagefright DT_NEEDED includes libion.so; transitive DT_NEEDED closure is static, not runtime load proof","init media service is /system/bin/mediaserver, user media, groups audio/camera/inet/net_bt/drmrpc/mediadrm; libstagefright owner process not directly established","ION file_context/CIL policy exists; mediaserver-to-ion_device allow is not equivalent to loaded libstagefright invocation","init media service is /system/bin/mediaserver, user media, groups audio/camera/inet/net_bt/drmrpc/mediadrm; libstagefright owner process not directly established","Possible media buffer allocation path; no exact top-level media callsite or package/HOME effect","host-only ELF/policy graph; no /dev node operation","mediaserver implementation load of libmediaplayerservice, libstagefright runtime load, exact ION callsite and media sink","UNKNOWN_RUNTIME_LOAD","Hypothesis","work/luna_worker_phase6tn_ion_loader_graph_20260810.csv E07; artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/system-bin/bin/mediaserver; system-lib64/lib64/libstagefright.so; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/init/mediaserver.rc:1-6","Join selected object/DTB and loader callsites offline; do not open, read, write or ioctl any driver node"
