artifact,owner,owner_descriptor,method_kind,dex_method_index,method_signature,artifact_line,first_code_address,first_instruction_offset,bluetooth_permission,bluetooth_admin_permission,bluetooth_privileged_permission,permission_helper_call,amazon_native_or_callback,permission_literals,boundary_classification,interpretation
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17951,btpmLeSetScanParametersNative (III)V,160910,,,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17952,btpmLeUnregisterAppByUuidNative (JJ)V,160913,,,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17953,btpmLeUnregisterAppNative (I)V,160916,,,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17958,classBtpmInitNative ()V,160919,,,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17959,cleanupNative ()V,160922,,,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17961,getInstance ()Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,160925,0x0a634c,0x0000,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17963,initializeBtpmNative ()V,160955,,,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,virtual_method,17936,btpmConnNtfyCallback (IILjava/lang/String;)V,161010,0x0a64dc,0x0000,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,virtual_method,17937,btpmConnReqCallback (IILjava/lang/String;)V,161045,0x0a6540,0x0000,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,virtual_method,17938,btpmDisConnNtfyCallback (IILjava/lang/String;)V,161080,0x0a65a4,0x0000,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,virtual_method,17939,btpmDisConnReqCallback (IILjava/lang/String;)V,161115,0x0a6608,0x0000,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,virtual_method,17946,btpmLePreferredConnParamsCallback (ILjava/lang/String;ZIIII)V,161150,0x0a666e,0x0000,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,virtual_method,17954,btpmLeUpdateScanParamsCallback (III)V,161220,0x0a6742,0x0000,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,virtual_method,17955,btpmRegisterAppCallback (III)V,161255,0x0a67a6,0x0000,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,virtual_method,17956,btpmSetConnScanParamsCallback (III)V,161290,0x0a680a,0x0000,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,virtual_method,17957,btpmSetReqPriorityCallback (IILjava/lang/String;I)V,161325,0x0a686e,0x0000,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_FosGattService.txt,FosGattService,Lcom/android/bluetooth/gatt/FosGattService;,virtual_method,19944,clientConnect (ILjava/lang/String;ZIZI)V,507712,0x0ccc7e,0x0000,yes,no,no,no,yes,android.permission.BLUETOOTH,amazon_fos_gatt_callback_or_override,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_FosGattService.txt,FosGattService,Lcom/android/bluetooth/gatt/FosGattService;,virtual_method,19945,clientDisconnect (ILjava/lang/String;)V,507740,0x0cccd4,0x0000,yes,no,no,no,yes,android.permission.BLUETOOTH,amazon_fos_gatt_callback_or_override,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_FosGattService.txt,FosGattService,Lcom/android/bluetooth/gatt/FosGattService;,virtual_method,19946,connectionParameterUpdate (ILjava/lang/String;III)V,507768,0x0ccd2c,0x0000,yes,no,no,no,yes,android.permission.BLUETOOTH,amazon_fos_gatt_callback_or_override,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_FosGattService.txt,FosGattService,Lcom/android/bluetooth/gatt/FosGattService;,virtual_method,19955,onBtpmConnNotifyCallback (IILjava/lang/String;)V,507939,0x0ccea0,0x0000,no,no,no,no,yes,,amazon_fos_gatt_callback_or_override,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_FosGattService.txt,FosGattService,Lcom/android/bluetooth/gatt/FosGattService;,virtual_method,19956,onBtpmConnReqCallback (IILjava/lang/String;)V,508083,0x0cd080,0x0000,no,no,no,no,yes,,amazon_fos_gatt_callback_or_override,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_FosGattService.txt,FosGattService,Lcom/android/bluetooth/gatt/FosGattService;,virtual_method,19957,onBtpmDisconnNotifyCallback (IILjava/lang/String;)V,508395,0x0cd48e,0x0000,no,no,no,no,yes,,amazon_fos_gatt_callback_or_override,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_FosGattService.txt,FosGattService,Lcom/android/bluetooth/gatt/FosGattService;,virtual_method,19958,onBtpmDisconnReqCallback (IILjava/lang/String;)V,508685,0x0cd85a,0x0000,no,no,no,no,yes,,amazon_fos_gatt_callback_or_override,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_FosGattService.txt,FosGattService,Lcom/android/bluetooth/gatt/FosGattService;,virtual_method,19959,onBtpmPreferredConnParamsCallback (ILjava/lang/String;ZIIII)V,508785,0x0cd9a2,0x0000,no,no,no,no,yes,,amazon_fos_gatt_callback_or_override,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_FosGattService.txt,FosGattService,Lcom/android/bluetooth/gatt/FosGattService;,virtual_method,19960,onBtpmRegisterAppCallback (III)V,508864,0x0cda92,0x0000,no,no,no,no,yes,,amazon_fos_gatt_callback_or_override,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_FosGattService.txt,FosGattService,Lcom/android/bluetooth/gatt/FosGattService;,virtual_method,19961,onBtpmSetConnScanParamsCallback (III)V,508978,0x0cdc02,0x0000,no,no,no,no,yes,,amazon_fos_gatt_callback_or_override,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_FosGattService.txt,FosGattService,Lcom/android/bluetooth/gatt/FosGattService;,virtual_method,19962,onBtpmSetReqPriorityCallback (IILjava/lang/String;I)V,509015,0x0cdc6c,0x0000,no,no,no,no,yes,,amazon_fos_gatt_callback_or_override,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_FosGattService.txt,FosGattService,Lcom/android/bluetooth/gatt/FosGattService;,virtual_method,19963,onBtpmUpdateScanParamsCallback (III)V,509115,0x0cdda4,0x0000,no,no,no,no,yes,,amazon_fos_gatt_callback_or_override,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_FosGattService.txt,FosGattService,Lcom/android/bluetooth/gatt/FosGattService;,virtual_method,19968,registerClient (Ljava/util/UUID;Landroid/bluetooth/IBluetoothGattCallback;)V,509322,0x0ce018,0x0000,yes,no,no,no,yes,android.permission.BLUETOOTH,amazon_fos_gatt_callback_or_override,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_FosGattService.txt,FosGattService,Lcom/android/bluetooth/gatt/FosGattService;,virtual_method,19969,registerClient (Ljava/util/UUID;Landroid/bluetooth/IBluetoothGattCallback;II)V,509357,0x0ce082,0x0000,yes,no,no,no,yes,android.permission.BLUETOOTH,amazon_fos_gatt_callback_or_override,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_FosGattService.txt,FosGattService,Lcom/android/bluetooth/gatt/FosGattService;,virtual_method,19973,startScan (ILandroid/bluetooth/le/ScanSettings;Ljava/util/List;Ljava/lang/String;)V,509502,0x0ce1f8,0x0000,no,yes,yes,yes,yes,,amazon_fos_gatt_callback_or_override,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_FosGattService.txt,FosGattService,Lcom/android/bluetooth/gatt/FosGattService;,virtual_method,19975,unregisterClient (I)V,509550,0x0ce252,0x0000,yes,no,no,no,yes,android.permission.BLUETOOTH,amazon_fos_gatt_callback_or_override,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20109,clientConnect (ILjava/lang/String;ZIZI)V,433651,0x0d01ae,0x0000,yes,no,no,no,yes,android.permission.BLUETOOTH,android_bluetooth_gatt_entrypoint,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20110,clientDisconnect (ILjava/lang/String;)V,433691,0x0d022c,0x0000,yes,no,no,no,yes,android.permission.BLUETOOTH,android_bluetooth_gatt_entrypoint,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20126,enforceAdminPermission ()V,434403,0x0d0ba2,0x0000,yes,yes,no,yes,no,android.permission.BLUETOOTH_ADMIN,android_bluetooth_permission_helper,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20129,enforcePrivilegedPermission ()V,434413,0x0d0bca,0x0000,yes,no,yes,yes,no,android.permission.BLUETOOTH_PRIVILEGED,android_bluetooth_permission_helper,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20249,permissionCheck (II)Z,437804,0x0cf332,0x0000,yes,no,yes,yes,no,android.permission.BLUETOOTH_PRIVILEGED,android_bluetooth_permission_helper,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20250,permissionCheck (Ljava/util/UUID;)Z,437901,0x0cf466,0x0000,yes,no,yes,yes,no,android.permission.BLUETOOTH_PRIVILEGED,android_bluetooth_permission_helper,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20252,readCharacteristic (ILjava/lang/String;II)V,437918,0x0d2ff0,0x0000,yes,no,no,yes,yes,android.permission.BLUETOOTH,android_bluetooth_permission_boundary,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20253,readDescriptor (ILjava/lang/String;II)V,437981,0x0d30b2,0x0000,yes,no,no,yes,yes,android.permission.BLUETOOTH,android_bluetooth_permission_boundary,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20257,registerClient (Ljava/util/UUID;Landroid/bluetooth/IBluetoothGattCallback;)V,438168,0x0d32f4,0x0000,yes,no,no,no,yes,android.permission.BLUETOOTH,android_bluetooth_gatt_entrypoint,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20258,registerForNotification (ILjava/lang/String;IZ)V,438209,0x0d3366,0x0000,yes,no,no,yes,yes,android.permission.BLUETOOTH,android_bluetooth_permission_boundary,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20259,registerPiAndStartScan (Landroid/app/PendingIntent;Landroid/bluetooth/le/ScanSettings;Ljava/util/List;Ljava/lang/String;)V,438274,0x0d3430,0x0000,no,yes,yes,yes,no,,android_bluetooth_permission_boundary,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20262,registerServer (Ljava/util/UUID;Landroid/bluetooth/IBluetoothGattServerCallback;)V,438433,0x0d3618,0x0000,yes,no,no,no,yes,android.permission.BLUETOOTH,android_bluetooth_gatt_entrypoint,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20286,startScan (ILandroid/bluetooth/le/ScanSettings;Ljava/util/List;Ljava/util/List;Ljava/lang/String;)V,438978,0x0d3d26,0x0000,no,yes,yes,yes,no,,android_bluetooth_permission_boundary,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20290,stopScan (I)V,439100,0x0d3eee,0x0000,no,yes,no,yes,no,,android_bluetooth_permission_boundary,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20291,stopScan (Landroid/app/PendingIntent;Ljava/lang/String;)V,439150,0x0d3e80,0x0000,no,yes,no,yes,no,,android_bluetooth_permission_boundary,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20293,unregisterClient (I)V,439227,0x0d3ff0,0x0000,yes,no,no,no,yes,android.permission.BLUETOOTH,android_bluetooth_gatt_entrypoint,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20295,unregisterScanner (I)V,439256,0x0d4048,0x0000,yes,no,no,no,no,android.permission.BLUETOOTH,android_bluetooth_gatt_entrypoint,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20296,unregisterServer (I)V,439288,0x0d40a4,0x0000,yes,no,no,no,yes,android.permission.BLUETOOTH,android_bluetooth_gatt_entrypoint,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20298,writeCharacteristic (ILjava/lang/String;III[B)V,439330,0x0d4118,0x0000,yes,no,no,yes,yes,android.permission.BLUETOOTH,android_bluetooth_permission_boundary,DEX method index; not a CVE identifier. Review smali/control flow.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_gatt_GattService.txt,GattService,Lcom/android/bluetooth/gatt/GattService;,virtual_method,20299,writeDescriptor (ILjava/lang/String;II[B)V,439404,0x0d41f6,0x0000,yes,no,no,yes,yes,android.permission.BLUETOOTH,android_bluetooth_permission_boundary,DEX method index; not a CVE identifier. Review smali/control flow.
