domain,row_id,surface,source,caller_or_scope,gate_or_permission,identity_or_user_scope,sink_or_effect,low_privilege_status,classification,confidence_or_impact,next_safe_step,evidence,source_sha256
amazon-ipc-unclosed,IPC-U11,findings/phase-6mb-vending-permission-and-state-writer-audit.md; bounded data-app verifier/enterprise-policy writer callsites; output/tables/phase6ps-privilege-route-closure.csv:2-3,findings/phase-6mb-vending-permission-and-state-writer-audit.md; bounded data-app verifier/enterprise-policy writer callsites; output/tables/phase6ps-privilege-route-closure.csv:2-3,Play Store/data-app exact invoking component and input provenance unknown,Captured grant/holder metadata; effective method gate and calling UID at writer not established,No identity relay to a Fire target proven,Generic setApplicationEnabledSetting/setComponentEnabledSetting writers; no preferred HOME writer or Fire literal in bounded scan,HOLDER_METADATA_ONLY_WRITER_STATIC_CALLER_UNKNOWN; UNKNOWN is not a vulnerability,HOLDER_METADATA_ONLY_WRITER_STATIC_CALLER_UNKNOWN; UNKNOWN is not a vulnerability,bounded static; UNKNOWN preserved,Trace exact production caller and target package/user from preserved APK/JADX only; do not invoke setter or infer bypass from grant,0ca85100519d7e2147b145f5a894032fb6215cc120244543e3267205b27ffb52,c14abe7dfec800f1108be6492064f7e0474d43ea056799dc38eb27d168d93756
amazon-ipc-unclosed,IPC-U12,findings/phase-6r-evidence-index.md; DeviceSoftwareOTA controller/update boundary and recovery handoff; OTA artifacts indexed under phase6bk/6kt,findings/phase-6r-evidence-index.md; DeviceSoftwareOTA controller/update boundary and recovery handoff; OTA artifacts indexed under phase6bk/6kt,OTA controller/recovery lifecycle caller; ordinary app/shell caller not proven,com.amazon.dcp.ota.permission.CONTROLLER signature|privileged; recovery/update identity boundary,Trusted OTA/recovery identity; no ordinary clearCallingIdentity relay established,Partition/block-image and post-install lifecycle capability; Framework HOME/package sink not connected,PRIVILEGED_CAPABILITY_ONLY_CALLER_UNKNOWN; UNKNOWN is not a vulnerability,PRIVILEGED_CAPABILITY_ONLY_CALLER_UNKNOWN; UNKNOWN is not a vulnerability,bounded static; UNKNOWN preserved,Continue static registration/permission/function-pointer provenance only; do not execute OTA/recovery/updater or write partitions,fc51d7b8fe40f7c5eb8f89f40ef0bfe187f02b64637fdcc07168f7443e295b6c,c14abe7dfec800f1108be6492064f7e0474d43ea056799dc38eb27d168d93756
gpl-driver-surface,1,MediaTek CMDQ/MDP,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/cmdq/v3/cmdq_driver.c:660-700; :864-898,No in-tree userspace caller established from scoped source; ueventd/SELinux mapping not present in inspected extracted paths,char node mode not set in source; proc debug 0440; attrs S_IRUSR|S_IWUSR; no capable()/security check in inspected dispatch,Bounded unknown: node reachability and SELinux domain not proven; no proof of unprivileged access,"User-controlled async MDP jobs, readback-slot allocation/read, and CMDQ engine/resource operations; theoretical hardware/register/display state influence, not package-state write shown",Bounded unknown: node reachability and SELinux domain not proven; no proof of unprivileged access,High-impact sink; access control unresolved,Medium,Resolve final image ueventd.rc + file_contexts/te allow rules and enumerate shipped clients; static only,b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899,e5705d76c1aaff3b76c0e4ad173717d2fee37e4d614d3d56d95edfbc12ff542f
gpl-driver-surface,2,MediaTek MDP async executor,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/mdp/mdp_ioctl_ex.c:332-405; :602-729,User metas select validated MDP hardware register address via cmdq_mdp_get_hw_reg and issue cmdq_op_write_reg_ex; sink is display/MDP hardware state,copy_from_user at :447-566 and :616-729; no local capable()/credential check found,Potential system-wide hardware/display/availability impact; no direct package-state sink in source,Depends on CMDQ node access; no low-priv caller proven,Potential system-wide hardware/display/availability impact; no direct package-state sink in source,Bounded unknown,High-impact hardware sink,Medium,"Review cmdq_mdp_get_hw_reg validation, command allowlist, SELinux and shipped privileged client",e5705d76c1aaff3b76c0e4ad173717d2fee37e4d614d3d56d95edfbc12ff542f
gpl-driver-surface,3,MediaTek M4U ioctl/proc,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/m4u/2.4/m4u.c:1577-1809; :2220-2270,No source-level userspace caller; the intended misc /dev/m4u registration is compiled out and active path is proc/m4u,copy_from_user/copy_to_user; port bounds checks; no capable()/security check in inspected ioctl; proc mode literal 0,Bounded unknown: active proc permissions and SELinux not proven; mode 0 is not evidence of world access,"DMA/IOMMU mapping, port configuration, monitor and power state; could affect kernel/device memory isolation if reachable",Bounded unknown: active proc permissions and SELinux not proven; mode 0 is not evidence of world access,High-impact DMA/IOMMU sink; likely bounded by proc/LSM,Medium,"Confirm built config/preprocessor path, final proc mode and SELinux rules; do not open/probe node",6351de00903a282ba682427095a155794efd8221f253ff11a0f74ed7c5cb86c6,e5705d76c1aaff3b76c0e4ad173717d2fee37e4d614d3d56d95edfbc12ff542f
gpl-driver-surface,4,MediaTek performance ioctl,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/performance/perf_ioctl/perf_ioctl.c:69-203; :231-232,"No in-tree low-priv app caller established; mode gives owner/group write and world read, not world write",proc_create mode 0664; write + unlocked_ioctl + compat_ioctl; no capable() check in inspected code,Bounded unknown: group ownership/SELinux and caller identity absent,"FPSGO/fbc/touch_boost scheduling/performance state; denial-of-service/resource impact plausible, package state not shown",Bounded unknown: group ownership/SELinux and caller identity absent,Writable performance control surface; no package-state sink demonstrated,Medium,Map proc ownership/group/SELinux and identify framework FPSGO clients from built image,df846d7463d14af07fa98bb0a26d389c1a5e41a46b58763327c9d47a2aa3ff09,e5705d76c1aaff3b76c0e4ad173717d2fee37e4d614d3d56d95edfbc12ff542f
gpl-driver-surface,5,MediaTek accelerometer factory,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/sensors-1.0/accelerometer/accel_factory.c:35-168; :202-227,No source-level caller; factory registration is explicit but final node policy absent,misc node mode not set in source; ioctl copies user data and calls set_cali/clear_cali/enable_calibration; no capable() check,Bounded unknown,"Sensor calibration and enable state; device behavior/calibration impact, no package-state write shown",Bounded unknown,Factory/engineering writable ioctl; reachability unresolved,Medium,"Check ueventd permissions, SELinux allow rules, and factory HAL/NVRAM caller",b00912925e4b053f7d80e25ee01b40a70e2eccd6f6eb3db6ea7d398ff32601c1,e5705d76c1aaff3b76c0e4ad173717d2fee37e4d614d3d56d95edfbc12ff542f
gpl-driver-surface,6,Amazon driver test lifecycle,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_drv_test.c:747-812; :31-35; :350-385,"Source proves owner-writable proc test node, but not which uid/domain owns it; CONFIG_AMZN_DRV_TEST is not enabled in trona_defconfig lines 524-530 (no CONFIG_AMZN_DRV_TEST=y found)",S_IRUGO|S_IWUSR = 0644; proc_write accepts owner write; no capable()/security check,No proven low-priv caller; conditional feature appears disabled in inspected defconfig,"Can write factory-reset special mode into RTC and trigger lifecycle reason paths; theoretical reboot into factory reset, directly system/device state impact",No proven low-priv caller; conditional feature appears disabled in inspected defconfig,High-impact factory surface but build/reachability conditional,High for code path; Low-Medium for shipped reachability,"Verify product defconfig/manifest and final SELinux; if enabled, restrict/remove test node from production",6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e,e5705d76c1aaff3b76c0e4ad173717d2fee37e4d614d3d56d95edfbc12ff542f
gpl-driver-surface,7,Amazon IDME procfs,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_idme.c:62-71; :319-351,No write operation exists; no low-priv write caller possible from this source,Read-only fops; DT permission masked with perm &= ~(S_IWUGO); mac_sec forced 0400 and owner uid 1000,Negative for writable low-priv sink; read reachability still LSM-dependent,"Exposes IDME/product/calibration values; read-only information surface, no package/system write",Negative for writable low-priv sink; read reachability still LSM-dependent,Read-only / bounded negative,High,Verify file contexts/SELinux only if confidentiality of IDME fields is in scope,ab6484ae7a694412ec4eeabb67133ddd0c0af221076b6d989c8ab1fe7c84e61e,e5705d76c1aaff3b76c0e4ad173717d2fee37e4d614d3d56d95edfbc12ff542f
gpl-driver-surface,8,Amazon sign-of-life procfs,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_sign_of_life.c:255-265; :277-370,No proc write and no userspace write caller in source,"0444; fops has read/seq only; write_* functions are exported kernel APIs, not proc callbacks",Negative for direct low-priv caller,Read-only lifecycle reason telemetry; exported kernel APIs can change boot/shutdown/special state only from kernel callers,Negative for direct low-priv caller,Read-only / bounded negative,High,Audit only kernel call graph and final read policy; no device action needed,87e455617e0960658bade537a316c5168a47048db1f2e72922b3e38129449419,e5705d76c1aaff3b76c0e4ad173717d2fee37e4d614d3d56d95edfbc12ff542f
gpl-driver-surface,9,MediaTek M4U debugfs controls,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/m4u/2.4/m4u_debug.c:1505-1539,No low-priv caller from mode; no device interaction performed,All create_file modes 0600; owner-only; no world-writable mode observed,Negative for unprivileged caller under source mode; mount/owner context still bounded,"Engineering/debug DMA/IOMMU inspection/control; owner-only root/debugger surface, no package-state sink shown",Negative for unprivileged caller under source mode; mount/owner context still bounded,Owner-only debug surface,High,Confirm debugfs mount owner/SELinux in final image if engineering build is in scope,6351de00903a282ba682427095a155794efd8221f253ff11a0f74ed7c5cb86c6,e5705d76c1aaff3b76c0e4ad173717d2fee37e4d614d3d56d95edfbc12ff542f
residual-high-impact-gap,S01,sensitive,output/tables/phase6qb-residual-inventory.csv:18; findings/phase-6kt-recovery-verifier-provenance.md; artifacts/phase6md-native-updater-path-audit-20260810-02/summary.json,authorized UpdateSystem/install lifecycle; ordinary app/shell caller not proven,signature/product/PVT/recovery checks and controller permission boundary; exact indirect dispatch unresolved,privileged Java -> recovery/native handoff; native caller/identity unresolved,verified staging -> extraction/block-image/write capability; potential partition/root control,Unknown,Unknown,"Privileged capability and sensitive downstream are confirmed, but no low-privilege route or bypass is evidenced.",Host-only recover verifier/certificate/AVB-to-recovery caller and indirect registry/data-flow; no updater/recovery execution.,RWI-06; not separately supplied in source row,5352325eeb71b965e27e6a35a4071afd9cf87744a992eda0f77fbdef20aa87f9
residual-high-impact-gap,S02,sensitive,"output/tables/phase6qb-residual-inventory.csv:19; update-binary VA 0x1263ac,0x1263d9,0x126405,0x1312ea,0x1312f5; MakeFreeSpaceOnCache VA 0x417778-0x417fc4",updater registered handlers; no untrusted caller route established,recovery/update-only execution; dynamic function-pointer and unselected CFG edges unresolved,updater native identity; caller provenance unresolved,canonicalization/readlink-family markers versus extraction/block-image/write guard; possible partition sink edge,Unknown,Unknown,"Markers exist, but the direct canonicalization-to-write edge is explicitly unresolved; no traversal or exploit evidence.",Offline symbol-guided CFG/data-flow and return/error-path closure; no symlink/traversal test or updater execution.,RWI-07; not separately supplied in source row,5352325eeb71b965e27e6a35a4071afd9cf87744a992eda0f77fbdef20aa87f9
residual-high-impact-gap,S03,sensitive,output/tables/phase6qc-privilege-closure.csv:24; output/tables/phase6qc-privilege-closure.csv:26,signed PS7331 OTA -> recovery update-binary,OTA certificate/signature gate upstream; fixed Edify operations; no run_program/symlink/dynamic target,recovery/updater privileged identity; shell/ordinary APK cannot directly select script execution in saved corpus,WriteToPartition -> ota_open/ota_write/write; named system/vendor and boot-chain targets,Confirmed,Confirmed,Sensitive partition write sink and fixed production targets are confirmed statically; reachability remains recovery/OTA-gated and is not a low-privilege finding.,Static-only complete CacheSizeCheck/error data-flow and correlate recovery acceptance to updater exec/SELinux domain; no partition write.,N-03/N-05; 02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b; 6dec85cee148a60daba1e8c781f30370389c6d95ff787623cb6ac830f058a834,5352325eeb71b965e27e6a35a4071afd9cf87744a992eda0f77fbdef20aa87f9
residual-high-impact-gap,S04,sensitive,output/tables/phase6qc-privilege-closure.csv:25; MakeFreeSpaceOnCache 0x417778-0x417fc4; __readlink_chk call 0x417bf0,updater cache/free-space helper; caller set not fully recovered,updater helper path; no untrusted caller established,recovery updater identity unresolved at helper entry,cache/free-space state with readlink-family branches; no direct edge to extraction/block-image/WriteToPartition in selected graph,Unknown,Unknown,"Potentially relevant primitive is bounded negative for a direct write edge, but caller/data-flow completeness is open.",Enumerate all callers and complete return/data-flow closure offline; no symlink/traversal test.,N-04; 02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b; 6dec85cee148a60daba1e8c781f30370389c6d95ff787623cb6ac830f058a834,5352325eeb71b965e27e6a35a4071afd9cf87744a992eda0f77fbdef20aa87f9
residual-high-impact-gap,S05,sensitive,"output/tables/phase6qc-privilege-closure.csv:27; device/fireos-config/CONFIG-20260803-02/device_properties.txt:215,278,306; init paths fireossystemota_fosinit.xml",boot/init/recovery lifecycle,ro.boot.selinux=enforcing; recovery_id/expect.recovery_id markers; exact updater SELinux allow rule not recovered,boot/recovery/init domains and verified-boot chain; exact SELinux identity unresolved,policy/identity gate before native updater,Unknown,Unknown,"SELinux/AVB boundary markers are confirmed, but exact policy and handoff identity are not closed; no shell-to-updater transition is evidenced.",Host-only recover exact init/service/domain/AVB verifier provenance; no recovery or reboot.,P-01; source row states individual property snapshot SHA-256 unavailable,5352325eeb71b965e27e6a35a4071afd9cf87744a992eda0f77fbdef20aa87f9
residual-high-impact-gap,S06,sensitive,output/tables/phase6qb-residual-inventory.csv:14; BootAfterSystemOTAReceiver.java:27-61; PackageHelper.java:11-22,system_server AmazonPackageManagerService.onBootPhase -> BootAfterSystemOTAReceiver,phase==550 and PMS.isUpgrade(); BOOT_AFTER_SYSTEM_OTA protected/signature action,system-server Context -> receiver Context; numeric user unresolved,"PackageHelper.setComponentEnabledSetting(OobeHomeActivity,state=1); package state writer",Risk-rejected,Risk-rejected,"Static package-state sink is confirmed, but the only evidenced trigger is protected OTA lifecycle; no ordinary caller path is shown.","After a naturally authorized OTA, collect read-only component/HOME state; do not replay the action or mutate state.",RWI-02; not separately supplied in source row,5352325eeb71b965e27e6a35a4071afd9cf87744a992eda0f77fbdef20aa87f9
residual-high-impact-gap,S07,sensitive,output/tables/phase6qb-residual-inventory.csv:15; OOBEActivationHelper.java:53-56; SettingsDBUtils.java:51-64,BootAfterSystemOTAReceiver -> OOBEActivationHelper,incremental-OOBE branch plus protected OTA lifecycle gate,receiver Context/ContentResolver; inherited user handle not numerically proven,SettingsDBUtils.putInt user_setup_complete=0 and isOOBEActive=1; secure/OOBE state,Risk-rejected,Risk-rejected,"Sensitive state writer is confirmed, but no untrusted trigger or cross-user path is evidenced; exact user remains unknown.",Host-only trace Context/ContentResolver user mapping and compare naturally occurring post-OTA read-only state.,RWI-03; not separately supplied in source row,5352325eeb71b965e27e6a35a4071afd9cf87744a992eda0f77fbdef20aa87f9
