surface_family,source_csv,source_sha256,row_id,subject,status,holder_or_caller,edge_or_finding,evidence_path,line_method_offset,surface,result,source_config,shipped_node_or_proc,policy_init,exact_native_elf_evidence,remaining_gap,evidence_id,layer,artifact_status,edge_or_capability,exact_locator,observation,classification,remaining_unknown,version_or_safety_boundary,id,exact_method,target_or_sink,caller_identity,publication_or_gate,user_scope,assessment,next_static_check
6SN permission-holder/caller,work/luna_worker_phase6sn_permission_caller_20260810.csv,56e9429f229afdd30f12d555d5b6b57aa33f13dffa1e8c045be03b9ddee98e17,SN-11,KFT production lifecycle caller,Confirmed child-scoped,external Binder caller/UID Unknown,boot/upgrade loop tests isChildUser then invokes BinderService.enableKftLauncher(UserInfo),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,lines 55080-55110; call offset 0439f2,,,,,,,,,,,,,,,,,,,,,,,,
6SN permission-holder/caller,work/luna_worker_phase6sn_permission_caller_20260810.csv,56e9429f229afdd30f12d555d5b6b57aa33f13dffa1e8c045be03b9ddee98e17,SN-12,KFT component/application state sink,Confirmed child/profile scoped,upstream caller/UID Unknown,enableKftLauncherComponent calls setComponentEnabledSetting and setApplicationEnabledSetting for Tahoe and Fire/Launcher3 using UserInfo.id,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,lines 54297-54325; offsets 04320a-043242,,,,,,,,,,,,,,,,,,,,,,,,
6SN permission-holder/caller,work/luna_worker_phase6sn_permission_caller_20260810.csv,56e9429f229afdd30f12d555d5b6b57aa33f13dffa1e8c045be03b9ddee98e17,SN-13,KFT caller authorization,Unknown,external caller/UID/signing identity Unknown,implementation contains clearCallingIdentity around empowerKftUser but no bounded authorization check closes the external caller,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,lines 54415-54478; offsets 042e26-042e8c,,,,,,,,,,,,,,,,,,,,,,,,
6SN permission-holder/caller,work/luna_worker_phase6sn_permission_caller_20260810.csv,56e9429f229afdd30f12d555d5b6b57aa33f13dffa1e8c045be03b9ddee98e17,SN-14,ADD_RM to KFT/HOME bridge,Disproved,no caller/holder implication,"AmazonApplicationFlags mutator/consumer inventory has no setHomeActivity, preferred-activity, or enabled-state edge; KFT is a separate AmazonUserManagerService path",artifacts/phase6mw-home-state-sinks-20260810-01/sink-calls.csv,rows 126-130; PMS sink definitions,,,,,,,,,,,,,,,,,,,,,,,,
6SN permission-holder/caller,work/luna_worker_phase6sn_permission_caller_20260810.csv,56e9429f229afdd30f12d555d5b6b57aa33f13dffa1e8c045be03b9ddee98e17,SN-15,HOME sink authorization,Confirmed,caller identity varies by sink and is not joined to Amazon PM mutators,PMS HOME/preferred sinks use userId and SET_PREFERRED_APPLICATIONS or standard caller checks; not evidence of metadata bridge,artifacts/phase6mw-home-state-sinks-20260810-01/sink-calls.csv,rows 126-130,,,,,,,,,,,,,,,,,,,,,,,,
6SO native driver caller,work/luna_worker_phase6so_driver_native_20260810.csv,a534cd20d3034bf968f45b94f03afb62f6224052e9d99d741a8a9b8f2b7bac50,,,,,,,,/dev/mtk_cmdq,UNKNOWN / Not established,cmdq_driver.c:660-743 864-865; kernel.config:1247-1248,phase-6rg node metadata 0644 system:system mtk_cmdq_device,vendor_file_contexts + vendor_sepolicy.cil:5228-5229 5754 6087 6199,no exact shipped ELF /dev/mtk_cmdq open plus CMDQ ioctl tuple,caller join missing,,,,,,,,,,,,,,,,,
6SO native driver caller,work/luna_worker_phase6so_driver_native_20260810.csv,a534cd20d3034bf968f45b94f03afb62f6224052e9d99d741a8a9b8f2b7bac50,,,,,,,,/dev/ion,POSITIVE - shipped native library caller,ion.c:1478-1617 1657-1658 1920-1924; kernel.config:3532-3534,phase5bl observations.csv:6 /dev/ion system:graphics 0666 ion_device,vendor_sepolicy.cil:3066 4170 4325 4417,libion.so strings /dev/ion; symbols ion_open ion_alloc ion_map ion_share ion_import ion_sync_fd; ioctl sites ALLOC MAP SHARE IMPORT SYNC,top-level process consumer and runtime invocation not established,,,,,,,,,,,,,,,,,
6SO native driver caller,work/luna_worker_phase6so_driver_native_20260810.csv,a534cd20d3034bf968f45b94f03afb62f6224052e9d99d741a8a9b8f2b7bac50,,,,,,,,/dev/ion MTK custom,POSITIVE - shipped native library caller,ion_drv.c:428-492 703-736 plus ION core/config,same shipped /dev/ion node,same extracted vendor policy,libion_mtk.so mt_ion_open + ioctl import; custom ioctl call sites 0xd74 0xe90 0x112c 0x131c 0x1418 0x151c 0x161c,top-level consumer and runtime invocation not established,,,,,,,,,,,,,,,,,
6SO native driver caller,work/luna_worker_phase6so_driver_native_20260810.csv,a534cd20d3034bf968f45b94f03afb62f6224052e9d99d741a8a9b8f2b7bac50,,,,,,,,/proc/perfmgr/perf_ioctl,UNKNOWN / Not established,perf_ioctl.c:69-203 231-232; source mode 0664,phase-6rg proc_perfmgr metadata,CIL:5229-5230 5286-5287 5304-5305 5902 6204-6205,no exact shipped ELF path-specific proc open/write/ioctl call site,proc owner and caller missing,,,,,,,,,,,,,,,,,
6SO native driver caller,work/luna_worker_phase6so_driver_native_20260810.csv,a534cd20d3034bf968f45b94f03afb62f6224052e9d99d741a8a9b8f2b7bac50,,,,,,,,/proc/m4u,UNKNOWN / Not established,m4u.c:1577-2043 2268; active proc path,shipped proc not established; /dev/m4u and /dev/M4U_device absent,final proc file-context/init/SELinux join incomplete,no exact shipped native M4U proc caller,shipped proc and caller missing,,,,,,,,,,,,,,,,,
6SO native driver caller,work/luna_worker_phase6so_driver_native_20260810.csv,a534cd20d3034bf968f45b94f03afb62f6224052e9d99d741a8a9b8f2b7bac50,,,,,,,,/dev/m4u and /dev/M4U_device,UNKNOWN / Not established,M4U misc branch inactive in source,shipped nodes absent,absent-node policy cannot close route,no native open/ioctl caller,source presence is not shipped reachability,,,,,,,,,,,,,,,,,
6SO native driver caller,work/luna_worker_phase6so_driver_native_20260810.csv,a534cd20d3034bf968f45b94f03afb62f6224052e9d99d741a8a9b8f2b7bac50,,,,,,,,RPMB,UNKNOWN / Not established,rpmb core.c + rpmb-mtk.c; kernel.config:2235-2237,rpmb_svc and RPMB threads observed; node/open proof absent,rpmb_svc.rc + CIL:2380-2381 2474-2475 3056-3057,no exact Android native RPMB node open/ioctl or service-to-driver call site,node and caller joins missing,,,,,,,,,,,,,,,,,
6SO native driver caller,work/luna_worker_phase6so_driver_native_20260810.csv,a534cd20d3034bf968f45b94f03afb62f6224052e9d99d741a8a9b8f2b7bac50,,,,,,,,IDME /proc/idme/*,UNKNOWN / Not established,amzn_idme.c:316-347; kernel.config:3583-3584,phase6n amazon_proc_modes metadata records shipped nodes,IDME HAL init + CIL:4471-4473 4741-4749 5135-5137,no exact native proc open/read caller; HAL ELF presence only,proc reader identity missing; writable route source-negative,,,,,,,,,,,,,,,,,
6SO native driver caller,work/luna_worker_phase6so_driver_native_20260810.csv,a534cd20d3034bf968f45b94f03afb62f6224052e9d99d741a8a9b8f2b7bac50,,,,,,,,IDME block/HAL path,UNKNOWN / Not established,IDME source/config,block node owner/mode not closed,HAL/init/CIL evidence incomplete for block join,no exact HAL-to-block native open/read/write call site,block policy and caller missing,,,,,,,,,,,,,,,,,
6SO native driver caller,work/luna_worker_phase6so_driver_native_20260810.csv,a534cd20d3034bf968f45b94f03afb62f6224052e9d99d741a8a9b8f2b7bac50,,,,,,,,Amazon diagnostics /proc/amzn_drvs/*,UNKNOWN / Not established,amzn_drv_test source + phase6nb; CONFIG_AMZN_DRV_TEST absent,proc absent in phase-6rg; package com.amazon.connectivitydiag present,diagnostic CIL/init references not node proof,no exact shipped native proc open/write caller,conditional source only; shipped node and caller missing,,,,,,,,,,,,,,,,,
6SO native driver caller,work/luna_worker_phase6so_driver_native_20260810.csv,a534cd20d3034bf968f45b94f03afb62f6224052e9d99d741a8a9b8f2b7bac50,,,,,,,,Amazon logger /dev/metrics and /dev/vitals,UNKNOWN / Not established,amzn_logger.c read/poll/release only,source names only; final shipped node metadata incomplete,final ueventd/file-context/SELinux join incomplete,no exact shipped native open/read/poll caller,read-only source surface and caller gap,,,,,,,,,,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-001,firmware manifest,shipped adjacent OTA,package provenance,firmware/manifests/OTA-20260803-01/README.md:18-30;46-48;sha256sums.txt:1,Original official PS7331 package is hashed and explicitly VERSION_MISMATCH against installed PS7330/7.3.3.0,CONFIRMED,Exact PS7330 OTA equivalence not established,No flashing or package execution,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-002,Java OTA,source/decompilation only,hash -> recovery verifier -> property validation,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/software/ota/tasks/validate/OSUpdateValidator.java:73-78;RecoverySystemWrapper.java:21-23,Java validator calls wrapper and wrapper calls android.os.RecoverySystem.verifyPackage,CONFIRMED,Platform verifier implementation and caller identity unavailable,PS7331 adjacent source only,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-003,Java OTA,source/decompilation only,sideload metadata/sanity -> verifier,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadVerifier.java:31-48;55-59,Recovery verification follows metadata/sanity checks,CONFIRMED,Native handoff unresolved,No sideload or recovery execution,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-004,Java OTA,source/decompilation only,verified sideload -> move -> install,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadInstaller.java:65-84,Installer calls verifySideloadWithoutRecoveryCheck then mover and UpdateSystemWrapper.install; integrity path is separate at :87-95,CONFIRMED,Production external caller not closed,Method name is not bypass evidence,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-005,Java staging,source/decompilation only,path construction,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadMover.java:31-44,Destination is OTA external-data directory plus input basename then FileHelper.moveFile,OBSERVED-CAPABILITY,canonicalPath/NOFOLLOW/race/native semantics UNKNOWN,No traversal test,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-006,Java handoff,source/decompilation only,wrapper -> native install,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/framework/UpdateSystemWrapper.java:33-44,Path remap and screen-state setting precede UpdateSystem.install,CONFIRMED,Native recovery caller and identity unresolved,No UpdateSystem.install execution,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-007,native parser,shipped artifact,main -> registration,firmware/extracted/PS7331/META-INF/com/google/android/update-binary:0x400cac;0x400cb0;Phase6MD path-write-call-edges.csv,main calls RegisterInstallFunctions and RegisterBlockImageFunctions,OBSERVED-CAPABILITY,Exact runtime entry arguments not observed,ELF never executed,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-008,native dispatch,shipped artifact,registration -> common registry,firmware/extracted/PS7331/META-INF/com/google/android/update-binary:0x4069cc;0x40d0fc;0x41d528,RegisterInstallFunctions/RegisterBlockImageFunctions call RegisterFunction; block-image five-name pointer mapping resolved in Phase6MM,OBSERVED-CAPABILITY,Indirect command invocation and unselected function pointers UNKNOWN,No crafted Edify input,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-009,native extraction,shipped artifact,PackageExtractFileFn -> ota_open/extract,Phase6MD path-write-call-edges.csv:0x4021b4->0x426338;0x4022cc;0x40238c;0x426354->0x4cc170,Package extraction reaches ota_open and open plus extraction helpers,OBSERVED-CAPABILITY,Archive-entry canonicalization and runtime path policy unresolved,No archive execution,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-010,native block image,shipped artifact,block_image_update -> PerformBlockImageUpdate -> VerifyBlocks,Phase6MD relevant-call-edges.csv:0x409340;0x40d474;Phase6MM selected-functions.csv,Open/update and verification edges are present; registry is indirect,OBSERVED-CAPABILITY,Full CFG and argument/order closure incomplete,No updater or recovery execution,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-011,native partition write,shipped artifact,WriteToPartition -> ota_open/ota_write -> write,Phase6MD path-write-call-edges.csv:WriteToPartition 0x413dcc-0x4142f0;ota_write 0x426e44->0x4d4a10,Direct write-wrapper and libc write edges confirm privileged partition-write capability,OBSERVED-CAPABILITY,Runtime target/identity not observed,partition_written=false,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-012,OTA script,shipped artifact,script target -> native writer,firmware/extracted/PS7331/META-INF/com/google/android/updater-script:6-24,Fixed system/vendor block-image and boot/firmware package_extract_file targets; cache blocklist at :24,CONFIRMED,Parser data flow from each script value to selected handler not runtime-closed,PS7331 only; no package mutation,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-013,canonicalization,shipped artifact,MakeFreeSpaceOnCache -> __readlink_chk,Phase6MM canonicalization-call-sites.csv:0x417bf0->0x4ce4e8;MakeFreeSpaceOnCache 0x417778-0x417fc4,Single direct readlink-family marker observed,OBSERVED-CAPABILITY,No direct selected edge to extraction/write; callers/returns/CacheSizeCheck UNKNOWN,No symlink or traversal test,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-014,init/recovery,Fire OS config artifact,VendorRecoverySystemCallback -> FireOSSystemOTACallback,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/fireossystemota_fosinit.xml:6-12,Fire OS init XML registers callback class,CONFIRMED,Callback body SELinux allow and recovery exec edge absent,Config is not recovery binary,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-015,source,generic AOSP/source-only,android_reboot -> property_set,firmware/extracted/PS7331-SOURCE-20250617/platform/system/core/libcutils/android_reboot.cpp:26-52,Generic reboot helper maps command and sets property; not exact Amazon init/recovery policy,CONFIRMED-GENERIC,No Amazon init/recovery implementation in saved GPL scope,Do not relabel generic source as shipped recovery,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-016,caller boundary,preserved report negative boundary,shell/ordinary app -> verifier/install/native writer,work/luna_worker_phase6sk_ota_recovery_20260810.csv:6SK-011;artifacts/phase6md-native-updater-path-audit-20260810-02/summary.json:observations,No bounded low-privilege caller chain; privileged capability only,NEGATIVE-BOUNDARY,Exact production controller caller and native identity unresolved,Not universal absence,,,,,,,,
6SP OTA/recovery native boundary,work/luna_worker_phase6sp_ota_native_20260810.csv,2b21953b3be5d797e8a677d6267469a7aa1b61745dee77eb3072de010f6edd2a,,,,,,,,,,,,,,,6SP-017,controller gate,preserved manifest,DeviceSoftwareOTA permission,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/035_DeviceSoftwareOTA.xmltree.txt:12-18;182-189,Protection level 0x3 signature|privileged,CONFIRMED,Full controller-to-native provenance unresolved,No broadcast replay or OTA action,,,,,,,,
6SQ HOME/PackageManager writer,work/luna_worker_phase6sq_home_pms_writer_20260810.csv,c36c2c65fd5dd8b171bf074fe6fec5f8401e0dce80bd4513a8ad59de4c7b3266,,,,,,,,KFT package-state,,,,,,,,,,,,,,,,6SQ-01,enableKftLauncherComponent UserInfo at fosservices:54310-54324,Amazon package setters for Fire Tahoe Launcher3,tx3 dispatch proven method check absent known callers trusted lifecycle,amazonusermanagerservice published shell find denied,supplied UserInfo.id child/profile scope,EXACT PACKAGE WRITER NOT User-0 HOME,Enumerate tx3 callers UserInfo construction and signature gate
6SQ HOME/PackageManager writer,work/luna_worker_phase6sq_home_pms_writer_20260810.csv,c36c2c65fd5dd8b171bf074fe6fec5f8401e0dce80bd4513a8ad59de4c7b3266,,,,,,,,KFT upgrade loop,,,,,,,,,,,,,,,,6SQ-02,AmazonUserManagerService onStart upgrade at fosservices:55053-55119,enableKftLauncher for child users,system-server lifecycle,isUpgrade and child-user gates,child users User-0 rewrite not shown,BOUNDED NEGATIVE for User-0 HOME,Compare loop predicates and user-list source
6SQ HOME/PackageManager writer,work/luna_worker_phase6sq_home_pms_writer_20260810.csv,c36c2c65fd5dd8b171bf074fe6fec5f8401e0dce80bd4513a8ad59de4c7b3266,,,,,,,,PMS preferred HOME,,,,,,,,,,,,,,,,6SQ-03,setHomeActivity ComponentName int to replacePreferredActivity at services:966955,preferred HOME record,internal PMS system-server public shell downstream gates,PMS permission cross-user protected-package gates,explicit userId or AsUser Fire target unproven,EXACT PREFERRED SINK no closed User-0 Fire route,Trace callers target validation userId and permission
6SQ HOME/PackageManager writer,work/luna_worker_phase6sq_home_pms_writer_20260810.csv,c36c2c65fd5dd8b171bf074fe6fec5f8401e0dce80bd4513a8ad59de4c7b3266,,,,,,,,PMS cleanup,,,,,,,,,,,,,,,,6SQ-04,clearPackageStateForUserLIF and related cleanup at services:934926 949444 957018 966005,preferred-activity cleanup,PMS internal,framework lifecycle and package-removal,framework-selected user,Not a positive Fire selector,Map cleanup callers and per-user argument
6SQ HOME/PackageManager writer,work/luna_worker_phase6sq_home_pms_writer_20260810.csv,c36c2c65fd5dd8b171bf074fe6fec5f8401e0dce80bd4513a8ad59de4c7b3266,,,,,,,,Settings picker,,,,,,,,,,,,,,,,6SQ-05,DefaultHomePicker setDefaultKey to PackageManagerWrapper replacePreferredActivity,selected ComponentName preferred record,Settings internal fragment ordinary relay not shown,dashboard omits default_home picker dormant,wrapper has AsUser userId User-0 reachability unproven,EXACT WRAPPER not effective Fire replacement,Trace fragment reachability and PMS gate
6SQ HOME/PackageManager writer,work/luna_worker_phase6sq_home_pms_writer_20260810.csv,c36c2c65fd5dd8b171bf074fe6fec5f8401e0dce80bd4513a8ad59de4c7b3266,,,,,,,,DPM persistent preferred,,,,,,,,,,,,,,,,6SQ-06,DevicePolicyManagerService addPersistentPreferredActivity path,DPM persistent preferred HOME policy,active-admin profile-owner PMS downstream UID 1000,DPM owner and admin gates,userHandle and CallingUserId target unproven,TRUSTED GATED no low-privilege closure,Map callers identity transitions component and user
6SQ HOME/PackageManager writer,work/luna_worker_phase6sq_home_pms_writer_20260810.csv,c36c2c65fd5dd8b171bf074fe6fec5f8401e0dce80bd4513a8ad59de4c7b3266,,,,,,,,Profile helper,,,,,,,,,,,,,,,,6SQ-07,AmazonProfileService initiateLauncher at fosservices:76246-76256,permission log SUCCESS no setter,PROFILE_INTERACTION processId userId check,amazonprofileservice published permission enforced,no explicit user sink picker separate,NON-WRITER bounded scan,Map profile-picker callers only
6SQ HOME/PackageManager writer,work/luna_worker_phase6sq_home_pms_writer_20260810.csv,c36c2c65fd5dd8b171bf074fe6fec5f8401e0dce80bd4513a8ad59de4c7b3266,,,,,,,,ProductPolicy,,,,,,,,,,,,,,,,6SQ-08,EnableDisableComponentAction enableDisableComponent at fosservices:293712-293738,Amazon package and component setters,trusted in-process policy action,policy-file and user-list driven,exact User-0 Fire target absent,UNKNOWN bounded negative no HOME sink,Join policy files target strings and user list
6SQ HOME/PackageManager writer,work/luna_worker_phase6sq_home_pms_writer_20260810.csv,c36c2c65fd5dd8b171bf074fe6fec5f8401e0dce80bd4513a8ad59de4c7b3266,,,,,,,,Vending,,,,,,,,,,,,,,,,6SQ-09,LauncherConfigurationReceiver and DseService phase6QB QE,restore install browser-default secure eligibility,no HOME identity clear caller provenance partly UNKNOWN,exported qualification and DSE gates,myUserId only for browser default other scope UNKNOWN,NO CLOSED Fire HOME chain,Recover skipped branches host-only
6SQ HOME/PackageManager writer,work/luna_worker_phase6sq_home_pms_writer_20260810.csv,c36c2c65fd5dd8b171bf074fe6fec5f8401e0dce80bd4513a8ad59de4c7b3266,,,,,,,,HOME callbacks,,,,,,,,,,,,,,,,6SQ-10,Vendor callback to AppCompat resolveIntent phase6AL,PM ResolveInfo delegation,no identity rewrite shown,two preserved fosinit registrations,framework resolver user,NOT A WRITER no direct Fire override,Compare unpreserved or native registrations
