surface_family,source_csv,source_sha256,package,grant,uid,signing_digest,requested_permission,bindService,ServiceConnection,IH2ClientService,artifact_path,line,class,classification,notes,row_id,path,production_caller,tx_code,permission_or_helper,userinfo_id_source,cross_user_admin_gate,sink,scope,evidence,id,subject,owner_or_source,protection_or_identity,grant_or_eligibility,status
6UA H2 grant/client,work/luna_worker_phase6ua_h2_grant_client_20260810.csv,19ff5c49265689cb0d0e64324760c29c85e1e34c86134b349e7f89bd2a95d306,<owner/service>,POSITIVE,1000,e627f73a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,3329-3334,PackageManager permission record,OWNER_POSITIVE_NOT_CLIENT,sourcePackage=android.amazon.perm; H2 service record at line 21051 is the gated callee.,,,,,,,,,,,,,,,,
6UA H2 grant/client,work/luna_worker_phase6ua_h2_grant_client_20260810.csv,19ff5c49265689cb0d0e64324760c29c85e1e34c86134b349e7f89bd2a95d306,<client scan>,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE_BOUNDED,artifacts/phase6it-missing-system-apps-20260807-01-files/jadx/sources/com/amazon/alta/h2shared/aidl/IH2ClientService.java; artifacts/phase6it-missing-system-apps-20260807-01-files/jadx/sources/com/amazon/alta/h2clientservice/H2ClientService.java,4-710; 104-267,AIDL contract and service implementation,NO_EXTERNAL_CLIENT_CLOSED,Bounded scan found generated contract/service only; no package-to-bind edge. No bind/call performed.,,,,,,,,,,,,,,,,
6UB KFT caller/scope,work/luna_worker_phase6ub_kft_caller_scope_20260810.csv,03a5b7c38a1ab02f38a49e5d3c16e611e2ce72c1d056cc36a8de85b84d287f19,,,,,,,,,,,,CONFIRMED,,6UB-01,child-provisioning,AmazonUserManagerImpl.createChildUser(String) -> IAmazonUserManager.enableKftLauncher(UserInfo),3,tx3 method-local UID/permission check UNKNOWN; checkManageUsersPermission exists separately but invocation not proven,"createUser(name,0x8000) returned UserInfo; same object parcelled to proxy",child flag/lifecycle confirmed; exact caller authorization and cross-user enforcement UNKNOWN,AmazonUserManagerService.BinderService.enableKftLauncher -> enableKftLauncherComponent,"UserInfo.id; child/profile, not proven User0","boot-fosframework/disassembly.log:369203-369243,370295-370301,370378-370428,371789-371861; fosservices/disassembly.log:54415-54440,54297-54325",,,,,,
6UB KFT caller/scope,work/luna_worker_phase6ub_kft_caller_scope_20260810.csv,03a5b7c38a1ab02f38a49e5d3c16e611e2ce72c1d056cc36a8de85b84d287f19,,,,,,,,,,,,CONFIRMED,,6UB-02,upgrade-lifecycle,AmazonUserManagerService.onBootPhase(500) -> mBinderService.enableKftLauncher(UserInfo),N/A,system-server lifecycle; no Binder caller; exact admin permission gate UNKNOWN,UserManager.getUsers() entry passed after isChildUser(UserInfo),isUpgrade && isChildUser confirmed; exact cross-user enforcement UNKNOWN,same KFT component/application writer,child/profile entries only; no hard-coded User0,fosservices/disassembly.log:55057-55105; codeOff 0x043942; invoke enableKftLauncher at 0x0439f2,,,,,,
6UB KFT caller/scope,work/luna_worker_phase6ub_kft_caller_scope_20260810.csv,03a5b7c38a1ab02f38a49e5d3c16e611e2ce72c1d056cc36a8de85b84d287f19,,,,,,,,,,,,CONFIRMED,,6UB-03,writer-body,BinderService.enableKftLauncher(UserInfo) -> private enableKftLauncherComponent(UserInfo),UNKNOWN,No bounded local getCallingUid/checkCallingPermission/clearCallingIdentity in entry; separate helper gate not joined,UserInfo.id read at each setter,No constant user 0; supplied-user scope confirmed; exact cross-user/admin gate UNKNOWN,"setComponentEnabledSetting(com.amazon.tahoe/.launcher.FreeTimeLauncherActivity,1,1,userId)",child/profile supplied user,"fosservices/disassembly.log:54297-54310; codeOff 0x0431e2, invoke 0x04320a",,,,,,
6UB KFT caller/scope,work/luna_worker_phase6ub_kft_caller_scope_20260810.csv,03a5b7c38a1ab02f38a49e5d3c16e611e2ce72c1d056cc36a8de85b84d287f19,,,,,,,,,,,,CONFIRMED,,6UB-04,writer-body,BinderService.enableKftLauncher(UserInfo) -> private enableKftLauncherComponent(UserInfo),UNKNOWN,Same unresolved tx3/local authorization boundary,UserInfo.id read at setter,No constant user 0; exact cross-user/admin gate UNKNOWN,"setApplicationEnabledSetting(com.amazon.firelauncher,2,0,userId)",child/profile supplied user,fosservices/disassembly.log:54311-54318; invoke 0x043228; Phase6TY 6TY-CHILD-02,,,,,,
6UB KFT caller/scope,work/luna_worker_phase6ub_kft_caller_scope_20260810.csv,03a5b7c38a1ab02f38a49e5d3c16e611e2ce72c1d056cc36a8de85b84d287f19,,,,,,,,,,,,CONFIRMED,,6UB-05,writer-body,BinderService.enableKftLauncher(UserInfo) -> private enableKftLauncherComponent(UserInfo),UNKNOWN,Same unresolved tx3/local authorization boundary,UserInfo.id read at setter,No constant user 0; exact cross-user/admin gate UNKNOWN,"setApplicationEnabledSetting(com.android.launcher3,2,0,userId)",child/profile supplied user,fosservices/disassembly.log:54319-54325; invoke 0x043242; Phase6TY 6TY-CHILD-03,,,,,,
6UB KFT caller/scope,work/luna_worker_phase6ub_kft_caller_scope_20260810.csv,03a5b7c38a1ab02f38a49e5d3c16e611e2ce72c1d056cc36a8de85b84d287f19,,,,,,,,,,,,UNKNOWN,,6UB-06,negative-user0,No named production caller joined to Fire-specific User0 restoration setter,UNKNOWN,No exact caller->permission/helper->identity chain found; preserve UNKNOWN,PMS generic user/HOME APIs do not establish Fire writer user id,User0 restoration cross-user/admin gate UNKNOWN,No qualifying setHomeActivity/replacePreferredActivity or Fire-targeted User0 writer found,"User0 candidate, not established",Phase6TY 6TY-FIRE-USER0-01/02; Phase6TY CSV; artifacts/phase6ak/launcher-user-service-20260805-02/launcher-user-service.csv rows 6AK-UM-002..007,,,,,,
6UB KFT caller/scope,work/luna_worker_phase6ub_kft_caller_scope_20260810.csv,03a5b7c38a1ab02f38a49e5d3c16e611e2ce72c1d056cc36a8de85b84d287f19,,,,,,,,,,,,UNKNOWN,,6UB-07,helper-boundary,AmazonUserManagerService.checkManageUsersPermission(String),N/A,UID 1000 or 0 allowed; otherwise android.permission.MANAGE_USERS via AmazonUserManagerHelper.checkComponentPermission,No UserInfo argument in helper,"General user-management gate confirmed, but applicability to enableKftLauncher UNKNOWN",SecurityException gate only; not a KFT sink,not a writer scope,fosservices/disassembly.log:54847-54895; Phase6TY child rows explicitly retain caller gate uncertainty,,,,,,
6UC Amazon permission semantics,work/luna_worker_phase6uc_amazon_perm_semantics_20260810.csv,37dcc749b5fff557bc3612eab502b696ec044647ea88f914022d5c9974a84aba,,,,,,,,,,,,,owner identity is not arbitrary caller authority,,,,,,,,,,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt:manifest,6UC-01,owner package,android.amazon.perm,sharedUserId=android.uid.system; coreApp=true; /system/framework,source package for custom records,CONFIRMED
6UC Amazon permission semantics,work/luna_worker_phase6uc_amazon_perm_semantics_20260810.csv,37dcc749b5fff557bc3612eab502b696ec044647ea88f914022d5c9974a84aba,,,,,,,,,,,,,do not infer eligibility from name or UID,,,,,,,,,,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt:180,6UC-02,GLOBAL_SYNC,android.amazon.perm,0x80000002=signature base plus Amazon flag,requester grant state UNKNOWN,CONFIRMED_RECORD
6UC Amazon permission semantics,work/luna_worker_phase6uc_amazon_perm_semantics_20260810.csv,37dcc749b5fff557bc3612eab502b696ec044647ea88f914022d5c9974a84aba,,,,,,,,,,,,,signature match not an exploit path,,,,,,,,,,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt:205,6UC-03,ParentalControl,android.amazon.perm,0x80000002=signature base plus Amazon flag,requester grant state UNKNOWN,CONFIRMED_RECORD
6UC Amazon permission semantics,work/luna_worker_phase6uc_amazon_perm_semantics_20260810.csv,37dcc749b5fff557bc3612eab502b696ec044647ea88f914022d5c9974a84aba,,,,,,,,,,,,,not equivalent to signature|amazon,,,,,,,,,,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt:230,6UC-04,APP_VERIFICATION,android.amazon.perm,0x2=signature base without observed Amazon flag,requester grant state UNKNOWN,CONFIRMED_RECORD
6UC Amazon permission semantics,work/luna_worker_phase6uc_amazon_perm_semantics_20260810.csv,37dcc749b5fff557bc3612eab502b696ec044647ea88f914022d5c9974a84aba,,,,,,,,,,,,,retain encoded value; do not normalize,,,,,,,,,,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt:25,6UC-05,CONTENT_PROVIDER_ACCESS,android.amazon.perm,0x80000012,exact FireOS symbolic decode UNKNOWN,CONFIRMED_RECORD_DECODE_UNKNOWN
6UC Amazon permission semantics,work/luna_worker_phase6uc_amazon_perm_semantics_20260810.csv,37dcc749b5fff557bc3612eab502b696ec044647ea88f914022d5c9974a84aba,,,,,,,,,,,,,manifest declaration is not a HOME sink or caller path,,,,,,,,,,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt:510-513,6UC-06,HOME permissions,android.amazon.perm,0x80000002,ordinary-app and shell grant UNKNOWN,CONFIRMED_RECORD
6UC Amazon permission semantics,work/luna_worker_phase6uc_amazon_perm_semantics_20260810.csv,37dcc749b5fff557bc3612eab502b696ec044647ea88f914022d5c9974a84aba,,,,,,,,,,,,,source declaration only,,,,,,,,,,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt:553,6UC-07,OTA permission,android.amazon.perm,0x80000002,ordinary-app and shell grant UNKNOWN,CONFIRMED_RECORD
6UC Amazon permission semantics,work/luna_worker_phase6uc_amazon_perm_semantics_20260810.csv,37dcc749b5fff557bc3612eab502b696ec044647ea88f914022d5c9974a84aba,,,,,,,,,,,,,FireOS parser implementation not available,,,,,,,,,,aosp/android-9/android-9.0.0_r61/platform/frameworks/base/services/core/java/com/android/server/pm/PackageManagerService.java:17350-17440,6UC-08,parser ownership check,AOSP PMS,signature capability check on permission redefinition,ordinary requester eligibility not determined,CONFIRMED_COMPARISON
6UC Amazon permission semantics,work/luna_worker_phase6uc_amazon_perm_semantics_20260810.csv,37dcc749b5fff557bc3612eab502b696ec044647ea88f914022d5c9974a84aba,,,,,,,,,,,,,vendor flag is not proven to bypass signature checks,,,,,,,,,,aosp/android-9/android-9.0.0_r61/platform/frameworks/base/services/core/java/com/android/server/pm/PackageManagerService.java:17431-17440; ActivityManagerService.java:9110-9120,6UC-09,base-vs-flag handling,AOSP PMS/AMS,PROTECTION_MASK_BASE used for base classification,Amazon flag downstream policy UNKNOWN,CONFIRMED_COMPARISON
6UC Amazon permission semantics,work/luna_worker_phase6uc_amazon_perm_semantics_20260810.csv,37dcc749b5fff557bc3612eab502b696ec044647ea88f914022d5c9974a84aba,,,,,,,,,,,,,no grant inference,,,,,,,,,,artifacts/phase6c/phase6c-image-policy-extract-20260804-05/system/etc/permissions/privapp_permissions.xml,6UC-10,privapp allowlist,system/etc/permissions,policy XML is separate from custom manifest declarations,no link to signature|amazon grant shown,UNKNOWN
6UC Amazon permission semantics,work/luna_worker_phase6uc_amazon_perm_semantics_20260810.csv,37dcc749b5fff557bc3612eab502b696ec044647ea88f914022d5c9974a84aba,,,,,,,,,,,,,no service call or Binder test,,,,,,,,,,host-only bounded evidence,6UC-11,shell UID 2000,shell,UID identity only,no custom permission grant record,UNKNOWN
6UC Amazon permission semantics,work/luna_worker_phase6uc_amazon_perm_semantics_20260810.csv,37dcc749b5fff557bc3612eab502b696ec044647ea88f914022d5c9974a84aba,,,,,,,,,,,,,manifest request alone is insufficient evidence,,,,,,,,,,host-only bounded evidence,6UC-12,ordinary APK,ordinary application,non-owner package,signature/grant/certificate state UNKNOWN,UNKNOWN
6UC Amazon permission semantics,work/luna_worker_phase6uc_amazon_perm_semantics_20260810.csv,37dcc749b5fff557bc3612eab502b696ec044647ea88f914022d5c9974a84aba,,,,,,,,,,,,,do not infer exploit route,,,,,,,,,,artifacts/phase6ac/android-amazon-perm-device-20260805-01/capture-metadata.md,6UC-13,system UID 1000,android.uid.system,owner shared UID context,does not prove arbitrary caller eligibility,CONFIRMED_BOUNDARY
6UC Amazon permission semantics,work/luna_worker_phase6uc_amazon_perm_semantics_20260810.csv,37dcc749b5fff557bc3612eab502b696ec044647ea88f914022d5c9974a84aba,,,,,,,,,,,,,not global runtime proof,,,,,,,,,,artifacts/phase6ac/protected-broadcast-source-audit-20260805-02/summary.json,6UC-14,protected broadcasts,android.amazon.perm,158 declarations including amazon.intent.action.BOOT_AFTER_SYSTEM_OTA,sender reachability UNKNOWN,CONFIRMED_SOURCE_MEMBERSHIP
