"record_id","record_type","surface","artifact_or_entry","caller","gate","identity_or_user_scope","sink","runtime_or_result","missing_edge","classification","confidence","evidence","next_safe_step"
"P20B-05","ota","recovery image repair/install sink","artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/system-bin/bin/install-recovery.sh; firmware/extracted/PS7331/META-INF/com/amazon/android/target.system.file_map","init/system recovery lifecycle; invoking service/action not recovered","applypatch verifies/rebuilds recovery; dd writes recovery signature to fixed by-name recovery device","not closed in saved corpus","recovery image and signature write capability","not replayed; host-only audit","init action, UID, SELinux domain, and caller-to-script edge absent from saved host corpus","CONFIRMED_STATIC capability; caller unknown","Hypothesis","install-recovery.sh SHA256 d3f1f2ffbb125c7acea69e544bf2bcc4291c8397e3ab7f6c199f213303c91ea9; target.system.file_map lines 84,3086,3385-3396","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P20B-06","ota","update_verifier/init provenance","firmware/extracted/PS7331/META-INF/com/amazon/android/target.system.file_map; device/baseline/PHASE19-BASELINE-20260810-01/device_properties.txt","system init may publish update_verifier_nonencrypted/leakrecoveryd; exact rc stanza and transition not available","file map lists update_verifier.rc, fireossystemota_fosinit.xml and init.leakrecoveryd.rc; baseline reports services stopped","not closed in saved corpus","post-boot verifier/recovery lifecycle availability","not replayed; host-only audit","rc service/action, executable domain, UID transition and actual trigger ordering","BOUNDED_UNKNOWN; stopped snapshot is not execution negative","Hypothesis","target.system.file_map lines 3385-3396; PHASE19 device_properties lines 63,97; security_getenforce.txt","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P20B-07","ota","AVB and rollback authority","firmware/extracted/PS7331; artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/system-bin/bin/update_verifier; findings/phase-8-evidence-index.md","Java verifier and update_verifier markers exist; exact AVB/recovery authority not recovered","block/caremap verification and boot-control slot sink; no vbmeta.img or META-INF/com/android/avb*","not closed in saved corpus","anti-rollback/AVB acceptance before partition commit","not replayed; host-only audit","AVB key verification, rollback-index storage/compare, bootloader handoff and native caller absent","BOUNDED_UNKNOWN; no AVB/rollback bypass claim","Hypothesis","findings/phase-8-evidence-index.md entries for absent vbmeta/rollback gap; update_verifier strings; P19B residual matrix","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P20B-08","ota","native cache path guard and canonicalization","artifacts/phase6ne-updater-cache-flow-20260810-03/focus-disassembly.txt; artifacts/phase6ne-updater-cache-flow-20260810-03/direct-call-edges.csv","PerformBlockImageUpdate -> CacheSizeCheck -> MakeFreeSpaceOnCache; selected native caller","stat64 regular-file mode check; readlink_chk at 0x417bf0; strncmp at 0x417c08; error branches; unlink cleanup","not closed in saved corpus","cache candidate filtering/free-space bookkeeping before block update capability","not replayed; host-only audit","no openat/NOFOLLOW/same-object revalidation; no complete result edge to final extraction/write authorization","PARTIAL_STATIC; no symlink/TOCTOU conclusion","Strong evidence","focus-disassembly.txt:0x4179f4-0x417a18,0x417bf0-0x417c0c,0x417ea8; direct-call-edges.csv","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P20B-09","ota","updater indirect dispatch and fixed partition sink","firmware/extracted/PS7331/META-INF/com/google/android/update-binary; artifacts/phase6mk-updater-dispatch-20260810-04/summary.json; artifacts/phase6md-native-updater-path-audit-20260810-02/summary.json","recovery update-binary main -> RegisterInstallFunctions -> indirect callback; ordinary caller absent","24 callback registrations; Edify script timestamp/device gates; package_extract_file/block_image_update paths","not closed in saved corpus","open/write and fixed by-name partition capability; run_program/reboot handlers registered","not replayed; host-only audit","actual update-binary exec UID/domain, indirect input provenance and caller authorization","CONFIRMED_STATIC capability; reachability not established","Confirmed","phase6mk summary.json; phase6md summary.json; firmware/extracted/PS7331/META-INF/com/google/android/updater-script","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P20B-10","ota","UID and SELinux low-privilege boundary","device/baseline/PHASE19-BASELINE-20260810-01/{security_id.txt,security_getenforce.txt,properties/ro_debuggable.txt,properties/ro_boot_verifiedbootstate.txt}","saved shell UID 2000/u:r:shell:s0; no shell-to-OTA/recovery route recovered","Enforcing; ro.debuggable=0; verifiedbootstate=green; Java OTA controller/signature boundary","not closed in saved corpus","recovery/updater privileged sinks remain outside shell caller path","not replayed; host-only audit","update controller UID, recovery UID/domain, SELinux allow chain and exec transition not joined","NEGATIVE_BOUNDARY for saved corpus; not universal absence","Disproved","PHASE19 baseline security_id.txt; security_getenforce.txt; ro_debuggable.txt; ro_boot_verifiedbootstate.txt; work/luna_worker_phase19_ota_audit_20260810.md","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P20B-11","ota","post-install executor boundary","firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin; firmware/extracted/PS7331; artifacts/phase6bp/ota-path-audit-20260805-02/ota-path-audit.json","no standalone package postinstall caller; system post-update verifier is separate candidate","27 package entries; no payload.bin/A-B postinstall executable; target.blocklist/last_blocklist present","not closed in saved corpus","recovery metadata and post-update verification sinks; no package-owned postinstall executable observed","not replayed; host-only audit","outer source tar EOF, init trigger ordering and authoritative post-install executor still not fully joined","BOUNDED_NEGATIVE package scope; verifier capability separately confirmed","Disproved","unzip member listing; artifacts/phase6bp/ota-path-audit-20260805-02/ota-path-audit.json; update_verifier strings","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P20C-001","driver","CMDQ/MDP","CONFIG_MTK_CMDQ=y/TAB=y; saved Image cmdq markers; source cmdq_driver/mdp ioctl handlers","No exact shipped ELF containing both /dev/mtk_cmdq string/opener and CMDQ ioctl relocation; HAL names remain candidates | candidate domains are policy-visible, but no concrete process UID/domain invocation edge","/dev/mtk_cmdq crw-r--r-- system:system; mtk_cmdq_device context | vendor_file_contexts mtk_cmdq_device; CIL allows appdomain, hal_graphics_composer_default, mediacodec, mediaserver; proc cmdq genfscon present","candidate domains are policy-visible, but no concrete process UID/domain invocation edge","display/register/DMA state; no framework package/HOME sink","async exec/wait/alloc/free/readback and MDP register/DMA operations","selected DTB/object delivery and exact ELF opener/ioctl callsite","UNKNOWN","Hypothesis","work/luna_worker_phase19_driver_audit_20260810.csv 19C-C03; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/vendor/etc/selinux/vendor_sepolicy.cil:4421,4947,5280,5392; work/luna_worker_phase17_driver_policy_20260810.md","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"P20C-002","driver","M4U proc/DMA","CONFIG_MTK_M4U/source retained; active /dev/M4U_device branch is #if 0","No shipped ELF /proc/m4u opener/write or M4U ioctl caller | UID/domain UNKNOWN; system:media is node metadata only","/proc/m4u source registration mode 0; init metadata for related path 0440 system:media; M4U_device label candidate | Exact proc/m4u genfscon and TE write/ioctl allow absent; M4U_device type does not prove active node","UID/domain UNKNOWN; system:media is node metadata only","IOMMU/DMA/port/power/monitor state; no framework sink","power/MVA/port/monitor/TF controls","compiled object/DTB; final proc context/allow; native writer identity and validation","UNKNOWN","Hypothesis","work/luna_worker_phase19_driver_audit_20260810.csv 19C-C04; work/luna_worker_phase13_driver_join_20260810.csv 13D-003","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"P20C-003","driver","uinput/evdev","CONFIG_INPUT_EVDEV=y/UINPUT=y; uinput/evdev source fops present","No shipped ELF with /dev/uinput, UI_DEV_CREATE, event write, or uinput ioctl callsite | UID/domain UNKNOWN","/dev/uinput candidate uinput_device; init chown system:net_bt_admin; mode unresolved | plat/vendor label conflict; CIL declares uinput_device but exact writer allow not joined","UID/domain UNKNOWN","synthetic input graph; no HOME/PMS/AMS sink","UI_DEV_CREATE/UI_DEV_DESTROY; event write; evdev ioctl","final ueventd mode/label, merged allow, shipped creator and downstream consumer","UNKNOWN","Hypothesis","work/luna_worker_phase19_driver_audit_20260810.csv 19C-C05; work/luna_worker_phase13_driver_join_20260810.csv 13D-004","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"P20C-004","driver","AUXADC/gsensor via meta_tst","CONFIG_MTK_AUXADC_INTF=y; AUXADC Image markers; gsensor compatible in trona DTS variants","Shipped /vendor/bin/meta_tst imports gsensor_open, gsensor_read, gsensor_get_cali, gsensor_set_cali, gsensor_calibration and NVRAM helpers; API callee's exact device path is not present in meta_tst | meta_init.rc service meta_tst uses users radio/system/wifi; file context meta_tst_exec transitions to meta_tst","gsensor node mode/owner not preserved; vendor file_contexts/CIL gsensor_device type | vendor_sepolicy.cil:5532 grants meta_tst gsensor_device chr_file ioctl/read/open/getattr/lock/map","meta_init.rc service meta_tst uses users radio/system/wifi; file context meta_tst_exec transitions to meta_tst","sensor calibration/diagnostic state; no package/HOME sink","gsensor calibration/read/NVRAM operations; AUXADC direct writer not identified","underlying gsensor library/device opener, selected DTB/object, final node mode and AUXADC caller","PARTIAL_STATIC_CALLER","Strong evidence","artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/vendor-bin/bin/meta_tst nm-D/strings; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/vendor/etc/init/hw/meta_init.rc:639-641; vendor_file_contexts:15; vendor_sepolicy.cil:5467-5473,5532","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"P20C-005","driver","RPMB service-to-char","CONFIG_RPMB=y; CONFIG_RPMB_INTF_DEV unset; rpmb-mtk ioctl registration source","Shipped /vendor/bin/rpmb_svc imports __open_2 and ioctl; strings include /dev/block/mmcblk0rpmb, EmmcRpmbReadCounter/AuthWrite/AuthRead and ioctl error path | rpmb_svc.rc class late_start group system drmrpc; no user line means init default root; tee_exec typetransition gives tee domain","/vendor/bin/rpmb_svc file context tee_exec; /dev/block/mmcblk0rpmb string in shipped ELF; final node mode unresolved | vendor_file_contexts labels rpmb_svc tee_exec and RPMB block/device types; CIL tee domain allows teei_rpmb_device and rpmb_block_device ioctl/read/write/open (8958,8981,9609)","rpmb_svc.rc class late_start group system drmrpc; no user line means init default root; tee_exec typetransition gives tee domain","authenticated persistent storage state; no package/HOME sink","RPMB authenticated read/write/counter via ioctl; direct driver read/write fops remain NULL","exact native callsite-to-string/control-flow proof, final node mode, selected object/DTB and TEE authentication validation","PARTIAL_STATIC_CALLER","Strong evidence","artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/vendor-bin/bin/rpmb_svc strings/nm-D; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/vendor/etc/init/rpmb_svc.rc:1-3; vendor_file_contexts:674; vendor_sepolicy.cil:3502-3507,8958,8981,9609; work/luna_worker_phase19_driver_audit_20260810.csv 19C-C07","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"P20C-006","driver","USB devio/URB","USB/XHCI/MTK options enabled in trona_defconfig; drivers/usb/core/devio ioctl/URB source","No shipped ELF with USBDEVFS ioctl plus usbfs opener/URB submit callsite | UID/domain UNKNOWN","usbfs/device owner/mode unresolved | usb_device policy candidates exist; exact usbfs client allow/domain edge not joined","UID/domain UNKNOWN","USB peripheral/control-transfer state; no package/HOME sink","USBDEVFS ioctl and URB submit/control transfer","selected controller object/DTB, usbfs mode/context, exact native client and TE edge","UNKNOWN","Hypothesis","work/luna_worker_phase19_driver_audit_20260810.csv 19C-C08; work/luna_worker_phase17_driver_policy_20260810.md","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"P20C-007","driver","USB sysfs control via meta_tst","USB config/source plus shipped meta_tst Image/vendor binary","Shipped /vendor/bin/meta_tst imports open/__open_2/write and contains /sys/class/android_usb/android0/f_acm/port_index, /sys/class/android_usb/android0/state, and mt_usb/cmode strings with open/write diagnostics | meta_init.rc meta_tst users radio/system/wifi; file context and typetransition establish meta_tst domain","sysfs final owner/mode not preserved | vendor_sepolicy.cil:5569-5572 grants meta_tst read/write/open on sysfs_android_usb and sysfs_usb_cmode","meta_init.rc meta_tst users radio/system/wifi; file context and typetransition establish meta_tst domain","USB function/control state; no package/HOME sink","USB mode/cmode and ACM port-index/state writes; no USBDEVFS URB path proven","exact callsite/control-flow mapping, final sysfs owner/mode, selected DTB/object","PARTIAL_STATIC_CALLER","Strong evidence","artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/vendor-bin/bin/meta_tst strings/nm-D; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/vendor/etc/selinux/vendor_sepolicy.cil:5467-5473,5569-5572; meta_init.rc:639-641","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"P20C-008","driver","performance/perfmgr","perf_ioctl source; performance config retained; proc handler source mode 0664","No exact shipped ELF path-specific /proc/perfmgr/perf_ioctl opener/write/ioctl callsite; init rc writes remain trigger metadata | init/vendor domains are candidates; effective UID/domain and trigger sequence UNKNOWN","source /proc/perfmgr/perf_ioctl mode 0664; final owner/context unresolved | vendor_sepolicy.cil:38 genfscon proc /perfmgr; CIL gives init write and candidate media/camera/system domains read/ioctl, exact native writer allow incomplete","init/vendor domains are candidates; effective UID/domain and trigger sequence UNKNOWN","scheduler/governor/touch-boost/resource state; no package/HOME sink","FPSGO/perf ioctl and proc writes","compiled object/proc instance, exact writer ELF, owner/mode, trigger/domain edge","UNKNOWN","Hypothesis","work/luna_worker_phase19_driver_audit_20260810.csv 19C-C09; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/vendor/etc/selinux/vendor_sepolicy.cil:38,5095,5397-5398,5448-5449","Join selected object/DTB and policy offline; do not open or ioctl a device node"
