phase,record_id,surface,source_path,source_sha256,entry_or_node,caller_or_identity,gate_or_policy,sink_or_effect,low_privilege_reachability,classification,confidence,unknowns,safety_disposition
6RZ,6,GED,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/gpu/ged/src/ged_main.c:340-344,411",95671972e22b12d0f6301c28750ebc28e371e02a75610ff62a94a90953fa30c5,/proc/ged; ged_read/ged_write; ged_ioctl/ged_ioctl_compat; user copies,Saved shell query telemetry only; no ordinary-app caller,"source mode 0644; saved runtime caller is UID 2000 shell, enforcing u:r:shell:s0; no local UID gate",Read-only telemetry; higher-impact bridge not exercised; no package/HOME edge,confirmed shell telemetry only,confirmed shell telemetry only,PRESERVED_BASE_LEDGER,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,host-only source ledger; no device mutation
6RZ,7,ION,"platform/kernel/mediatek/mt8183/4.4/drivers/staging/android/ion/ion.c:1502-1658,1906-1956; ion/mtk/ion_drv.c:428-492,703-736",abac518864faed94439d75d204e8c16ea75cf3a74c93ee50e128e0f6928a6d63,"/dev/ion; debugfs ion/{heaps,clients}; ion_ioctl/compat_ion_ioctl; custom_ioctl; alloc/free/map/share/import/sync; debugfs read/write files",bounded 307 APK/JAR scan found no direct client markers; no open/ioctl,saved metadata mode 0666 owner system:graphics label ion_device; extracted policy allow is not runtime proof; debugfs source 0664/0644,Memory/DMA state theoretical impact; no package/settings edge,source+metadata; client/effect unknown,source+metadata; client/effect unknown,PRESERVED_BASE_LEDGER,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,host-only source ledger; no device mutation
6RZ,8,RPMB,"platform/kernel/mediatek/mt8183/4.4/drivers/char/rpmb/rpmb-mtk.c:2377-2401,2560-2582,2736-2776",a6b070190ad8b97173c129509e6d8f8ae8c9f0d383bc349be44d9c919387c8d5,MTK RPMB char device; exact node policy unresolved; rpmb_ioctl; authenticated read/write/key-related user copies; .read/.write NULL,No source-to-rpmb_svc client closure; no operation,device_create mode/label and TE mapping not in saved PS7331 join; rpmb_svc exists in device properties,Persistent authenticated storage; boot/policy state theoretical impact,source-only/service unknown,source-only/service unknown,PRESERVED_BASE_LEDGER,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,host-only source ledger; no device mutation
6RZ,9,Amazon lifecycle,"platform/device/amazon/kernel/driver/amzn_sign_of_life.c:255-265,277-370",87e455617e0960658bade537a316c5168a47048db1f2e72922b3e38129449419,/proc/life_cycle_reason; seq read only; exported write_boot_reason/write_shutdown_reason/write_special_mode are kernel APIs,No userspace write client,proc mode 0444; no userspace write callback; CONFIG_AMZN_SIGN_OF_LIFE=y,Kernel-originated boot/shutdown/special reason only; no direct package sink,read-only bounded negative,read-only bounded negative,PRESERVED_BASE_LEDGER,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,host-only source ledger; no device mutation
6RZ,10,Amazon IDME,"platform/device/amazon/kernel/driver/amzn_idme.c:62-71,319-351",ab6484ae7a694412ec4eeabb67133ddd0c0af221076b6d989c8ab1fe7c84e61e,/proc/idme/<field>; idme_fops read/seq; no write fop,No write client; read confidentiality caller unresolved,write bits masked; mac_sec forces 0400 and uid 1000; SELinux read policy not fully joined,Product/calibration identity disclosure only,read-only bounded negative,read-only bounded negative,PRESERVED_BASE_LEDGER,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,host-only source ledger; no device mutation
6RZ,11,Amazon logger,platform/device/amazon/kernel/driver/amzn_logger.c:698-738,9293b2f75e8e7760f961d5849b3fe3e666e8e2df0b2906b6fcdf4b2190d7afbd,Amazon logger misc device; node name/policy not preserved; amazon_logger_read; misc_register; no write fop observed,No direct client established,CONFIG_AMZN_METRICS_LOG=y and CONFIG_AMZN_MINERVA_METRICS_LOG=y; final mode/label unknown,Metrics/logging state; no package/settings sink,read-only/source boundary,read-only/source boundary,PRESERVED_BASE_LEDGER,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,host-only source ledger; no device mutation
6RZ,12,Amazon driver test,platform/device/amazon/kernel/driver/amzn_drv_test.c:747-812,6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e,"/proc/amzn_drvs/{sign_of_life,idme,logger}; proc_write; decimal test index; shared read/write fops; index 21 factory reset mode, 23 RTC special mode",No userspace client; production reachability conditional,source requests 0644; no capable(); trona_defconfig lacks CONFIG_AMZN_DRV_TEST=y/m; final object/SELinux unknown,Factory-reset/RTC/boot-state impact if built and authorized,high-impact conditional source path,high-impact conditional source path,PRESERVED_BASE_LEDGER,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,host-only source ledger; no device mutation
6RZ,13,Amazon liquid detection,"platform/kernel/mediatek/mt8183/4.4/drivers/staging/amazon/amzn_ld.c:638-711,737-786",4ef656e1a4e54bce29c6f54d62478b5b68dd093abe2641b85ee15feb1f30d1bc,odm:ld sysfs attrs; module parameters; store_stop_detection/store_ctrl_mode/store_threshold_l/store_threshold_h/store_sleep_interval,No client; shell path bounded negative,source attrs 0664; saved shell audit saw no user attrs and denied module parameters; no write performed,Liquid/thermal/USB behavior; no package/boot writer,bounded negative for saved shell path,bounded negative for saved shell path,PRESERVED_BASE_LEDGER,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,host-only source ledger; no device mutation
6RZ,14,Amazon key combo,"platform/device/amazon/kernel/driver/amzn_keycombo.c:116-158,184-300",09e19712f177e0740a96964f420f74adda3412442b65d6df5cec8187e38e6071,DT-configured input combo; no proc/sysfs/ioctl node; input event handler; panic/poweroff/sign-of-life kernel actions,No ordinary userspace client,No userspace control node; DT/input policy and event source are kernel-side,Potential reboot/poweroff on physical/key event; not app privilege surface,kernel event path; source-only,kernel event path; source-only,PRESERVED_BASE_LEDGER,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,host-only source ledger; no device mutation
6RZ,15,evdev,"platform/kernel/mediatek/mt8183/4.4/drivers/input/evdev.c:840-892,1324-1331",7664e11a712c24b906da6cbf3504c96e00a6b3ca7d64e5b286a345141ada2d28,/dev/input/event* (generic); evdev_read/evdev_write; evdev_ioctl/compat; input event user copies,No preserved ordinary-app client or state effect,CONFIG_INPUT_EVDEV=y; node labels/modes not in PS7331 join; generic upstream,Input injection/device state theoretical; no package/HOME edge,generic source-only,generic source-only,PRESERVED_BASE_LEDGER,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,host-only source ledger; no device mutation
6RZ,16,USB devio,"platform/kernel/mediatek/mt8183/4.4/drivers/usb/core/devio.c:976-1112,1628-1650,2396-2398",655a3f79b2230031e0f2dfef4fbb699d832db9054debf47fd5186acec0af2768,USB device nodes (generic); usbdev_ioctl/compat; control/bulk/URB user copies,No preserved client or runtime USB ioctl,USB config selected; node/SELinux/client mapping absent,USB/device state theoretical; no package/settings/boot edge,generic source-only,generic source-only,PRESERVED_BASE_LEDGER,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,host-only source ledger; no device mutation
6SA,6SA-001,Fire_HD10-7.3.3.1-20250617.tar.bz2,firmware/original/Fire_HD10-7.3.3.1-20250617.tar.bz2,,SHA256=02ffafddb97999ebcc4419dda28cab9ea6ddacf7123b1301a073a3809c762aea; size=2563328975,No caller field in source ledger; preserve UNKNOWN,Preserved source artifact only,Outer member enumeration did not reach verified EOF; do not infer completeness,CONFIRMED_OFFICIAL,CONFIRMED_OFFICIAL,PRESERVED_BASE_LEDGER,Offline enumerate to verified EOF,host-only source ledger; no device mutation
6SA,6SA-002,update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin,,SHA256=9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5; 27 ZIP members,No caller field in source ledger; preserve UNKNOWN,Official signed OTA verification boundary; no install,ZIP scope is bounded independently of outer archive,CONFIRMED_OFFICIAL,CONFIRMED_OFFICIAL,PRESERVED_BASE_LEDGER,Re-hash if a new exact package is supplied,host-only source ledger; no device mutation
6SA,6SA-003,META-INF/com/android/metadata and ota.prop,artifacts/phase5/ps7331-ota-metadata-inspection-20260804-01/android-metadata.txt; ota.prop,,pre-device=trona; post-build=Amazon/trona/trona:9/PS7331.4463N/0031575863040; incremental=0031575863172; OTA type BLOCK,No caller field in source ledger; preserve UNKNOWN,Metadata gate is input to updater policy,Metadata copy hashes retained in source artifact manifest,CONFIRMED_STATIC,CONFIRMED_STATIC,PRESERVED_BASE_LEDGER,Host-only metadata re-audit,host-only source ledger; no device mutation
6SA,6SA-004,META-INF/com/google/android/updater-script,firmware/extracted/PS7331/META-INF/com/google/android/updater-script; SHA256=4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,,Uses block_image_update and fixed extraction/write operations at script lines 6-24,No caller field in source ledger; preserve UNKNOWN,Recovery/updater execution identity; fixed named targets,No execution or malformed-input test,CONFIRMED_STATIC,CONFIRMED_STATIC,PRESERVED_BASE_LEDGER,Offline script/member cross-check,host-only source ledger; no device mutation
6SA,6SA-005,META-INF/com/google/android/update-binary,firmware/extracted/PS7331/META-INF/com/google/android/update-binary; SHA256=02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,,Registers install and block-image functions; 24 handler registrations,No caller field in source ledger; preserve UNKNOWN,Recovery/updater privilege boundary; indirect dispatch remains,Static disassembly is not runtime proof,CONFIRMED_STATIC,CONFIRMED_STATIC,PRESERVED_BASE_LEDGER,Expand offline indirect CFG,host-only source ledger; no device mutation
6SA,6SA-006,PackageExtractFileFn 0x401fb8-0x402788,Phase 6MD/6QC native audit,,ota_open -> ExtractToMemory/ExtractEntryToFile -> fs operations,No caller field in source ledger; preserve UNKNOWN,Recovery/updater identity; package contents pass through OTA parser,No crafted package or execution,CONFIRMED_STATIC,CONFIRMED_STATIC,PRESERVED_BASE_LEDGER,Offline call/dataflow review,host-only source ledger; no device mutation
6SA,6SA-007,PerformBlockImageUpdate / WriteToPartition 0x413c40-0x4142f0,Phase 6MD/6QC native audit,,block update -> ota_open/ota_write -> open/write; target list fixed by script,No caller field in source ledger; preserve UNKNOWN,Highest-privilege recovery capability; not shell reachability,No partition write or replay,CONFIRMED_STATIC,CONFIRMED_STATIC,PRESERVED_BASE_LEDGER,Offline sink-to-input dataflow only,host-only source ledger; no device mutation
6SA,6SA-008,target.blocklist,artifacts/phase5/ps7331-ota-metadata-inspection-20260804-01/target.blocklist.json; SHA256=f0a3f810d0dab5486a59cc22b9fc9390e9668760ab5a2b1229580a27fb05d83c,,13 fixed bootdevice targets recorded,No caller field in source ledger; preserve UNKNOWN,Recovery policy/package boundary,Copy is local extraction of official member,CONFIRMED_STATIC,CONFIRMED_STATIC,PRESERVED_BASE_LEDGER,Re-hash exact member,host-only source ledger; no device mutation
6SA,6SA-009,SideloadMover and FileHelper,artifacts/phase6y/ota-staging-audit-20260805-01/ota-staging-evidence.csv,,Basename destination; rename then copy fallback; destination open/truncate and cleanup delete,No caller field in source ledger; preserve UNKNOWN,Privileged OTA controller path; verification precedes handoff,No canonical/NOFOLLOW marker in Java source is static sensitivity only,CONFIRMED_STATIC,CONFIRMED_STATIC,PRESERVED_BASE_LEDGER,Offline helper/source review,host-only source ledger; no device mutation
6SA,6SA-010,SideloadVerifier / SideloadMetadataChecker,artifacts/phase6y/ota-staging-audit-20260805-01/ota-staging-evidence.csv,,"Metadata, RecoverySystem verification path, build/signature/product/PVT/device-state checks",No caller field in source ledger; preserve UNKNOWN,Privileged/controller policy gate; native verifier not in saved Java,No verifier execution,CONFIRMED_STATIC,CONFIRMED_STATIC,PRESERVED_BASE_LEDGER,Recover exact platform verifier source offline,host-only source ledger; no device mutation
6SA,6SA-011,UpdateSystemWrapper -> UpdateSystem.install,artifacts/phase6y/ota-staging-audit-20260805-01/ota-staging-evidence.csv,,Path remap and OTA screen-state write precede install call,No caller field in source ledger; preserve UNKNOWN,Privileged system-update framework boundary; no ordinary caller edge,No invocation or state mutation,CONFIRMED_STATIC,CONFIRMED_STATIC,PRESERVED_BASE_LEDGER,Offline caller/identity closure,host-only source ledger; no device mutation
6SA,6SA-012,MakeFreeSpaceOnCache readlink-family call 0x417bf0,artifacts/phase6mm-updater-blockimage-20260810-01 and phase6ne summary,,readlink/readlinkat/symlink_realpath markers; no selected direct edge to write sink,No caller field in source ledger; preserve UNKNOWN,Native updater privilege; caller/return dataflow incomplete,Symlink/traversal/temp-path is not tested and not a finding,CONFIRMED_STATIC,CONFIRMED_STATIC,PRESERVED_BASE_LEDGER,Expand all callers and return branches offline,host-only source ledger; no device mutation
6SA,6SA-013,SystemServer onBootPhase(550) -> PMS.isUpgrade() -> protected broadcast,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; phase6 bootafter ledger,,BOOT_AFTER_SYSTEM_OTA sent only from guarded upgrade lifecycle with receiver permission,No caller field in source ledger; preserve UNKNOWN,system_server lifecycle and protected-broadcast gate; sender identity not ordinary app,No broadcast replay or runtime delivery capture,CONFIRMED_STATIC,CONFIRMED_STATIC,PRESERVED_BASE_LEDGER,Natural authorized OTA read-only observation only,host-only source ledger; no device mutation
6SA,6SA-014,BootAfterSystemOTAReceiver,artifacts/phase6j/.../BootAfterSystemOTAReceiver.java; phase6my/6ni ledgers,,Enables OobeHomeActivity and writes OOBE setup state,No caller field in source ledger; preserve UNKNOWN,OOBE receiver/system context; exact numeric user unresolved,No manual enablement or settings mutation,CONFIRMED_STATIC,CONFIRMED_STATIC,PRESERVED_BASE_LEDGER,Read-only post-OTA component/settings capture,host-only source ledger; no device mutation
6SA,6SA-015,OOBE/BootAfterSystemOTA chain,phase6my and phase6ni artifacts,,No bounded Fire Launcher preferred-HOME writer found in reviewed chain,No caller field in source ledger; preserve UNKNOWN,Does not negate unreviewed callers or runtime resolver state,No claim of launcher takeover,BOUNDED_NEGATIVE,BOUNDED_NEGATIVE,PRESERVED_BASE_LEDGER,Offline widen bounded source review,host-only source ledger; no device mutation
6SA,6SA-016,phase6MD/6MK/6MM/6NE/6MY/6NI/6Y reports,artifacts/ and work/ paths,,Supporting analyses and normalized ledgers only; not official package members,No caller field in source ledger; preserve UNKNOWN,None; local evidence is provenance-tracked separately,Do not conflate hashes with package authenticity,LOCAL_RESEARCH_ONLY,LOCAL_RESEARCH_ONLY,PRESERVED_BASE_LEDGER,Preserve local files unchanged,host-only source ledger; no device mutation
6SA,6SA-017,all unresolved outer/native/OOBE gaps,this report and CSV,,Offline archive EOF; native indirect/canonicalization dataflow; natural-OTA read-only observation only,No caller field in source ledger; preserve UNKNOWN,No new authority required for offline work; runtime requires naturally occurring authorized event,No exploit payload or test procedure,SAFE_NEXT_STEP,SAFE_NEXT_STEP,PRESERVED_BASE_LEDGER,Perform only host-only offline closure,host-only source ledger; no device mutation
6SB,6SB-001,permission declaration/holder/caller,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt; artifacts/phase6mc-permission-holder-audit-20260810-05/permission-holders.csv,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed; 1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18,Exact permission string absent from bounded XML and holder census; absence is not a negative declaration/holder claim,"declaration, protectionLevel, grant source, holder package, production caller not closed",UNKNOWN,"declaration, protectionLevel, grant source, holder package, production caller not closed",UNKNOWN,UNKNOWN,High for evidence boundary,exact-build permission definition/privapp grant and upstream production caller outside preserved corpus,"no adb, Binder transaction, service call, or package mutation"
6SB,6SB-002,metadata Binder mutators and first sink,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log; artifacts/phase6mx-amazon-pm-callers-20260810-01/caller-calls.csv,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c; fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71; 884b8636fd1baff3c1790cb4398e9cb83588dd68260643a4c660876c5269af82,"fosservices:95866-96037 checks permission before tx1/2/4/5 metadata/flags writes; boot-fosframework:367221,367289,369119,369164 are facade edges; generated Stub/Proxy is contract, not caller",AmazonApplicationFlags/amazon_package_flags.xml persistence confirmed; no saved HOME/preferred/package-state bridge,CONFIRMED static sink; caller UNKNOWN,AmazonApplicationFlags/amazon_package_flags.xml persistence confirmed; no saved HOME/preferred/package-state bridge,CONFIRMED static sink; caller UNKNOWN,CONFIRMED static sink; caller UNKNOWN,High,upstream facade caller and permission holder; consumer outside bounded corpus,"no adb, Binder transaction, service call, or package mutation"
