surface_family,source_csv,source_sha256,ID,status,source path,line or offset,caller,gate,identity,user scope,sink,remaining unknown,route_id,package,component,type,exported,component_permission,action_or_input,exact_manifest_evidence,static_sink,home_package_state_ota_relation,authorization_status,classification,source_evidence,surface,source_registration_and_abi,config_scope,extracted_policy_or_node_join,exact_shipped_native_caller,completeness_result,notes,item_id,area,what_is_supported,primary_citations,what_is_not_supported,safe_repeatability,risk_or_citation_gap
6SV exported/protected surface,work/luna_worker_phase6sv_exported_surface_20260810.csv,b07ce35207afe09da343d573fe9969f1487fd7b0cf00463be73cb42a1394c27d,,,,,,,,,,,6SV-003,com.amazon.dcpms.fos.service,com.amazon.dcpms.fos.service.lifecycle.device.userswitch.AccountPropertyChangeReceiver,receiver,true,com.amazon.dcp.sso.permission.AmazonAccountPropertyService.property.changed,com.amazon.dcp.sso.action.AmazonAccountPropertyService.property.changed,010_com.amazon.dcpms.fos.service.xmltree.txt:94-103,CDE PCA/profile type and OS user type persistence; evaluator,no HOME/PMS package-state/OTA sink found,custom permission protection level and holder not closed,NEW_STATIC_UNKNOWN,manifest sha256 9e3446c2; AccountPropertyChangeReceiver.java sha256 caf69e4e; UpdateOSUserTypeAndEvalHelper.java sha256 e54679a5,,,,,,,,,,,,,,
6SV exported/protected surface,work/luna_worker_phase6sv_exported_surface_20260810.csv,b07ce35207afe09da343d573fe9969f1487fd7b0cf00463be73cb42a1394c27d,,,,,,,,,,,6SV-004,com.amazon.dcpms.fos.service,com.amazon.dcpms.fos.service.lifecycle.device.sync.GlobalContentSyncEventReceiver,receiver,true,com.amazon.permission.GLOBAL_SYNC,com.amazon.intent.SYNC,010_com.amazon.dcpms.fos.service.xmltree.txt:145-153,JobIntentService -> ArcusSyncService.syncCDEPolicy policy-sync sink,no OTA apply/recovery or HOME/PMS package-state sink found,GLOBAL_SYNC holder/protection and policy consumer route UNKNOWN,NEW_STATIC_UNKNOWN,manifest sha256 9e3446c2; GlobalContentSyncEventReceiver.java sha256 67ce590d; GlobalContentSyncEventService.java sha256 e3b17a96,,,,,,,,,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,Amazon IDME /proc/idme/*,amzn_idme.c:315-344 proc root and seq read fops; permission write bits removed and fallback 0400:334-344,CONFIG_AMZN_IDME=y trona_defconfig:528 and merged kernel.config:3583,policy label and CIL evidence cited by 6SO/6SG; exact final caller not established,native inventory has IDME HAL libraries only; no exact proc open/read callsite,UNKNOWN — source/config/policy present; caller incomplete,Read-only source-bounded negative; do not infer HAL presence as proc caller,,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,Amazon lifecycle /proc/life_cycle_reason,amzn_sign_of_life.c:255-265 read/seq-only fops and proc_create mode 0444,CONFIG_AMZN_SIGN_OF_LIFE=y and CONFIG_AMZN_SIGN_OF_LIFE_RTC=y trona_defconfig:524-525,exact proc label/allow not closed in preserved extraction,native inventory has no exact proc reader callsite,UNKNOWN — caller/policy join incomplete,Kernel RTC setters are internal producer paths not userspace write surface,,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,Amazon metrics and vitals misc nodes,amzn_logger.c:696-738 read/poll/open/release-only fops and misc_register; docs name /dev/metrics and /dev/vitals,CONFIG_AMZN_METRICS_LOG=y and CONFIG_AMZN_MINERVA_METRICS_LOG=y trona_defconfig:526-527,vendor file-context exact labels not found in bounded grep; prior 6SO/6MZ source evidence retained,native inventory has no exact open/read callsite for these paths,UNKNOWN — source/config present; shipped node/caller incomplete,No write callback in source; 6SO/6MZ result referenced without rerun,,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,Amazon driver-test proc subtree,amzn_drv_test.c:784-841 test_fops and child proc_create entries with S_IRUGO|S_IWUSR; factory/RTC test dispatch,CONFIG_AMZN_DRV_TEST absent from trona and merged config,6SO/6MZ recorded no shipped /proc/amzn_drvs node; no final label join,native inventory has no exact /proc/amzn_drvs caller,BOUNDED NEGATIVE — source exists but selected config/shipped delivery not established,Do not treat engineering source as shipped reachability,,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,Amazon keycombo/input driver,amzn_keycombo.c:probe/device-tree key-down/up properties; no proc/sysfs/ioctl registration found in scoped file,CONFIG_AMZN_INPUT_KEYCOMBO=y trona_defconfig:529,No exact keycombo node label/init rule in preserved policy,No exact shipped native caller; kernel input path only,UNKNOWN — config/source present; policy/caller incomplete,Input event routing is not an exact caller proof,,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,MediaTek GED proc ioctl,drivers/misc/mediatek/gpu/ged/src/ged_main.c:321-326 fops read/write/unlocked_ioctl/compat and :392 proc_create mode 0644,CONFIG_MTK_GPU_SUPPORT=y trona_defconfig:142-144 and merged config:1255-1257,vendor file_contexts:471 labels /sys/kernel/debug/ged; proc label/owner mode not exact in extraction; CIL allow not caller proof,native inventory lists libged.so and libged_sys.so only; no exact proc ioctl callsite,UNKNOWN — source/config/debugfs policy-name join; exact proc caller absent,Separate debugfs GED path from proc GED ioctl,,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,MediaTek GED debugfs,ged_debugFS.c:114-173 debugfs_create_file/dir; debugfs directory name is GED_DEBUGFS_DIR_NAME,CONFIG_MTK_GPU_SUPPORT=y,vendor file_contexts:471 /sys/kernel/debug/ged -> debugfs_ged; no exact per-file mode/allow join,native inventory has libged names only; no exact debugfs open/write callsite,UNKNOWN — source/config/label present; caller incomplete,No debugfs operation performed,,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,MediaTek PMIC debugfs/sysfs,"upmu_debugfs.c:127,165,203 DEVICE_ATTR 0664; :323-351 mtk_pmic debugfs and dump_pmic_reg S_IRUGO|S_IWUSR plus device attrs",CONFIG_MTK_PMIC_NEW_ARCH=y; CONFIG_MTK_PMIC_COMMON=y; CONFIG_MTK_PMIC_CHIP_MT6358=y; CONFIG_MTK_AUXADC_INTF=y trona:110-113 and merged:1184-1196,No exact mtk_pmic file-context/ueventd rule found in preserved extraction,native inventory has no exact PMIC debugfs/sysfs open/write caller,UNKNOWN — selected source/config; policy and exact caller incomplete,Potential hardware-control debug surface; not a reachability finding,,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,MediaTek memory config proc,mtk_memcfg.c:710-758 /proc/mtk_memcfg/memory_layout and engineering frag/oom entries; write handlers at :481-528,CONFIG_MTK_MEMCFG=y trona:219 and merged config relevant MTK_MEMCFG entry,No exact proc label/allow or shipped init rule in preserved extraction,native inventory has no exact proc write caller,UNKNOWN — source/config scope only,Engineering-only entries additionally gated by CONFIG_MTK_ENG_BUILD; no product selection evidence,,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,MediaTek thermal proc control,mtk_thermal_monitor.c:234-249 creates /proc/mtkcooler and /proc/mtktz; :1089-1100 and :1615-1616 writable monitor/indicator/scenario entries,CONFIG_THERMAL=y; CONFIG_THERMAL_WRITABLE_TRIPS=y; CONFIG_AMZN_THERMAL_VIRTUAL_SENSOR=y trona:332-338,No exact proc file-context/ueventd/init join in preserved extraction,native inventory has no exact thermal proc write caller,UNKNOWN — source/config present; policy/caller incomplete,Source mode is not runtime SELinux or owner proof,,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,MediaTek USB SSUSB sysfs,"ssusb_sysfs.c:153,326,330 DEVICE_ATTR mode/reg/cmode 0664 with store callbacks; :343-345 sysfs_create_group",CONFIG_USB_MU3D_DRV=y and CONFIG_MTK_SIB_USB_SWITCH=y trona:204-205 and merged:1536-1539,No exact sysfs attribute label/allow or init ownership join,native inventory has no exact attribute write caller,UNKNOWN — source/config only; exact policy/caller incomplete,"Read/write attributes are source capability, not proof of userspace access",,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,MediaTek Type-C control device/sysfs,typec-ioctl.c:691-707 writable attrs; :745-756 device_create typec%u and device_create_file,CONFIG_MTK_PMIC_COMMON/USB platform selection present; exact typec Kconfig symbol not independently resolved,No exact /dev/typec* label or ueventd rule found; policy corpus has adjacent USB labels only,native inventory has no exact /dev/typec open/ioctl caller,UNKNOWN — source surface; config/node/caller not fully closed,Name typec%u is source device_create evidence only,,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,MediaTek Vcodec ioctl/device,videocodec_kernel_driver.c:1846 ioctl; :2972-2981 fops; :3112-3134 device_create; :3518 sysfs debug attr,CONFIG_MTK_VIDEOCODEC_DRIVER=y trona:156 and merged:1314,policy vendor_file_contexts:250 labels /dev/Vcodec; no exact owner/mode/ueventd join,native inventory lists libvcodec_oal.so/libvcodec_utility.so but no exact /dev/Vcodec open/ioctl callsite,UNKNOWN — source/config/label/library-name join; exact caller absent,Do not equate codec library inventory with node operation,,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,MediaTek camera ISP device family,"camera_isp.c and camera_{rsc,wpe,owe,mfb,dpe,tsf,dip,fdvt}.c contain device registration/ioctl paths under drivers/misc/mediatek/cameraisp; selected modules are source/config scoped",CONFIG_MTK_CAMERA_ISP_* selected trona:131-138 and merged:1235-1244,policy vendor_file_contexts:380-387 and :404-405 labels camera-* nodes; exact ueventd/mode not closed,native inventory has no exact camera-* open/ioctl callsite,UNKNOWN — source/config/policy labels present; caller/mode incomplete,"Exact caller must be a shipped binary callsite, not HAL/library name alone",,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,MediaTek sensor misc nodes,"sensor drivers under drivers/misc/mediatek/sensor plus policy labels /dev/hwmsensor,barometer,gyroscope and m_* misc nodes; source factory/ioctl paths observed in scoped tree",CONFIG_MTK_SENSOR_SUPPORT=y; CONFIG_MTK_SENSORS_1_0=y and selected BMA/STK/DA/LTR/AKM symbols trona:162-173,policy vendor_file_contexts:350-352 and :364-368/:389-394 labels sensor nodes; exact mode/ueventd not closed,native inventory has no exact sensor node open/ioctl callsite,UNKNOWN — source/config/policy label scope; caller incomplete,Sensor HAL presence would not close exact node operation,,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,MediaTek audio IPI device,audio_ipi driver registration under drivers/misc/mediatek/audio_ipi; policy vendor_file_contexts:353 labels /dev/audio_ipi,CONFIG_MTK_AUDIO_IPI not separately selected in trona; dependent audio platform symbols selected,policy label exists but no exact ueventd/mode/TE caller join,native inventory has no exact /dev/audio_ipi open/ioctl callsite,UNKNOWN — policy/source dependency scope not fully selected,Do not infer device exposure from file_contexts alone,,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,MediaTek M4U device branch,prior 6SO/6SC result only: active source path is /proc/m4u; /dev/M4U_device branch is inactive for selected preprocessor path,CONFIG_MTK_M4U=y merged config:1533,policy vendor_file_contexts:376 labels /dev/M4U_device but shipped node absent in prior evidence; no native caller,prior result only,UNKNOWN — cited prior result; not rerun,Policy label is not proof active device registration,,,,,,,
6SW kernel surface,work/luna_worker_phase6sw_kernel_surface_20260810.csv,4255a2d668488c08ceb1393222eb6c77155b61edb91109f65c1475511a679010,,,,,,,,,,,,,,,,,,,,,,,,RPMB block and service,prior 6SO/6SC result only: source/config and rpmb_svc evidence; no exact service-to-driver native open/ioctl join,CONFIG_RPMB=y with interface-dev options bounded by prior config evidence,"policy vendor_file_contexts:430,627,650,674,722 labels RPMB/block/service paths; init rpmb_svc.rc exists",native inventory identity lists running rpmb_svc but no exact node open/ioctl callsite,UNKNOWN — cited prior result; not rerun,Service presence and policy labels do not establish driver caller,,,,,,,
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,已做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-01,scope and provenance,Phase 3A–6SQ reports plus adb/artifacts/work inventories were reviewed host-side; existing SHA manifests and command manifests are present in many evidence directories.,README.md; PROJECT_STATUS.md; findings/phase-3a-report.md; findings/phase-6sn-sq-report.md; work/luna_worker_phase6si_test_catalog_20260810.md,"A manifest proves file integrity, not runtime causality or a complete caller chain.","YES: enumerate paths, verify hashes/schema, compare report-to-raw references.",No single canonical manifest covers every phase; citation is corpus-level where phase produced many runs.
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,已做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-02,exact device state,"Saved snapshots identify PS7331.4463N/KFTRWI/trona, Android 9, kernel 4.4.146+, ADB device, User 0, and Fire HOME priority 50.",PROJECT_STATUS.md; adb/phase6qe/PHASE6QE-DEVICE-READONLY-20260810-02/; adb/phase6q/PHASE6Q-RO-20260805-01/; device/baseline/,A current live state beyond the saved snapshot date is not established by this audit.,"YES only on saved files: compare properties, user, package, resolver and metadata outputs.",Fresh device capture was intentionally not taken; no adb was run.
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,已做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-03,Phase 3A–3B resolver/runtime,Read-only/static resolver analysis and historical clean runtime captures show Fire Launcher resumed/focused and priority behavior; no Fire-specific callback writer was proven.,findings/phase-3a-report.md; findings/phase-3b-report.md; adb/phase3b/; output/rendered/,"Amazon callback override, production caller provenance and all reboot-time rewrites remain bounded/unknown.",YES: host-side parse and compare existing logcat/dumps; no new Home event.,Exact old PS7330 evidence must not be silently mixed with current PS7331 state.
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,已做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-04,Phase 3C preferred HOME mutation,"Controlled P0 ordinary preferred record write, reboot persistence observation and explicit rollback were captured; effective Fire result was separately observed.",findings/phase-3c-report.md; adb/phase3c/; adb/mutation-tests/HOME-PRIORITY-P0/,This does not prove a normal caller can durably replace User-0 HOME on current build or control Fire package state.,NO as runtime experiment; YES as artifact/hash review.,"Mutation, reboot and rollback are not to be replayed for completeness."
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,已做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-05,package/component/HOME tests,Existing package disable/hide/suspend/uninstall/force-stop and component tests include before/after/restore evidence; protected gates rejected Fire/Tahoe operations before the intended state change where documented.,findings/phase-5-adb-surface-tests.md; adb/mutation-tests/; adb/package-tests/; adb/component-tests/; adb/phase6fa/; adb/phase6bl/,Privileged caller behavior and a successful Fire disable/component mutation are not established.,YES: inspect saved output and manifests only.,"Do not rerun package setters, force-stop, install/uninstall, or component mutation."
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,已做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-06,child/KFT lifecycle,"Existing child/profile runs show Tahoe child HOME, per-user Fire state, switch-back to User 0 and Fire restoration; KFT writer scope is child/profile-oriented.",adb/phase6bk/; adb/phase6cb/; adb/phase6di/; findings/phase-6qe-report.md; work/luna_worker_phase6sq_home_pms_writer_20260810.md,Legitimate tx3 caller provenance and a User-0 Fire restoration side effect are not closed.,YES: compare saved users/package/HOME snapshots and static UserInfo/caller paths.,"No child creation, switch/start/stop, unlock, or raw KFT Binder transaction."
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,已做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-07,Accessibility fallback,Installed Microsoft service bind-but-empty and bounded user-consented foreground fallback were observed; formal HOME resolver remained Fire.,adb/phase6de/; adb/phase6iq/; adb/phase6cx/; findings/phase-6rs-ru-report.md,Persistence under other GUI states and PendingIntent variant runtime remain unknown; foreground redirect is not HOME.,YES: inspect existing accessibility/activity/HOME captures.,"Do not enable secure settings, install/update APK, or replay isolation/redirect."
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,已做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-08,DPM/Profile/Backup,Owner/admin/UID gates and passive backup/profile evidence exist; shell caller rejection is bounded and no active restore writer was shown.,adb/phase6dt/; adb/phase6di/; findings/phase-6qe-report.md; findings/phase-6rs-ru-report.md,A legitimate Profile Owner relay or native/backup callback remains unverified.,YES: read saved dumpsys device_policy/users/package and static manifests.,No owner provisioning/removal or raw tx100/73/80/81 parcels.
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,已做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-09,private Binder/service visibility,"Amazon private service names are visible in service list, while shell service check/find denial is preserved; visibility is not a callable handle.",adb/phase6q/PHASE6Q-RO-20260805-01/service_list.stdout.txt; adb/phase6bd/; findings/phase-6qf-report.md; work/luna_worker_phase6qf_existing_runtime_audit_20260810.md,Method-level private service behavior and full registration/caller mapping remain unknown.,YES: read saved service list/check/find and host-side class-to-registration mapping.,Unknown/private Binder transactions and caller spoofing are risk-rejected.
6SX evidence audit,work/luna_worker_phase6sx_evidence_audit_20260810.csv,c745f206218d34fc9b5f831be7c06686e9fd5adaf6b64acc564843b2eff4a695,,已做,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX-10,OTA/OOBE/post-install,"Static receiver, protected broadcast, OOBE gates, OTA APK/post-install and block-image/partition-writer artifacts are present; some read-only baseline evidence exists.",artifacts/phase6n/; artifacts/phase6i/; artifacts/phase6u/; artifacts/phase6mm-updater-blockimage-20260810-01/; findings/phase-6sj-sm-report.md,"Natural official OTA post-state, native/fosinit handoff and exact user propagation are not observed.","YES: inspect saved captures, source CFG, manifests and archive EOF/provenance.","No broadcast injection, OTA replay, recovery/updater execution, reboot solely to test, or partition write."
