namespace,key,baseline_value,reader_class,writer_class,package,suspected_effect,writable_by_shell,reversible,tested,result
secure,enable_launcher_tutorial,1,decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/tutorial/TutorialMode.java:64,NONE OBSERVED,com.amazon.firelauncher,Launcher UI/content; no HOME resolver evidence,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,firelauncher_appsgrid_version,2,decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/appsgrid/manager/VersionTracker.java:24,decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/appsgrid/manager/VersionTracker.java:19,com.amazon.firelauncher,Launcher UI/content; no HOME resolver evidence,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,launcher_zero_margin_enabled,1,decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/search/SearchHostWidget.java:171; decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/search/SearchHostWidget.java:173; decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/search/SearchHostWidget.java:228; decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/search/SearchHostWidget.java:250,decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/search/SearchHostWidget.java:252; decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/search/SearchHostWidget.java:254; decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/search/SearchHostWidget.java:305; decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/search/SearchHostWidget.java:413,com.amazon.firelauncher,Launcher UI/content; no HOME resolver evidence,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,screensaver_default_component,com.amazon.alexa.multimodal.gemini/com.amazon.displayclockface.dream.ClockDream,decompiled/baksmali/vdexExtractor/boot-fosframework/boot-fosframework_classes.cdex:201197,NONE OBSERVED,Amazon framework services,Could affect defaults only with a matching reader,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,smart_home_lock_screen_access,0,decompiled/jadx/systemui/sources/com/amazon/systemui/utils/SmartHomeLauncherHelper.java:50; decompiled/jadx/systemui/sources/com/amazon/systemui/utils/SmartHomeLauncherHelper.java:64; decompiled/jadx/systemui/sources/com/amazon/systemui/utils/SmartHomeLauncherHelper.java:66; decompiled/baksmali/vdexExtractor/boot-fosframework/boot-fosframework_classes.cdex:195701; decompiled/baksmali/vdexExtractor/boot-fosframework/boot-fosframework_classes.cdex:197526; decompiled/baksmali/vdexExtractor/boot-fosframework/boot-fosframework_classes.cdex:201572,decompiled/jadx/systemui/sources/com/amazon/systemui/SGObserver.java:138,com.android.systemui,Could affect defaults only with a matching reader,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,tb_custom_launcher,com.teslacoilsw.launcher,NONE OBSERVED,NONE OBSERVED,UNKNOWN,Launcher-shaped runtime key; no inspected reader/writer,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,toddler_mode_default_value,0,decompiled/jadx/systemui/sources/com/amazon/systemui/utils/ToddlerModeManager.java:60; decompiled/jadx/systemui/sources/com/amazon/systemui/utils/ToddlerModeManager.java:62; decompiled/jadx/settings/sources/com/android/settings/security/ScreenPinningSettings.java:90; decompiled/baksmali/vdexExtractor/boot-fosframework/boot-fosframework_classes.cdex:195912,decompiled/jadx/settings/sources/com/android/settings/security/ScreenPinningSettings.java:96; decompiled/baksmali/vdexExtractor/boot-fosframework/boot-fosframework_classes.cdex:202140,com.android.systemui,Could affect defaults only with a matching reader,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,unknown_sources_default_reversed,1,decompiled/jadx/systemui/sources/com/android/server/devicepolicy/DevicePolicyManagerService.java:1657,decompiled/jadx/systemui/sources/com/android/server/devicepolicy/DevicePolicyManagerService.java:1660,com.android.systemui,Could affect defaults only with a matching reader,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,user_setup_complete,1,decompiled/jadx/systemui/sources/com/android/systemui/recents/Recents.java:649; decompiled/jadx/systemui/sources/com/android/systemui/keyboard/KeyboardUI.java:193; decompiled/jadx/systemui/sources/com/android/systemui/statusbar/policy/ZenModeControllerImpl.java:252; decompiled/jadx/systemui/sources/com/android/systemui/statusbar/policy/ZenModeControllerImpl.java:264; decompiled/jadx/systemui/sources/com/android/systemui/statusbar/policy/ZenModeControllerImpl.java:270; decompiled/jadx/systemui/sources/com/android/systemui/statusbar/policy/DeviceProvisionedControllerImpl.java:39,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java:43; decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/AOSPSettingsStoreMapping.java:44; decompiled/jadx/systemui/sources/com/android/server/devicepolicy/DevicePolicyManagerService.java:7492; decompiled/baksmali/vdexExtractor/fosservices/fosservices_classes.cdex:169896,com.android.systemui,Provisioning state; not a HOME selector,NOT TESTED,YES with original snapshot,NO,REJECTED: provisioning mutation outside safe HOME scope
global,com.amazon.feature.atz_prediction_on_single_nw_connect,true,decompiled/baksmali/vdexExtractor/boot-fosframework/boot-fosframework_classes.cdex:197187,NONE OBSERVED,Amazon framework services,Keyword candidate; no causal HOME evidence,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
global,com.amazon.systemui.kso.mode,1,NONE OBSERVED,NONE OBSERVED,UNKNOWN,Keyword candidate; no causal HOME evidence,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
global,com.amazon.tv.settings.ACCESSIBILITY_VIDEO_DESCRIPTION,0,NONE OBSERVED,decompiled/baksmali/vdexExtractor/boot-fosframework/boot-fosframework_classes.cdex:203277,Amazon framework services,Keyword candidate; no causal HOME evidence,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
global,com.amazon.tv.settings.VIDEO_QUALITY,2,NONE OBSERVED,decompiled/baksmali/vdexExtractor/boot-fosframework/boot-fosframework_classes.cdex:203277,Amazon framework services,Keyword candidate; no causal HOME evidence,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
global,default_install_location,0,decompiled/jadx/systemui/sources/com/android/server/pm/PackageManagerService.java:14775,decompiled/jadx/systemui/sources/com/android/server/pm/PackageManagerService.java:14768,com.android.systemui,Could affect defaults only with a matching reader,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
global,default_restrict_background_data,0,NONE OBSERVED,NONE OBSERVED,UNKNOWN,Could affect defaults only with a matching reader,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
global,device_provisioned,1,decompiled/jadx/systemui/sources/com/android/keyguard/KeyguardUpdateMonitor.java:1048; decompiled/jadx/systemui/sources/com/android/keyguard/KeyguardUpdateMonitor.java:1062; decompiled/jadx/systemui/sources/com/android/systemui/recents/Recents.java:649; decompiled/jadx/systemui/sources/com/android/systemui/statusbar/policy/ZenModeControllerImpl.java:256; decompiled/jadx/systemui/sources/com/android/systemui/statusbar/policy/ZenModeControllerImpl.java:263; decompiled/jadx/systemui/sources/com/android/systemui/statusbar/policy/ZenModeControllerImpl.java:270,NONE OBSERVED,com.android.systemui,Provisioning state; not a HOME selector,NOT TESTED,YES with original snapshot,NO,REJECTED: provisioning mutation outside safe HOME scope
global,preferred_network_mode,0,decompiled/jadx/systemui/sources/com/android/server/pm/UserRestrictionsUtils.java:368,decompiled/jadx/settings/sources/com/android/settings/RadioInfo.java:429,com.android.systemui,Could affect defaults only with a matching reader,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
