surface_family,source_csv,source_sha256,source_row,group,registered_entrypoint,caller_or_trigger,gate,identity_user_scope,sink_or_effect,verdict,evidence,finding_id,area,conclusion,status,evidence_file,line_or_address,sha256,unknown_or_limit,surface,result,source_config,dt_init_ueventd_file_contexts_vendor_te,built_in_or_module,exact_native_apk_caller,package_home_privilege_sink,unknown_boundary,evidence_sha256,Test ID,Phase scope,Route/test family,Whether state truly changed,Whether sustainable,Failure reason,Already excluded,Next safe minimum verification,Original evidence paths,Original evidence SHA-256,id,sink_class,operation,exact_build_path,line_or_offset,binder_interface,transaction,publication_or_service,permission_selinux_service_manager_gate,caller_or_publisher,user_scope,target_or_literal,confidence,unknowns
6VA fosinit residual closure,work/luna_worker_phase6va_fosinit_residual_closure_20260810.csv,834676c20c53cb7910f2ed56f382fd4d90e0f04c56aaba23433a4b770c3eab2c,12,crlsetmanager,CRLSetManagerService; BinderService; CRLSetInstallReceiver,onStart publishes crlsetmanager Binder; onBootPhase registers UPDATE_CRLSET receiver with scheme/authority/type filter,dump uses checkCallingOrSelfPermission(android.permission.DUMP); checkTrusted Binder method has no local permission check visible,system service global scope; Binder caller identity not fully constrained for checkTrusted,CRL trust decision plus receiver-driven certificate update,UNRESOLVED_AUTHZ,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/crlsetmanager_fosinit.xml:8-11; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:15501-15540; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:15652-15691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VA fosinit residual closure,work/luna_worker_phase6va_fosinit_residual_closure_20260810.csv,834676c20c53cb7910f2ed56f382fd4d90e0f04c56aaba23433a4b770c3eab2c,13,amazoncertpininstall,AmazonCertPinInstallReceiver.install,updates/cert-pin receiver instance,instance registration only; install caller gate and intent provenance not recovered,system update files/global scope,writeUpdate to updateDir/updateContent/updateVersion files,PARTIAL,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/amazoncertpininstall_fosinit.xml:8-12; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:132805-132849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VA fosinit residual closure,work/luna_worker_phase6va_fosinit_residual_closure_20260810.csv,834676c20c53cb7910f2ed56f382fd4d90e0f04c56aaba23433a4b770c3eab2c,14,core,InitFireOsSystemConfigCallback; FireOSDebugService,SystemServer bootstrap callback and debug service registration,caller gate for debug surface not recovered,system-server global scope,system configuration initialization and debug-service surface; sink details not recovered,UNKNOWN,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/core_fosinit.xml:8-15; artifacts/amazon-services/core_fosinit.xml:8-15; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:34632-34655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VA fosinit residual closure,work/luna_worker_phase6va_fosinit_residual_closure_20260810.csv,834676c20c53cb7910f2ed56f382fd4d90e0f04c56aaba23433a4b770c3eab2c,15,receiverfilter,ReceiverFilterCallback,PackageManager lifecycle callback,filter metadata construction visible; caller/authz and final PM filtering branch not fully recovered,package/component receiver scope; user scope not visible,receiver/action/data-type filtering effect,PARTIAL,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/receiverfilter_fosinit.xml:8-11; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:195193-195251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VA fosinit residual closure,work/luna_worker_phase6va_fosinit_residual_closure_20260810.csv,834676c20c53cb7910f2ed56f382fd4d90e0f04c56aaba23433a4b770c3eab2c,16,tabletbroadcastrelay,TabletBroadcastRelayService; TabletBroadcastRelayReceiver,system service onStart creates receiver and registers for USER_BACKGROUND/USER_FOREGROUND with UserHandle.ALL,no caller gate on registration; receiver-side authorization/forward target unresolved,all-user scope is explicit,relay receiver broadcast forwarding sink not recovered,UNRESOLVED_AUTHZ,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/tabletbroadcastrelay_fosinit.xml:8-11; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:168379-168430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VB OTA post-install closure,work/luna_worker_phase6vb_ota_postinstall_closure_20260810.csv,4eaeb6302d1fde0752bc052cd9c67b0b5ee1d3bac7f93935352dced1c36d3fd5,2,,,,,,,,,6VB-001,exact-build,Original OTA SHA-256 9f50d2f3...e3cd5; extracted script/binary match phase6md inputs.,CONFIRMED,"firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin; firmware/extracted/PS7331/META-INF/com/google/android/{updater-script,update-binary}",script:1-24,OTA=9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5; script=4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248; binary=02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,No complete tar-member comparison.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VB OTA post-install closure,work/luna_worker_phase6vb_ota_postinstall_closure_20260810.csv,4eaeb6302d1fde0752bc052cd9c67b0b5ee1d3bac7f93935352dced1c36d3fd5,3,,,,,,,,,6VB-002,archive-path,No archive traversal/symlink entries or duplicate file-map paths; file-map contains //system absolute/empty-segment paths.,CONFIRMED_WITH_LIMIT,artifacts/phase6bp/ota-path-audit-20260805-02/ota-path-audit.json,JSON entries,594ab2dddbb30739261418400913494d97dba1ad24de8422c1c831fc40ac4970,Archive clean does not prove runtime no-follow semantics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VB OTA post-install closure,work/luna_worker_phase6vb_ota_postinstall_closure_20260810.csv,4eaeb6302d1fde0752bc052cd9c67b0b5ee1d3bac7f93935352dced1c36d3fd5,4,,,,,,,,,6VB-003,Java-canonicalization,"SideloadMover uses getAbsolutePath, slash split and basename concatenation; no canonical/no-follow check visible.",CONFIRMED_WITH_LIMIT,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadMover.java,39-42,59131cf032d8544cd44ea839ad63eb37993d2853b4925bf56d10ede721693f63,Adjacent phase6j JADX not decompiled path; runtime semantics UNKNOWN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VB OTA post-install closure,work/luna_worker_phase6vb_ota_postinstall_closure_20260810.csv,4eaeb6302d1fde0752bc052cd9c67b0b5ee1d3bac7f93935352dced1c36d3fd5,5,,,,,,,,,6VB-004,staging,FileHelper renameTo; fallback copy then delete; existing destination requires MD5 equality before source delete.,CONFIRMED,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/framework/FileHelper.java,305-339,55a7f44a70735626be7ebde25e96812346f336fddbec2c87de29ac0fb709b980,No lstat/readlink/no-follow or atomicity proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VB OTA post-install closure,work/luna_worker_phase6vb_ota_postinstall_closure_20260810.csv,4eaeb6302d1fde0752bc052cd9c67b0b5ee1d3bac7f93935352dced1c36d3fd5,6,,,,,,,,,6VB-005,caller-chain,"SideloadInstaller verifies without recovery check, moves staging file, then calls UpdateSystemWrapper.install; failure deletes sideload files.",CONFIRMED,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadInstaller.java,65-94,98fe15a329e96ec793fc3f50172d945d9d409b734efce084af38bbef49248e4a,Caller permission and Binder identity UNKNOWN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VB OTA post-install closure,work/luna_worker_phase6vb_ota_postinstall_closure_20260810.csv,4eaeb6302d1fde0752bc052cd9c67b0b5ee1d3bac7f93935352dced1c36d3fd5,7,,,,,,,,,6VB-006,RecoverySystem,"OSUpdateValidator performs helper hash assertion, RecoverySystem.verifyPackage, then update-property validation.",CONFIRMED,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/software/ota/tasks/validate/OSUpdateValidator.java,73-78,36fca220ec2332bee5e5af3c9c2317056a425b90507951345d5b729c76c6f256,Recovery cryptographic implementation/key chain UNKNOWN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VB OTA post-install closure,work/luna_worker_phase6vb_ota_postinstall_closure_20260810.csv,4eaeb6302d1fde0752bc052cd9c67b0b5ee1d3bac7f93935352dced1c36d3fd5,8,,,,,,,,,6VB-007,UpdateSystem,"Wrapper remaps external to media path, writes persist.sys.ota.isScreenOffBeforeOTA, calls UpdateSystem.install with flags.",CONFIRMED,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/framework/UpdateSystemWrapper.java,29-47,c99f6884fa298546b18722a5addb46ae35aff4c9f6003d8ad3ccaebe2edfdbd9,Underlying enforcement/reboot behavior UNKNOWN; not invoked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VB OTA post-install closure,work/luna_worker_phase6vb_ota_postinstall_closure_20260810.csv,4eaeb6302d1fde0752bc052cd9c67b0b5ee1d3bac7f93935352dced1c36d3fd5,9,,,,,,,,,6VB-008,partition-cache,"Script targets system/vendor block_image_update, boot/firmware by-name writes, and /cache/recovery/last_blocklist.",CONFIRMED,artifacts/phase6md-native-updater-path-audit-20260810-02/updater-script-operations.csv,rows 1-13,baf9d3598cf35c009afe127401d77b3e2f0a2594c133ba71e6e5bf6b2562b367,No device write; post-install executor beyond extraction UNKNOWN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VB OTA post-install closure,work/luna_worker_phase6vb_ota_postinstall_closure_20260810.csv,4eaeb6302d1fde0752bc052cd9c67b0b5ee1d3bac7f93935352dced1c36d3fd5,10,,,,,,,,,6VB-009,native-writers,"Native graph reaches ota_open/extraction, open/chown/rename, and WriteToPartition ota_open/ota_write sinks.",CONFIRMED,artifacts/phase6md-native-updater-path-audit-20260810-02/path-write-call-edges.csv,rows 5-23,7dc9e3ef02a86d978d59736440bad0273288d83c71b8e7117eefb96c7bfffdbb,Low-privilege entry and complete indirect-call closure UNKNOWN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VB OTA post-install closure,work/luna_worker_phase6vb_ota_postinstall_closure_20260810.csv,4eaeb6302d1fde0752bc052cd9c67b0b5ee1d3bac7f93935352dced1c36d3fd5,11,,,,,,,,,6VB-010,native-canonicalization,"realpath/readlink markers exist; 6MM closes MakeFreeSpaceOnCache -> __readlink_chk, but no direct canonicalization-to-write edge.",CONFIRMED_WITH_LIMIT,artifacts/phase6md-native-updater-path-audit-20260810-02/path-marker-strings.csv; artifacts/phase6mm-updater-blockimage-20260810-01/canonicalization-call-sites.csv,markers 104-106/134-135; callsite 0x417bf0,3fe90198a4de2b30d743191996e8476630603998df20d8f9f91fe942bc244ebb; 8cc6d38c1e464b6b741b29bdee8aa253113e7aea286f368ffe1cf1c0cde5983d,Complete CFG/dataflow and runtime no-follow UNKNOWN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VB OTA post-install closure,work/luna_worker_phase6vb_ota_postinstall_closure_20260810.csv,4eaeb6302d1fde0752bc052cd9c67b0b5ee1d3bac7f93935352dced1c36d3fd5,12,,,,,,,,,6VB-011,rollback-AVB,"Visible state is active/needs-reset, post-update verification status and build-number success cleanup; AVB rollback index/slot handoff not closed.",CONFIRMED_WITH_LIMIT,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/software/ota/tasks/install/OSUpdateInstaller.java; artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/software/ota/tasks/SideloadVerificationTask.java; artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/software/ota/metrics/PostOtaVerificationMetrics.java,41-60; 40-76; 47-76,70f44b73aecaf76945e20bbc3a81d31701c3032dd2e931b070a8a17a071457ce; 994951024511d9ae81d53e1093fd686a10dda01370955daaea515e2efc845760; 61e18e084a22fa82522abb209b80a1eef4583cb58388004ed35d325a0075fd1b,Authoritative rollback/post-install/AVB handoff UNKNOWN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VB OTA post-install closure,work/luna_worker_phase6vb_ota_postinstall_closure_20260810.csv,4eaeb6302d1fde0752bc052cd9c67b0b5ee1d3bac7f93935352dced1c36d3fd5,13,,,,,,,,,6VB-012,permission-identity,"Compat manifest names signature-level controller permission, but complete OTA manifest protectionLevel and runtime UID/SELinux/Binder caller closure are absent.",UNKNOWN,artifacts/phase6j/ota-holder-manifest-audit-20260805-03/compat.manifest.txt; artifacts/phase6j/phase6j-ipc-authorization-20260805-02/registrations.csv,16-23; 1-12,afe37a2d959f36d3ab271a7a6495fddc46b6211ef98f0c7921fb5dfa44180e6a; 6bb252e7d0cdd055416532388a4728908145579d1a87edcdf60b96dd9547b740,Do not infer privilege from @Inject or priv-app location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VB OTA post-install closure,work/luna_worker_phase6vb_ota_postinstall_closure_20260810.csv,4eaeb6302d1fde0752bc052cd9c67b0b5ee1d3bac7f93935352dced1c36d3fd5,14,,,,,,,,,6VB-013,input-completeness,artifacts/phase6uo is missing; decompiled/jadx/ota-PS7331 has no matching OTA Java source path.,UNKNOWN,filesystem inventory,missing/none,UNKNOWN,Exact decompiled OTA implementation and phase6uo evidence unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VC native driver caller/policy closure,work/luna_worker_phase6vc_driver_caller_policy_20260810.csv,8bb5edcc5b5e1cf0bfb8e45cd14c1e185ac873c4d307e67594c024ccd3b69ad0,2,,,,,,,,,,,,,,,,,/dev/mtk_cmdq CMDQ-MDP,UNKNOWN,cmdq_driver.c:660-743;848-865;894-898; kernel.config:1247-1248; phase6ft cmdq_ioctl->CMDQ_IOCTL_ASYNC_EXEC,node metadata 0644 system:system mtk_cmdq_device; vendor policy refs phase6sl:5228-5229;5754;6087;6199; exact DT/init/ueventd join missing,CONFIG_MTK_CMDQ=y; CONFIG_MTK_CMDQ_TAB=y; Image/object/module provenance unknown,No exact shipped ELF /dev/mtk_cmdq open + CMDQ ioctl call-site/relocation tuple in phase5cs/phase6tc,No AMS/ATMS/PMS/HOME or privilege sink; phase6ft records no framework flow,fireos.tar and boot_unpacked/Image absent; final merged config/DT/policy not complete,platform.tar=69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd; kernel.config=eefb8db484f65e196a7bb401ae0165f434f08b13041aef6762917e284d013d04; boot.img=cf12e5619d635ecf7927784a4ed15a254a96c1642d1db9e4ca6734b192d6fa1b,,,,,,,,,,,,,,,,,,,,,,,,
6VC native driver caller/policy closure,work/luna_worker_phase6vc_driver_caller_policy_20260810.csv,8bb5edcc5b5e1cf0bfb8e45cd14c1e185ac873c4d307e67594c024ccd3b69ad0,3,,,,,,,,,,,,,,,,,/dev/ion ION core,UNKNOWN,ion.c:1478-1617;1657-1658;1906-1924; kernel.config:3532-3534,saved metadata 0666 system:graphics ion_device; CIL refs phase6un:3066;4170;4325;4417; final ueventd/file_contexts/TE and DT/init incomplete,CONFIG_ION=y; CONFIG_MTK_ION=y; final object/module manifest unknown,libion.so strings/symbols and ioctl sites; no top-level shipped process/APK consumer or runtime invocation,Memory/DMA capability only; no package/HOME/Settings/PMS/privilege sink,library capability is not caller; no device access performed,kernel.config=eefb8db484f65e196a7bb401ae0165f434f08b13041aef6762917e284d013d04; phase6me manifest=ada254be9c56572282704924eea66e2852889ec73c0a65be4558f36f77d8250a,,,,,,,,,,,,,,,,,,,,,,,,
6VC native driver caller/policy closure,work/luna_worker_phase6vc_driver_caller_policy_20260810.csv,8bb5edcc5b5e1cf0bfb8e45cd14c1e185ac873c4d307e67594c024ccd3b69ad0,4,,,,,,,,,,,,,,,,,/dev/ion MTK custom,UNKNOWN,ion_drv.c:428-492;703-736; ION core/config,same saved node metadata/policy; final DT/init/ueventd/file_contexts/TE incomplete,CONFIG_MTK_ION=y; built-in/module delivery unknown,libion_mtk.so custom ioctl sites only; no exact top-level caller/runtime invocation,No package/HOME/privilege sink,No exact process ownership or execution edge,phase6me driver-control-closure.csv=360168945378dc42c96868339a3ed2a92fa4dfb819e9a9043286a453906218cb,,,,,,,,,,,,,,,,,,,,,,,,
6VC native driver caller/policy closure,work/luna_worker_phase6vc_driver_caller_policy_20260810.csv,8bb5edcc5b5e1cf0bfb8e45cd14c1e185ac873c4d307e67594c024ccd3b69ad0,5,,,,,,,,,,,,,,,,,Amazon-LD sysfs/module params,UNKNOWN,amzn_ld.c:618-738;878-896; CONFIG_AMAZON_LD=y and CONFIG_AMAZON_LD_SWITCH=y,source 0664 stores; no ueventd rule; exact DT/file_contexts/vendor-TE/init action missing; existing shell audit found no attrs/denied params without writes,final Image symbol/object/module delivery unknown,No exact shipped ELF sysfs attribute write call-site,No framework/package/HOME/privilege sink,sysfs instance and policy are not closed,platform.tar=69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd; boot.img=cf12e5619d635ecf7927784a4ed15a254a96c1642d1db9e4ca6734b192d6fa1b,,,,,,,,,,,,,,,,,,,,,,,,
6VC native driver caller/policy closure,work/luna_worker_phase6vc_driver_caller_policy_20260810.csv,8bb5edcc5b5e1cf0bfb8e45cd14c1e185ac873c4d307e67594c024ccd3b69ad0,6,,,,,,,,,,,,,,,,,/proc/amzn_drvs/*,UNKNOWN,amzn_drv_test.c; phase6nb source lines/CSV,proc absent in saved shipped snapshot; final init/file_contexts/vendor-TE unknown,trona defconfig has no CONFIG_AMZN_DRV_TEST=y/m; final merged config/module unknown,com.amazon.connectivitydiag package presence only; no exact native proc open/write caller,No package state/HOME/privilege transition sink,Conditional source-only driver; delivery and node not established,amzn_drv_test.c=6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e; platform.tar=69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd,,,,,,,,,,,,,,,,,,,,,,,,
6VC native driver caller/policy closure,work/luna_worker_phase6vc_driver_caller_policy_20260810.csv,8bb5edcc5b5e1cf0bfb8e45cd14c1e185ac873c4d307e67594c024ccd3b69ad0,7,,,,,,,,,,,,,,,,,/proc/idme/*,UNKNOWN,amzn_idme.c:316-347; kernel.config:3583-3584,saved proc metadata and IDME init/CIL refs; exact file_contexts/TE/init-to-node incomplete,CONFIG_AMZN_IDME=y; final object delivery unknown,IDME HAL/library presence only; no exact ELF proc open/read call-site,No exact package/HOME/PMS/privilege sink,HAL identity is not caller evidence,kernel.config=eefb8db484f65e196a7bb401ae0165f434f08b13041aef6762917e284d013d04,,,,,,,,,,,,,,,,,,,,,,,,
6VC native driver caller/policy closure,work/luna_worker_phase6vc_driver_caller_policy_20260810.csv,8bb5edcc5b5e1cf0bfb8e45cd14c1e185ac873c4d307e67594c024ccd3b69ad0,8,,,,,,,,,,,,,,,,,/dev/metrics and /dev/vitals,UNKNOWN,amzn_logger.c:696-738; read/poll/open/release-only fops,final node mode/label/ueventd/file_contexts/vendor-TE incomplete,config/object delivery unknown,No exact shipped ELF open/read/poll caller,No higher-level sink,Source names do not establish shipped nodes,platform.tar=69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd,,,,,,,,,,,,,,,,,,,,,,,,
