domain,row_id,subject,method_or_test,publication_or_source,caller_or_image_node,gate_or_policy,identity_or_reachability,user_scope_or_impact,sink_or_result,low_privilege_status,classification,evidence,source_or_hash,next_safe_step,notes
amazon-ipc-residual,6RG-11,SystemUI service startup,"decompiled/jadx/systemui/sources/com/android/systemui/SystemUIApplication.java:40-45,80-110; com.amazon.systemui.utils.SystemServiceFilterUtil","decompiled/jadx/systemui/sources/com/android/systemui/SystemUIApplication.java:40-45,80-110; com.amazon.systemui.utils.SystemServiceFilterUtil",SystemUIApplication process lifecycle; configured component names from resources; amz_config_systemUIServiceComponents and per-user service array,system user branch and SystemServiceFilterUtil filtering; exact resource contents/caller extensions unresolved,application/system process identity; no Binder deputy shown in startup slice; REGISTRATION_CONFIRMED_DOWNSTREAM_REACHABILITY_UNKNOWN,system user plus secondary-user services,instantiation/start of configured SystemUI services; downstream Amazon service sinks unresolved,REGISTRATION_CONFIRMED_DOWNSTREAM_REACHABILITY_UNKNOWN,MEDIUM,"decompiled/jadx/systemui/sources/com/android/systemui/SystemUIApplication.java:40-45,80-110",,Resolve resource arrays and each service's downstream IPC statically; no service start manipulation,"UNKNOWN remains an evidence gap, not a vulnerability claim"
amazon-ipc-residual,6RG-12,OOBE/OTA boot lifecycle,AmazonPackageManagerService onBootPhase(550) fosservices/disassembly.log:96087-96126; artifacts/phase6n/oobe-ipc-ota-audit-20260804-191216/control-surface.mmd,AmazonPackageManagerService onBootPhase(550) fosservices/disassembly.log:96087-96126; artifacts/phase6n/oobe-ipc-ota-audit-20260804-191216/control-surface.mmd,system_server lifecycle only; ordinary broadcast sender not proven; isUpgrade/boot phase -> amazon.intent.action.BOOT_AFTER_SYSTEM_OTA,phase predicate plus protected RECEIVE_BOOT_AFTER_SYSTEM_OTA permission and OOBE receiver predicates,trusted system Context; ordinary Binder identity absent; delivered user unresolved; PROTECTED_LIFECYCLE_SINK_ORDINARY_RELAY_UNKNOWN,receiver context/user mapping unresolved,PackageHelper enables OobeHomeActivity; OOBEActivationHelper writes setup/OOBE Settings.Secure,PROTECTED_LIFECYCLE_SINK_ORDINARY_RELAY_UNKNOWN,HIGH,artifacts/phase6n/oobe-ipc-ota-audit-20260804-191216/control-surface.mmd; work/luna_worker_phase6qe_ipc_caller_closure_20260810.csv QE-14; artifacts/phase6ni-system-context-oobe-scope-20260810-01/evidence.csv,,Trace Context/user mapping and receiver predicates offline; no broadcast or OTA replay,"UNKNOWN remains an evidence gap, not a vulnerability claim"
amazon-ipc-residual,6RG-13,DeviceSoftwareOTA controller,"OtaService manifest/service boundary; artifacts/phase6r/ota-ipc-static-audit-20260805-04/report.md:7,18; OtaService source hash in artifacts/phase6n/oobe-ipc-ota-audit-20260804-191216/ota-post-install-audit.csv:13","OtaService manifest/service boundary; artifacts/phase6r/ota-ipc-static-audit-20260805-04/report.md:7,18; OtaService source hash in artifacts/phase6n/oobe-ipc-ota-audit-20260804-191216/ota-post-install-audit.csv:13",privileged OTA controller/lifecycle caller; ordinary app/shell caller not proven; bind to OTA controller and install-like method inputs,com.amazon.dcp.ota.permission.CONTROLLER plus privileged package/recovery/certificate/product gates,trusted OTA app to UpdateSystem/recovery identity; native boundary unresolved; PRIVILEGED_CAPABILITY_ONLY_ORDINARY_REACHABILITY_UNKNOWN,OTA controller/recovery context; target user not relevant/unknown,UpdateSystem.install -> recovery/update-binary/block-image/partition capability,PRIVILEGED_CAPABILITY_ONLY_ORDINARY_REACHABILITY_UNKNOWN,HIGH,work/luna_worker_phase6qe_ipc_caller_closure_20260810.csv QE-15; artifacts/phase6r/ota-ipc-static-audit-20260805-04/report.md; artifacts/phase6n/oobe-ipc-ota-audit-20260804-191216/ota-post-install-audit.csv:13,,Continue registration/function-pointer provenance only; no OTA/recovery/updater execution,"UNKNOWN remains an evidence gap, not a vulnerability claim"
amazon-ipc-residual,6RG-14,Vending exported receiver/service,LauncherConfigurationReceiver source/artifact phase6ps-vending-receiver-20260810-01; DseService source/artifact phase6mb-vending-jadx-20260810-01,LauncherConfigurationReceiver source/artifact phase6ps-vending-receiver-20260810-01; DseService source/artifact phase6mb-vending-jadx-20260810-01,external sender/client unknown; FIRST_SCREEN_ACTIVE_INSTALLS intent; DSE Binder calls,receiver accepted path requires launcher/setup-qualified PendingIntent; DSE requires manifest com.google.android.finsky.permission.DSE and internal arjs.z authorization,creatorPackage/calling UID used for qualification; privileged relay not proven; EXPORTED_METADATA_ONLY_ACCEPTED_CALLER_UNKNOWN,launcher/setup user; exact DSE target user unresolved,aoba.k/aofc.y restore/install bookkeeping; DSE browser/search/settings eligibility; no Fire/HOME writer shown,EXPORTED_METADATA_ONLY_ACCEPTED_CALLER_UNKNOWN,MEDIUM,"work/luna_worker_phase6qe_ipc_caller_closure_20260810.csv QE-12,QE-13; artifacts/phase6mb-vending-jadx-20260810-01/DseService.java:272-484,487-603,656-736",,"Recover exact offline consumers and authorization paths; do not broadcast, bind, install, or mutate settings","UNKNOWN remains an evidence gap, not a vulnerability claim"
source-package-policy,6RH-01,Amazon/MTK driver registration,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/Kconfig:43-68; platform/kernel/mediatek/mt8183/4.4/drivers/staging/Kconfig:117-120; platform/kernel/mediatek/mt8183/4.4/drivers/staging/Makefile:52-53,firmware/extracted/PS7331/boot_unpacked/Image; SHA-256 10638df8d43c83e0799bfe071ef29a8069ad909b320536cff6b58ee5e1efea7d,platform/device/amazon/kernel/driver/Makefile:28; platform/kernel/mediatek/mt8183/4.4/arch/arm64/configs/trona_defconfig:523-530; UNKNOWN: build/config registration only; no app or shell caller established,UNKNOWN: no Android file_context/CIL mapping in source scope; no image label proof,medium,CONFIG_AMZN_DRV_TEST is not selected in trona defconfig; module loading and node state not proven,driver/module/proc surfaces; exact shipped registration and runtime sink UNKNOWN,medium,high,work/luna_worker_source_scope_driver_audit_20260810.md; work/luna_worker_phase6na_amzn_drv_test_closure_20260810.md,,Keep as static build-reachability row; do not load module or access proc node,CONFIG_AMZN_DRV_TEST is not selected in trona defconfig; module loading and node state not proven
source-package-policy,6RH-02,amzn_drv_test proc test surface,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_drv_test.c:747-790; :792-866,UNKNOWN: Image marker audit reports amzn_drvs marker absent from official Image,platform/device/amazon/kernel/driver/Kconfig:65-68 default n; Makefile:28; trona_defconfig lacks CONFIG_AMZN_DRV_TEST=y/m; proc_write/copy_from_user to test callbacks; downstream test effects UNKNOWN,UNKNOWN: Unix mode appears S_IRUGO|S_IWUSR in source; SELinux label and caller UNKNOWN,medium,UNKNOWN,source has three child proc entries and shared write callback; no shipped/reachable proof,medium,high,artifacts/phase6nb-amzn-drv-test-source-closure-20260810-01/phase6nb-amzn-drv-test-source.csv; sha256sums.txt,,Static review only; compare future signed image manifest if supplied,UNKNOWN
source-package-policy,6RH-03,IDME registration and lifecycle,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_idme.c:302-356; platform/device/amazon/kernel/driver/Kconfig:43-68,UNKNOWN: no verified IDME node in boot_unpacked file listing,platform/device/amazon/kernel/driver/Makefile and trona_defconfig: Amazon dependency chain; exact selected symbol UNKNOWN; proc IDME read path and lifecycle initialization; final consumer/sink UNKNOWN,source creates proc root and removes child write bits/restricts owner per prior audit; SELinux and ordinary caller UNKNOWN,medium,UNKNOWN,build source is present but shipped image and runtime lifecycle are not closed,medium,high,work/luna_worker_source_scope_driver_audit_20260810.md; work/luna_worker_phase6_ota_postinstall_audit_20260810.md,,Index init/permission declarations from any newly supplied vendor image; no device probing,UNKNOWN
source-package-policy,6RH-04,MTK AUXADC ioctl/factory surface,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/4.4/drivers/misc/mediatek/auxadc/mtk_auxadc.c:553-625; :661-668,firmware/extracted/PS7331/boot_unpacked/Image; literal markers AUXADC/store_AUXADC_register/AUXADC_read_channel reported,platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/auxadc/; exact defconfig/module selection UNKNOWN; UNKNOWN: ioctl caller and UID not established,UNKNOWN: node mode; file_context/CIL and allow rules not present in bounded source scope,medium,source/image literal correspondence is not proof of node access or SELinux reachability,ioctl handlers and copy_from_user; calibration/register state sink,medium,high,work/luna_worker_source_scope_driver_audit_20260810.md; work/luna_worker_phase6_ota_postinstall_audit_20260810.md,,Only inspect static source and preserved image strings; no node/ioctl execution,source/image literal correspondence is not proof of node access or SELinux reachability
source-package-policy,6RH-05,Android init/file_context/CIL provenance,source archive has no platform/system/core/init or complete Android userspace policy loader; only kernel init and build-side policy references,boot_unpacked contains preserved boot artifacts but no verified Android file_context/CIL asset in bounded listing,UNKNOWN: init rc/config and selected policy mapping are not closed; UNKNOWN: no caller or sink,UNKNOWN: no SELinux allow rule or permission grant can be attributed to these driver names,low,UNKNOWN,negative scope result; absence in bounded source/archive must not be generalized to uncollected image partitions,low,high,work/luna_worker_source_scope_driver_audit_20260810.md; work/luna_worker_phase6_ota_postinstall_audit_20260810.md,,If a full system/vendor unpack is provided index file_contexts/CIL/init rc only,UNKNOWN
source-package-policy,6RH-06,OTA package metadata and gating,source-side updater implementation not in Android userspace source archive; existing static package metadata is authoritative for this row,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin; SHA-256 9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5,updater-script lines 1-2 gate build date and ro.product.device trona; recovery/update context consumes metadata; sink is gated updater dispatch,otacert is package verification asset; exact verifier permission/caller UNKNOWN,high,UNKNOWN,signature/staging implementation and invoking caller not dynamically validated,high,high,artifacts/phase6i/phase6i-ota-postinstall-20260804-01/ota-findings.csv:16-19; work/luna_worker_phase6_ota_postinstall_audit_20260810.md,,Continue static member/hash comparison only; do not run updater or recovery,UNKNOWN
source-package-policy,6RH-07,OTA block-image and boot-chain writer provenance,not present as Android source; static updater dispatch artifact only,firmware/extracted/PS7331 package members system.new.dat.br vendor.new.dat.br boot.img images/*.img,updater-script:6-23; no init rc needed for recovery script; UNKNOWN: ordinary APK/shell caller to recovery writer not established,UNKNOWN: recovery SELinux policy and caller authorization not represented in package script,high,post-install caller chain and signature/staging internals remain UNKNOWN; no write occurred,block_image_update/package_extract_file target system/vendor/boot and boot-chain partitions,high,high,artifacts/phase6i/phase6i-ota-postinstall-20260804-01/summary.json; work/luna_worker_phase6_ota_postinstall_audit_20260810.md,,Preserve as capability-only row; no malformed package or partition test,post-install caller chain and signature/staging internals remain UNKNOWN; no write occurred
source-package-policy,6RH-08,OTA post-install/cache provenance,known package member META-INF/com/amazon/android/target.blocklist and updater-binary; outer source archive audit is bounded,artifact members.json and summary.json; no payload.bin or A/B postinstall executable found in known set,updater-script:24 extracts target.blocklist to /cache/recovery/last_blocklist; UNKNOWN: cache file sink only; no post-install executable route proven,UNKNOWN: recovery file_context/allow and post-install caller UNKNOWN,high,medium,known-member negative only; outer archive EOF limitation prevents universal negative,high,artifacts/phase6i/phase6i-ota-postinstall-20260804-01/ota-findings.csv:2,46; artifacts/phase6mi-source-tar-eof-20260810-03/source-tar-flow.mmd,,Re-run only bounded archive inventory if a complete archive artifact is supplied,medium
source-package-policy,6RH-09,OtaDexopt lifecycle service,framework source not present in GPL/source archive; existing decompiled artifact is static evidence,installed PS7331 services VDEX contains com.android.server.pm.OtaDexoptService; service-list artifact records otadexopt,SystemServer gate and OtaDexoptService/OtaDexoptShellCommand line refs in existing audit; shell command prepares/cleans dexopt command/OAT state; no partition/HOME/root sink established,service is framework/Binder-visible; exact SELinux domain and caller authorization UNKNOWN,medium,UNKNOWN,service visibility is not arbitrary Binder authority and no mutating command was run,medium,high,work/luna_worker_phase6_ota_postinstall_audit_20260810.md; artifacts/phase6af/otadexopt-implementation-closure-20260805-02/implementation.json,,Static VDEX/disassembly review only; do not invoke service,UNKNOWN
source-package-policy,6RH-10,OTA boot-after lifecycle receiver,framework source not in GPL source archive; existing decompiled artifact only,installed fosservices disassembly artifact; no direct image init asset verified,UNKNOWN: receiver registration/boot phase and upgrade gate are in decompiled framework; exact manifest permission UNKNOWN; OOBE/setup state and OobeHomeActivity lifecycle writes; no ordinary HOME caller proven,system_server boot phase 550 and PackageManagerService.isUpgrade gate; ordinary sender not established,medium,UNKNOWN,receiver action alone is not sender authentication,medium,high,work/luna_worker_phase6_ota_postinstall_audit_20260810.md; work/luna_worker_ota_inventory_20260810.md,,Keep lifecycle and caller as separate UNKNOWN fields,UNKNOWN
source-package-policy,6RH-11,Package and privileged-permission assets,Android package/policy source not present in GPL source archive; existing extracted policy artifact is static evidence,artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/permissions/privapp_permissions.xml and privapp-permissions-platform.xml; hashes recorded in prior audit,init_or_config=package XML assets; protection level signature|privileged for cited permission; exact signing/grant provenance may be UNKNOWN; privapp grant and package/component mutator candidates; protected-package sink gate remains separate,recorded holders include com.amazon.alta.h2clientservice and framework packages; Vending grant provenance/caller route UNKNOWN,medium,UNKNOWN,package holder is not proof of reachable protected mutation; no package state changed,medium,high,work/luna_worker_component_permission_provenance_20260810.md; work/luna_worker_component_permission_matrix_20260810.csv,,Use only as holder/protection evidence; do not infer caller or sink success,UNKNOWN
source-package-policy,6RH-12,Init/config/package inventory closure,source archive lacks Android system/core/init and Amazon framework; existing device config inventories are preserved artifacts,device/fireos-config/CONFIG-20260803-02/paths/* init and permissions listings; no new image write,CONFIG-20260803-02 path listings cover system/product/system_ext/fireos init and permissions directories; individual file labels/content not captured; package/config asset presence and names are inventory-only; exact sink UNKNOWN,UNKNOWN: captured listings do not prove a matching allow rule or caller,low,UNKNOWN,listing artifact is useful provenance but not content-level closure,low,high,device/fireos-config/CONFIG-20260803-02/summary.md; paths/*; sha256sums.txt,,If needed next safe step is host-only content extraction from preserved image without device interaction,UNKNOWN
existing-runtime-evidence,RI-001,package/component gate,6BK/6BL/6FA; QF-C-01; adb/phase6bk/; adb/phase6bl/; adb/phase6fa/PHASE6FA-FIRE-FORCESTOP-PROTECTED-20260806-184100/command-output.txt; adb/phase6qe/.../home_resolve.stdout.txt,adb/phase6bk/; adb/phase6bl/; adb/phase6fa/PHASE6FA-FIRE-FORCESTOP-PROTECTED-20260806-184100/command-output.txt; adb/phase6qe/.../home_resolve.stdout.txt,UNKNOWN,Exact PS7331 build; prior package/component and protected-package captures,DISPROVED ordinary package/component/force-stop route; User-0 restoration writer provenance remains unknown,Exact PS7331 build; prior package/component and protected-package captures,Tahoe package enable did not expose HOME; shell component enable and Fire force-stop were rejected before state change; User-0 resolver remained com.amazon.firelauncher/.Launcher priority 50.,DISPROVED ordinary package/component/force-stop route; User-0 restoration writer provenance remains unknown,DISPROVED ordinary package/component/force-stop route; User-0 restoration writer provenance remains unknown,06ba554adbc33bed568224f73b2c311dce63df2af5893946cf464849392cc9b9; d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6,,Host-only correlate protected-package checks with saved PMS caller/source data; do not invoke setters or force-stop.,existing evidence only; not repeated
existing-runtime-evidence,RI-002,KFT child/profile,6BK/6CB/6CZ/6DI; QF-C-02; adb/phase6bk/PHASE6BK-KFT-RUNTIME-20260810-01/; adb/phase6cb/; adb/phase6di/PHASE6DI-KFT-DPM-BACKUP-PASSIVE-20260806-01/,adb/phase6bk/PHASE6BK-KFT-RUNTIME-20260810-01/; adb/phase6cb/; adb/phase6di/PHASE6DI-KFT-DPM-BACKUP-PASSIVE-20260806-01/,UNKNOWN,Existing managed child/profile lifecycle and rollback capture,CONFIRMED child-only route; shell-visible private KFT transaction route excluded; User-0 relay unknown,Existing managed child/profile lifecycle and rollback capture,"Tahoe can be HOME in child scope; Fire state changes are per-user; switch-back restores User-0 Fire. KFT tx3 writer uses supplied child/profile UserInfo.id, not a formal User-0 HOME setter.",CONFIRMED child-only route; shell-visible private KFT transaction route excluded; User-0 relay unknown,CONFIRMED child-only route; shell-visible private KFT transaction route excluded; User-0 relay unknown,ee497e02dd5faae4d2bfcde4174d470e449077cab8d4329aea1973ed38a609ab; d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6,,"Read existing users/package/HOME captures or host-side tx3 caller map; no user lifecycle, switch, or Binder transaction.",existing lifecycle only; not repeated
existing-runtime-evidence,RI-003,DPM/Profile Owner,6DI; QF-C-03; adb/phase6di/PHASE6DI-DPM-CALLBACK-READONLY-20260806-01/; adb/phase6di/PHASE6DI-KFT-DPM-BACKUP-PASSIVE-20260806-01/; findings/phase-6cq-dpm-persistent-preferred-boundary.md,adb/phase6di/PHASE6DI-DPM-CALLBACK-READONLY-20260806-01/; adb/phase6di/PHASE6DI-KFT-DPM-BACKUP-PASSIVE-20260806-01/; findings/phase-6cq-dpm-persistent-preferred-boundary.md,UNKNOWN,Saved device-policy/profile and passive backup observations,EXCLUDED as ordinary route; legitimate Profile Owner/native callback remains unverified,Saved device-policy/profile and passive backup observations,DPM tx100 to PMS tx73 is owner/admin/UID gated; passive backup evidence has no active restore writer; no accepted ordinary-caller relay to User-0 HOME was observed.,EXCLUDED as ordinary route; legitimate Profile Owner/native callback remains unverified,EXCLUDED as ordinary route; legitimate Profile Owner/native callback remains unverified,c3e861f58b37d57293448319a8131936fb4b57e7573df1b8a11630475c149782,,"Compare saved dumpsys device_policy, owner metadata, and static caller graph; do not provision/remove owner or send tx100/tx73.",existing evidence only; not repeated
