surface_family,source_csv,source_sha256,surface,source_config,shipped_object_module,dt_init,node_mode_label,caller,effect,anchors,input_hashes,confidence,verdict,evidence_id,artifact_or_hash,source_symbol_anchor,gate_or_identity,sink_or_effect,status,remaining_unknown,id,evidence_type,path,line_or_offset,observation,static_anomaly,reachability_status,sha256,edge,source_presence,registration,handle_visibility,method_gate,effect_or_sink,missing_edge,input_refs,csv_parse_note
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,init/system-server wiring,,,,,,6UO-16,fosinit sha256=derived artifact hash 37012a90b7822304a080c736f12684fdf5d58a2bc6ca92e80536d37c3a882f58,artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/fireossystemota_fosinit.xml:6-12,VendorRecoverySystemCallback registration,FireOSSystemOTACallback registration,VERIFIED-CONFIG,"Callback body, SELinux allow rules and final recovery exec absent",,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,system_server only,,,,,,6UO-17,system-server derived call-edges; input sha256=1136d4815ae63011522fead17ef743bc0daa57334ae6ebb3b4c05c1d09507c52,AmazonPackageManagerService.onBootPhase phase 550; PMS.isUpgrade(); BootAfterSystemOTAReceiver,protected BOOT_AFTER_SYSTEM_OTA plus OOBE/demo/preferences predicates,enable OobeHomeActivity; write user_setup_complete=0/isOOBEActive=1,VERIFIED-LIFECYCLE,Exact numeric user and arbitrary caller authorization unknown,,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,none,,,,,,6UO-18,saved host-only audit boundary,artifacts/phase6i summary and prior phase reports: device_contacted=false; updater_executed=false; recovery_executed=false; partition_written=false,safety exclusions,no runtime or mutation effect,REJECTED-BY-SCOPE,Do not execute updater/recovery or construct malformed/symlink input,,,,,,,,,,,,,,,,,
6UP ASP/prewarm closure,work/luna_worker_phase6up_asp_prewarm_closure_20260810.csv,0f33c86e23ce6c92f5e79c1adef2135736ef90de9a17cd7f4a0dab5192c39c1b,ASP,,,,,,,,,,,,,,,,,,6UP-ASP-001,implementation,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,82014-82030 / 0x5ca9a-0x5caca,tablet branch checks ASP_PERMISSION; non-tablet returns true,static cross-build policy anomaly,current tablet shell bypass closed,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,
6UP ASP/prewarm closure,work/luna_worker_phase6up_asp_prewarm_closure_20260810.csv,0f33c86e23ce6c92f5e79c1adef2135736ef90de9a17cd7f4a0dab5192c39c1b,ASP,,,,,,,,,,,,,,,,,,6UP-ASP-002,denial-before-native,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,82063-82070 / 0x5cba2-0x5cbb4,command guard returns -EACCES before nativeCommand when denied,no,closed by static ordering and saved denied result,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,
6UP ASP/prewarm closure,work/luna_worker_phase6up_asp_prewarm_closure_20260810.csv,0f33c86e23ce6c92f5e79c1adef2135736ef90de9a17cd7f4a0dab5192c39c1b,ASP,,,,,,,,,,,,,,,,,,6UP-ASP-003,publication,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,82737-82746 / 0x5d3c2-0x5d3ea,publishes audiosignalprocessor and initializes native ASP callbacks,publication is real; no bypass shown,shell service handle found in saved capture but transaction denied,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,
6UP ASP/prewarm closure,work/luna_worker_phase6up_asp_prewarm_closure_20260810.csv,0f33c86e23ce6c92f5e79c1adef2135736ef90de9a17cd7f4a0dab5192c39c1b,ASP,,,,,,,,,,,,,,,,,,6UP-ASP-004,runtime-capture,adb/phase6bv/PHASE6BV-ASP-RO-20260805-01/probe.txt,stored output,UID 2000 shell; service found; transaction result -13,no,closed for supplied KFTRWI shell capture,2291924584cfcdb4b6be673859118212765d7cb612df7142dc2d9a5364bc9138,,,,,,,,,
6UP ASP/prewarm closure,work/luna_worker_phase6up_asp_prewarm_closure_20260810.csv,0f33c86e23ce6c92f5e79c1adef2135736ef90de9a17cd7f4a0dab5192c39c1b,ASP,,,,,,,,,,,,,,,,,,6UP-ASP-005,runtime-log,adb/phase6bv/PHASE6BV-ASP-RO-20260805-01/logcat_asp.txt,stored output,saved permission-denial log; no evidence of native execution,no,closed for supplied capture,de8add982327d2be69822d360b95d6ae8d2c3fd50f5afad59801433382518285,,,,,,,,,
6UP ASP/prewarm closure,work/luna_worker_phase6up_asp_prewarm_closure_20260810.csv,0f33c86e23ce6c92f5e79c1adef2135736ef90de9a17cd7f4a0dab5192c39c1b,prewarm,,,,,,,,,,,,,,,,,,6UP-PW-001,implementation,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,40453-40474 / 0x36f0c-0x36f5c,APP_PREWARM check result is not visibly consumed before clearCallingIdentity,static authorization anomaly candidate,ordinary-app reachability not established,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,
6UP ASP/prewarm closure,work/luna_worker_phase6up_asp_prewarm_closure_20260810.csv,0f33c86e23ce6c92f5e79c1adef2135736ef90de9a17cd7f4a0dab5192c39c1b,prewarm,,,,,,,,,,,,,,,,,,6UP-PW-002,process-sink,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,40480-40503 / 0x36f72-0x36fc8,package/user lookup reaches startProcessLocked with reason prewarm,process/resource deputy candidate; no HOME writer,not reached by saved shell call,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,
6UP ASP/prewarm closure,work/luna_worker_phase6up_asp_prewarm_closure_20260810.csv,0f33c86e23ce6c92f5e79c1adef2135736ef90de9a17cd7f4a0dab5192c39c1b,prewarm,,,,,,,,,,,,,,,,,,6UP-PW-003,publication,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,41077-41084 / 0x3782c-0x3784c,BinderService constructed and published via service name,publication is real,shell lookup denied in saved capture,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,
6UP ASP/prewarm closure,work/luna_worker_phase6up_asp_prewarm_closure_20260810.csv,0f33c86e23ce6c92f5e79c1adef2135736ef90de9a17cd7f4a0dab5192c39c1b,prewarm,,,,,,,,,,,,,,,,,,6UP-PW-004,registration,artifacts/amazon-services/amazonactivitymanager_fosinit.xml,9-24,vendor service registration and activity manager vendor manager metadata,no,registration does not imply shell reachability,5d212c94f047aee7abc85ef6dc99aa92ca61e3e3d9318bb69db3c10d9e0da411,,,,,,,,,
6UP ASP/prewarm closure,work/luna_worker_phase6up_asp_prewarm_closure_20260810.csv,0f33c86e23ce6c92f5e79c1adef2135736ef90de9a17cd7f4a0dab5192c39c1b,prewarm,,,,,,,,,,,,,,,,,,6UP-PW-005,binder-contract,decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,394721-394739 / 0x6454-0x648c,Proxy transaction 1 writes package and two ints; Stub block 394892-395074 enforces token and dispatches,no separate Stub caller gate visible,shell cannot reach Stub in saved capture,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,,,,,,,,,
6UP ASP/prewarm closure,work/luna_worker_phase6up_asp_prewarm_closure_20260810.csv,0f33c86e23ce6c92f5e79c1adef2135736ef90de9a17cd7f4a0dab5192c39c1b,prewarm,,,,,,,,,,,,,,,,,,6UP-PW-006,known-caller,artifacts/phase6x/prewarm-authorization-20260805-01/prewarm-authorization-evidence.csv,6X-PW-006-009,known caller is privileged Alexa-side code with APP_PREWARM request; ordinary sideloaded caller not established,supports privileged-contract interpretation,ordinary-app caller not established,c47219d139ccf30511c8b4dcc89df8ff2729748e4598b96ae22973d5d23d7e50,,,,,,,,,
6UP ASP/prewarm closure,work/luna_worker_phase6up_asp_prewarm_closure_20260810.csv,0f33c86e23ce6c92f5e79c1adef2135736ef90de9a17cd7f4a0dab5192c39c1b,prewarm,,,,,,,,,,,,,,,,,,6UP-PW-007,runtime-capture,adb/phase6em/PHASE6EM-AM-ACTIVITY-PREWARM-READONLY-20260806-01/result.json,stored JSON,service not shell-reachable; no dispatch; HOME/users/package/PID unchanged,no,closed for supplied shell capture,ea7416350d64348612906d609efe1bd44847ab653c4948dc20cc7688c5d9b8df,,,,,,,,,
6UP ASP/prewarm closure,work/luna_worker_phase6up_asp_prewarm_closure_20260810.csv,0f33c86e23ce6c92f5e79c1adef2135736ef90de9a17cd7f4a0dab5192c39c1b,prewarm,,,,,,,,,,,,,,,,,,6UP-PW-008,runtime-denial,adb/phase6em/PHASE6EM-AM-ACTIVITY-PREWARM-READONLY-20260806-01/service_check.stdout.txt + transaction_1_prewarm_firelauncher_user0.stderr.txt,stored output,Service amazonactivitymanager: not found; service does not exist,no,closed before Binder dispatch,fb64966bad778f1a3ebd748027b77455f07dfbddaf3ceac69995e3be7e6f5c31,,,,,,,,,
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,high,,,,,,,,,,,,,,,,,amazonactivitymanager/IAmazonActivityManager,yes,class+contract+fosinit,listed_private_shell_find_denied,permission/shell/exception markers,no formal package/HOME writer,method-to-sink closure for all callbacks,service-surface.csv;contract-methods.csv;fosinit-edges.csv;service-list.txt,
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,high,,,,,,,,,,,,,,,,,amazonwindowmanager/IAmazonWindowManager,yes,class+contract+fosinit,listed_private_shell_find_denied,permission markers,window/lock/PIP only; no HOME writer shown,method-to-sink closure for all callbacks,service-surface.csv;contract-methods.csv;fosinit-edges.csv;service-list.txt,
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,high,,,,,,,,,,,,,,,,,amazonpackagemanager/IAmazonPackageManager,yes,class+contract+fosinit,listed_private_shell_find_denied,Amazon permission; OTA phase 550+PMS.isUpgrade,no ordinary shell package writer,complete callback sender/effect join,service-surface.csv;contract-methods.csv;fosinit-edges.csv;service-list.txt,
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,high,,,,,,,,,,,,,,,,,amazonusermanagerservice/IAmazonUserManager,yes,class+contract+fosinit,listed_private_shell_find_denied,interface+trusted KFT lifecycle,child-user launcher state only in known path; no User-0 shell route,auxiliary user-service closure,service-surface.csv;contract-methods.csv;fosinit-edges.csv;service-list.txt,
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,high,,,,,,,,,,,,,,,,,amazonprofileservice,yes,class+fosinit,listed_private_shell_find_denied,PROFILE_INTERACTION on initiateLauncher,profile lifecycle; no resolver writer,consumer and all method gate join,service-surface.csv;fosinit-edges.csv;service-list.txt,
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,high,,,,,,,,,,,,,,,,,amazon_input+amazon_keyevent,yes,classes+fosinit,listed_private_shell_find_denied,system/signature/Amazon input permissions,input filtering/observation; no sink shown,callback consumer closure,service-surface.csv;fosinit-edges.csv;service-list.txt,
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,high,,,,,,,,,,,,,,,,,fosdebug,yes,class+core_fosinit,listed_handle_saved,DUMP,diagnostic/read-only,none for inspected surface,service-surface.csv;service-list.txt,
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,high,,,,,,,,,,,,,,,,,AppCompatActivityStackSupervisorCallback,yes,class+fosinit+callback table,local callback,framework callback context,resolveIntent then uninstalled filter; no direct HOME override,none for observed callback,vendor-home-callbacks.csv;fosinit-edges.csv,
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,high,,,,,,,,,,,,,,,,,EveActivityStackSupervisorCallback,yes,class+fosinit+callback table,local callback,no concrete override,inherited null; no sink,none for observed callback,vendor-home-callbacks.csv;fosinit-edges.csv,
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,medium,,,,,,,,,,,,,,,,,amazonservicespolicy_fosinit,partial,registered XML,not a public handle,callback-local gates unjoined,policy/package/component effects unknown,join every callback to source and sink,extraction-manifest.tsv;fosinit-edges.csv,
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,medium,,,,,,,,,,,,,,,,,core_fosinit,partial,registered XML,system-server callback/boot path,boot-phase/caller gates unjoined,possible package/component/OTA fan-out unknown,split callback closure by sink,extraction-manifest.tsv;fosinit-edges.csv,
6UQ fosinit completeness,work/luna_worker_phase6uq_fosinit_completeness_20260810.csv,41a7dd25af6dca212867c7ccf7203d0257bacf406697a7cb8b4bc85deb7a1b04,,,,,,,,,,medium,,,,,,,,,,,,,,,,,tabletkeypolicymanager+launcherhijackpreventer,yes,registered XMLs,local callback,canSeeHomeTask/signature or SELinux markers,HOME-adjacent observation/routing; persistent HOME write not shown,prove or exclude resolver/PMS writer,service-surface.csv;fosinit-edges.csv;vendor-home-callbacks.csv,
