surface_family,source_csv,source_sha256,id,source/hash/path,method/line,caller,gate,user scope,sink,reachability,classification,next safe step,caller_identity,shipped_elf_or_process,uid_domain,node_path,policy_edge,evidence_offset_method,safe_next_step,area,evidence_or_issue,public_commit_check,citation_fix,next_minimal_host_action
6TK ION provenance,work/luna_worker_phase6tk_ion_process_provenance_20260810.csv,48ebff7fafc83355210ddfa745e989d74786e518cf23b4aa4a1fe93daff9b33f,ION-P04,,,,,,import/map/share/free,,POSITIVE_ELF_LIBRARY_CALLER; UNKNOWN_TOP_LEVEL_PROCESS,,hwcomposer.mt8183.so,/vendor/lib64/lib64/hw/hwcomposer.mt8183.so,composer HAL unknown,/dev/ion,hal_graphics_composer allow,DT_NEEDED; rela.plt 0xafe80-0xafea8; IONDevice 0xae010; nm-D,prove implementation load,,,,,
6TK ION provenance,work/luna_worker_phase6tk_ion_process_provenance_20260810.csv,48ebff7fafc83355210ddfa745e989d74786e518cf23b4aa4a1fe93daff9b33f,ION-P05,,,,,,share/import/custom/free,,POSITIVE_ELF_LIBRARY_CALLER; UNKNOWN_TOP_LEVEL_PROCESS,,lib_uree_mtk_modular_drm.so,/vendor/lib64/lib64/lib_uree_mtk_modular_drm.so,owning process unknown,/dev/ion,DRM/media edge not joined,DT_NEEDED; rela.plt 0x1ffa0 0x1ffc0 0x1ffc8 0x1ffd0; nm-D,prove owning process/load path,,,,,
6TK ION provenance,work/luna_worker_phase6tk_ion_process_provenance_20260810.csv,48ebff7fafc83355210ddfa745e989d74786e518cf23b4aa4a1fe93daff9b33f,ION-P06,,,,,,ION via libion,,UNKNOWN_PROCESS_PROVENANCE,,libstagefright.so,/system/lib64/lib64/libstagefright.so,mediaserver edge incomplete,/dev/ion,mediaserver allow,DT_NEEDED libion; strings /dev/ion; mediaserver only needs libmediaplayerservice,close transitive loader path host-only,,,,,
6TK ION provenance,work/luna_worker_phase6tk_ion_process_provenance_20260810.csv,48ebff7fafc83355210ddfa745e989d74786e518cf23b4aa4a1fe93daff9b33f,ION-P07,,,,,,downstream effect unknown,,UNKNOWN_PROCESS_LEVEL_CHAIN,,service candidates,camerahalserver allocator composer mediacodec cameraserver mediaserver mediaextractor surfaceflinger,UID/domain from init+file_contexts,/dev/ion,matching ion_device allows,init rc + file_contexts + CIL exact lines,no device/Binder/root/reboot/mutation,,,,,
6TK ION provenance,work/luna_worker_phase6tk_ion_process_provenance_20260810.csv,48ebff7fafc83355210ddfa745e989d74786e518cf23b4aa4a1fe93daff9b33f,INPUT,,,,,,all selected file SHA-256 in analysis,,retain provenance,,selected input manifest,Phase5 static + native inventory + Phase9 audit/ELFs + policy/init + Phase6TH,NA,NA,NA,INPUT_MANIFEST,,,,,,
6TL evidence QA,work/luna_worker_phase6tl_evidence_qa_20260810.csv,6a65cb9694d517770e2761f70e7f8faef8df24aefb81d0c9520eee42da50353b,QA-01,,,,,,,,CONSISTENT,,,,,,,,,TE-TH input manifest,10 input files listed by output/tables/phase6te-th-input-manifest.sha256,All 10 SHA-256 recompute equal at 56ac917a,Keep manifest as canonical input anchor,No action beyond reuse
6TL evidence QA,work/luna_worker_phase6tl_evidence_qa_20260810.csv,6a65cb9694d517770e2761f70e7f8faef8df24aefb81d0c9520eee42da50353b,QA-02,,,,,,,,BOUNDED,,,,,,,,,TI redacted snapshot,findings/phase-6ti-readonly-snapshot.md and output/tables/phase6ti-readonly-state.csv,Both files present and hashes match; raw adb/phase6ti directory absent from commit,Cite redacted summary/table; label raw path local-only,Add public/local provenance label in citation map
6TL evidence QA,work/luna_worker_phase6tl_evidence_qa_20260810.csv,6a65cb9694d517770e2761f70e7f8faef8df24aefb81d0c9520eee42da50353b,QA-03,,,,,,,,CITATION_MISSING,,,,,,,,,TG-01 OTA provenance,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin,Path absent from 56ac917a tree,Mark local-only or replace with committed OTA manifest/source-map,Host-only path existence and manifest join
6TL evidence QA,work/luna_worker_phase6tl_evidence_qa_20260810.csv,6a65cb9694d517770e2761f70e7f8faef8df24aefb81d0c9520eee42da50353b,QA-04,,,,,,,,CLASSIFICATION_BOUNDED,,,,,,,,,TG-02 OTA member listing,members.json exists; path field says firmware/extracted/PS7331/,members.json/hash present; extracted directory is not a committed raw tree,Describe extracted path as derived/local output,No runtime action; update citation map
6TL evidence QA,work/luna_worker_phase6tl_evidence_qa_20260810.csv,6a65cb9694d517770e2761f70e7f8faef8df24aefb81d0c9520eee42da50353b,QA-05,,,,,,,,CITATION_MISSING,,,,,,,,,TG-03 updater-script,firmware/extracted/PS7331/META-INF/com/google/android/updater-script,Path absent from 56ac917a tree,Use committed PS7331 OTA metadata/updater-script.txt if equivalent; otherwise local-only,Host-only exact member-to-manifest mapping
6TL evidence QA,work/luna_worker_phase6tl_evidence_qa_20260810.csv,6a65cb9694d517770e2761f70e7f8faef8df24aefb81d0c9520eee42da50353b,QA-06,,,,,,,,CITATION_MISSING,,,,,,,,,TG-04 update-binary,META-INF/com/google/android/update-binary,Unqualified path and binary absent from commit tree,Retain capability claim only with committed hash manifest or mark local-only,Host-only locate canonical committed artifact reference
6TL evidence QA,work/luna_worker_phase6tl_evidence_qa_20260810.csv,6a65cb9694d517770e2761f70e7f8faef8df24aefb81d0c9520eee42da50353b,QA-07,,,,,,,,CITATION_PATH_HASH_MISMATCH,,,,,,,,,TG-05 dispatch,CSV/report use phase6mk-updater-dispatch-20260810-01 and hash 443c...,Public artifact is phase6mk-updater-dispatch-20260810-04; registration-dispatch hash is d88e35...,Change path to -04 and hash to d88e35...,Edit only future citation map/report source
6TL evidence QA,work/luna_worker_phase6tl_evidence_qa_20260810.csv,6a65cb9694d517770e2761f70e7f8faef8df24aefb81d0c9520eee42da50353b,QA-08,,,,,,,,CITATION_HASH_MISMATCH,,,,,,,,,TG-06 cache flow,selected-functions source is paired with summary hash 1cb21f...,1cb21f... hashes summary.json; selected-functions.csv hashes 113caf...,Record source and summary hashes separately,Host-only recompute all three artifact hashes
6TL evidence QA,work/luna_worker_phase6tl_evidence_qa_20260810.csv,6a65cb9694d517770e2761f70e7f8faef8df24aefb81d0c9520eee42da50353b,QA-09,,,,,,,,CONSISTENT,,,,,,,,,TG-07 verifier provenance,findings/phase-6kt-recovery-verifier-provenance.md,Path and 484273... hash are present and match,Keep as privileged handoff with native endpoint incomplete,No action
6TL evidence QA,work/luna_worker_phase6tl_evidence_qa_20260810.csv,6a65cb9694d517770e2761f70e7f8faef8df24aefb81d0c9520eee42da50353b,QA-10,,,,,,,,CLASSIFICATION_OK,,,,,,,,,TG-10 OOBE,guarded system-server caller plus OOBE capability,Report separates guarded privileged caller from ordinary caller,Keep wording; do not call action string authentication,No action
6TL evidence QA,work/luna_worker_phase6tl_evidence_qa_20260810.csv,6a65cb9694d517770e2761f70e7f8faef8df24aefb81d0c9520eee42da50353b,QA-11,,,,,,,,CLASSIFICATION_OK,,,,,,,,,TH native residual,ION library-only positive and other residuals,Rows preserve library capability vs process caller and shipped-node gaps,Keep POSITIVE_LIBRARY_ONLY/UNKNOWN_RESIDUAL labels,No device-node or ioctl validation
6TL evidence QA,work/luna_worker_phase6tl_evidence_qa_20260810.csv,6a65cb9694d517770e2761f70e7f8faef8df24aefb81d0c9520eee42da50353b,QA-12,,,,,,,,CONSISTENT,,,,,,,,,TG-14 Amazon diagnostic source,phase6nb-amzn-drv-test-source.csv,Path is present; source capability is not promoted to shipped caller,Keep capability-only wording and config/node/SELinux gaps,Host-only manifest join if needed
6TL evidence QA,work/luna_worker_phase6tl_evidence_qa_20260810.csv,6a65cb9694d517770e2761f70e7f8faef8df24aefb81d0c9520eee42da50353b,QA-13,,,,,,,,SAFE_UNINTEGRATED_HIGH_VALUE,,,,,,,,,TF H2 chain,H2ClientService add/remove/profile/order static chain,Exact source lines present; external bind gate/client remains UNKNOWN,"Cite as internal production edge, not external caller/reachability",Recover exact manifest/client references only
6TL evidence QA,work/luna_worker_phase6tl_evidence_qa_20260810.csv,6a65cb9694d517770e2761f70e7f8faef8df24aefb81d0c9520eee42da50353b,QA-14,,,,,,,,SEMANTIC_LABEL_RISK,,,,,,,,,TF caller column,production_caller=YES with external_reachability=UNKNOWN,Internal edge is positive; external caller explicitly unknown,Rename future field to internal_production_edge,Host-only schema/citation-map normalization
6TL evidence QA,work/luna_worker_phase6tl_evidence_qa_20260810.csv,6a65cb9694d517770e2761f70e7f8faef8df24aefb81d0c9520eee42da50353b,QA-15,,,,,,,,CONSISTENT,,,,,,,,,safety boundary,"No device, OTA/recovery/sideload/flash/reboot/Binder/driver/root/exploit",TE-TI and TG/TH preserve non-execution boundary,"Keep as procedure boundary, not negative reachability result",No action
