surface_family,source_csv,source_sha256,scope,path,sha256,line,class,permission,owner,owner_uid,package,uid,signing_digest,requested_permission,grant_or_policy,client_status,classification,next_safe_step,id,artifact_or_source_path,symbol_line_offset,channel_or_node,source_registration,exact_config_image_manifest,file_context_selinux_init_uevent,shipped_status,caller_effect,min_safe_followup,caller,gate,identity_user,sink,evidence_path,evidence_sha256,class_method_offset,provenance_note
6TW H2 owner/grant,work/luna_worker_phase6tw_h2_owner_grant_20260810.csv,44187e7f8a4325a19a5802894de6b21ab2e228b01d1b60b9ccf55ad4d35e53fb,exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,17940,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.parentalcontrols,10058,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call,,,,,,,,,,,,,,,,,,,
6TW H2 owner/grant,work/luna_worker_phase6tw_h2_owner_grant_20260810.csv,44187e7f8a4325a19a5802894de6b21ab2e228b01d1b60b9ccf55ad4d35e53fb,exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,18450,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.avod,10106,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call,,,,,,,,,,,,,,,,,,,
6TW H2 owner/grant,work/luna_worker_phase6tw_h2_owner_grant_20260810.csv,44187e7f8a4325a19a5802894de6b21ab2e228b01d1b60b9ccf55ad4d35e53fb,exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,19476,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.kindle,10052,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call,,,,,,,,,,,,,,,,,,,
6TW H2 owner/grant,work/luna_worker_phase6tw_h2_owner_grant_20260810.csv,44187e7f8a4325a19a5802894de6b21ab2e228b01d1b60b9ccf55ad4d35e53fb,exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,21051,PackageManager service-resolution record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.alta.h2clientservice,10012,e627f73a,UNKNOWN,service H2ClientService references exact custom permission,service gate POSITIVE; external client UNKNOWN,retain static-only client UNKNOWN; no invocation,,,,,,,,,,,,,,,,,,,
6TW H2 owner/grant,work/luna_worker_phase6tw_h2_owner_grant_20260810.csv,44187e7f8a4325a19a5802894de6b21ab2e228b01d1b60b9ccf55ad4d35e53fb,bounded policy search,artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/permissions/privapp_permissions.xml; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/permissions/privapp-permissions-platform.xml; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/sysconfig/framework-sysconfig.xml,643cf114ed7d7b82a642fea650ed7d2f53b5dab2291e4f043c272cbe577df732; 0b30c1624ffdab6c5454746737a060157276da5d2bd43addc74cd3919ae4aad1; bd6e7c52f1c036be4a770bd3be06d0c3a237d05f97921f47c2f652de59ca8fc3,bounded search,XML policy files,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,UNKNOWN,UNKNOWN,,,,UNKNOWN,no matching custom entry in bounded privapp/sysconfig set; H2 block has platform grants only,POLICY_UNKNOWN_NOT_PLATFORM_HOLDER,obtain additional exact-build policy XML if available,,,,,,,,,,,,,,,,,,,
6TW H2 owner/grant,work/luna_worker_phase6tw_h2_owner_grant_20260810.csv,44187e7f8a4325a19a5802894de6b21ab2e228b01d1b60b9ccf55ad4d35e53fb,host-only static client scan,artifacts/phase6it-missing-system-apps-20260807-01-files/jadx/sources/com/amazon/alta/h2shared/aidl/IH2ClientService.java; artifacts/phase6it-missing-system-apps-20260807-01-files/jadx/sources/com/amazon/alta/h2clientservice/H2ClientService.java,3c3c46e60bc6d63be9c7074fa148767e41b51b734d84ceb920719b352ce7cb4b; f30c3b42ce45c1e7ef717b2deb5b0402dbc01fc70cb5a86480d8b4a54e7fa9,4-710; 104-267,AIDL contract and service implementation,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,UNKNOWN,UNKNOWN,,,,UNKNOWN,no additional production implementation/bind caller found in bounded JADX corpus,CLIENT_PACKAGE_UNKNOWN_BOUNDED_NEGATIVE,inspect more preserved exact-build source/APK manifests only,,,,,,,,,,,,,,,,,,,
6TX amzn_drv_test closure,work/luna_worker_phase6tx_amzn_drv_test_closure_20260810.csv,6c48832be2d2e7553787edb1539e4760f8f0b79c769d76571528c6b4ca091649,LOCAL_ONLY,,69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd,,,,,,,,,,,,LOCAL_ONLY,,TX-001,firmware/extracted/PS7331-SOURCE-20250617/platform.tar,member archive,source container,amzn_drv_test.c member present,not applicable,not applicable,LOCAL_ONLY,not inferred,none; retain host-only boundary,,,,,,,,
6TX amzn_drv_test closure,work/luna_worker_phase6tx_amzn_drv_test_closure_20260810.csv,6c48832be2d2e7553787edb1539e4760f8f0b79c769d76571528c6b4ca091649,LOCAL_ONLY,,70ccd0fca0c20f90c867efe7e1d69167aa1e99954f277e56ee0b83d57b61da89,,,,,,,,,,,,LOCAL_ONLY,,TX-002,device/amazon/kernel/driver/Kconfig,65-70,CONFIG_AMZN_DRV_TEST,tristate option; deps AMZN_METRICS_LOG && AMZN_SIGN_OF_LIFE && AMZN_IDME,final selection is separate evidence,not established,LOCAL_ONLY,not inferred,compare only exact generated config,,,,,,,,
6TX amzn_drv_test closure,work/luna_worker_phase6tx_amzn_drv_test_closure_20260810.csv,6c48832be2d2e7553787edb1539e4760f8f0b79c769d76571528c6b4ca091649,LOCAL_ONLY,,0f50ca76a8028be56db580f288aa81e231b0c9892b5517f4c5e0984c13fb861b,,,,,,,,,,,,LOCAL_ONLY,,TX-003,device/amazon/kernel/driver/Makefile,28,amzn_drv_test.o,obj-$(CONFIG_AMZN_DRV_TEST) += amzn_drv_test.o,no final object proof,not established,LOCAL_ONLY,not inferred,no compile/load,,,,,,,,
6TX amzn_drv_test closure,work/luna_worker_phase6tx_amzn_drv_test_closure_20260810.csv,6c48832be2d2e7553787edb1539e4760f8f0b79c769d76571528c6b4ca091649,ABSENT,,09ca8dfc3b3b5e139482e3dd9976dae79547077fb750a4cbc778814f85ecaaac,,,,,,,,,,,,ABSENT,,TX-004,kernel/mediatek/mt8183/4.4/arch/arm64/configs/trona_defconfig,selected defconfig,CONFIG_AMZN_DRV_TEST,dependency options enabled; test option NOT_FOUND,no exact final config claim,not established,ABSENT in named defconfig,not inferred,none,,,,,,,,
6TX amzn_drv_test closure,work/luna_worker_phase6tx_amzn_drv_test_closure_20260810.csv,6c48832be2d2e7553787edb1539e4760f8f0b79c769d76571528c6b4ca091649,ABSENT,,eefb8db484f65e196a7bb401ae0165f434f08b13041aef6762917e284d013d04,,,,,,,,,,,,ABSENT,,TX-005,artifacts/phase5/ps7331-ikconfig-20260804-01/kernel.config,250;3584,CONFIG_MODULES / CONFIG_AMZN_DRV_TEST,not source registration,# CONFIG_AMZN_DRV_TEST is not set; CONFIG_MODULES=y,no exact object shipped evidence,ABSENT in final config,not inferred,none; do not infer module from CONFIG_MODULES,,,,,,,,
6TX amzn_drv_test closure,work/luna_worker_phase6tx_amzn_drv_test_closure_20260810.csv,6c48832be2d2e7553787edb1539e4760f8f0b79c769d76571528c6b4ca091649,UNKNOWN,,10638df8d43c83e0799bfe071ef29a8069ad909b320536cff6b58ee5e1efea7d,,,,,,,,,,,,UNKNOWN,,TX-006,firmware/extracted/PS7331/boot_unpacked/Image,raw-byte marker scan,built-in kernel Image,source marker comparison only,unique driver markers zero; generic idme/logger/sign_of_life excluded,no file-context or load path,UNKNOWN for external modules; strong negative built-in,not inferred,obtain new exact symbol/object provenance only,,,,,,,,
6TX amzn_drv_test closure,work/luna_worker_phase6tx_amzn_drv_test_closure_20260810.csv,6c48832be2d2e7553787edb1539e4760f8f0b79c769d76571528c6b4ca091649,UNKNOWN,,cf12e5619d635ecf7927784a4ed15a254a96c1642d1db9e4ca6734b192d6fa1b,,,,,,,,,,,,UNKNOWN,,TX-007,firmware/extracted/PS7331/boot.img,boot payload,official PS7331 boot input,not applicable,Image extracted and hashed; no driver-specific marker,not established,UNKNOWN,not inferred,none,,,,,,,,
6TX amzn_drv_test closure,work/luna_worker_phase6tx_amzn_drv_test_closure_20260810.csv,6c48832be2d2e7553787edb1539e4760f8f0b79c769d76571528c6b4ca091649,ABSENT,,b098f85287a729d03cfac1ac6f767a3ba6a15ce8c65d7f9e581cbbed75448a74,,,,,,,,,,,,ABSENT,,TX-008,firmware/extracted/PS7331/selected/extraction-manifest.tsv,manifest corpus,amzn_drv_test module payload,not applicable,no matching amzn_drv_test/.ko/modules.dep/modules.load in audited selected corpus,no matching init/uevent declaration,ABSENT in audited corpus,not inferred,none,,,,,,,,
6TX amzn_drv_test closure,work/luna_worker_phase6tx_amzn_drv_test_closure_20260810.csv,6c48832be2d2e7553787edb1539e4760f8f0b79c769d76571528c6b4ca091649,ABSENT,,7da7040b4c7454084d8c30452edc05d4c68ce3813fe20700d4016036e4097716,,,,,,,,,,,,ABSENT,,TX-009,firmware/extracted/PS7331/compiled-02/extraction-manifest.tsv,manifest corpus,amzn_drv_test module payload,not applicable,no matching amzn_drv_test/.ko/modules.dep/modules.load in audited compiled corpus,no matching init/uevent declaration,ABSENT in audited corpus,not inferred,none,,,,,,,,
6TX amzn_drv_test closure,work/luna_worker_phase6tx_amzn_drv_test_closure_20260810.csv,6c48832be2d2e7553787edb1539e4760f8f0b79c769d76571528c6b4ca091649,LOCAL_ONLY,,6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e,,,,,,,,,,,,LOCAL_ONLY,,TX-010,device/amazon/kernel/driver/amzn_drv_test.c,32-35;784-841,/proc/amzn_drvs/sign_of_life;/idme;/logger,proc_mkdir and proc_create_data; shared .write=proc_write,config/image do not establish runtime nodes,no exact file_context/SELinux/init/uevent closure,LOCAL_ONLY; runtime UNKNOWN,caller/effect UNKNOWN,never write/open proc,,,,,,,,
6TX amzn_drv_test closure,work/luna_worker_phase6tx_amzn_drv_test_closure_20260810.csv,6c48832be2d2e7553787edb1539e4760f8f0b79c769d76571528c6b4ca091649,LOCAL_ONLY,,6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e,,,,,,,,,,,,LOCAL_ONLY,,TX-011,device/amazon/kernel/driver/amzn_drv_test.c,811;825;840,source mode S_IRUGO|S_IWUSR (0644),source requests mode only; no owner/group set,effective runtime mode UNKNOWN,no exact label/policy join,LOCAL_ONLY,caller UNKNOWN,metadata only,,,,,,,,
6TX amzn_drv_test closure,work/luna_worker_phase6tx_amzn_drv_test_closure_20260810.csv,6c48832be2d2e7553787edb1539e4760f8f0b79c769d76571528c6b4ca091649,UNKNOWN,,1b0033792be0d0697ebf30c09995215cb45365f4d8cf2dbc8ea6c4f0a7338efd,,,,,,,,,,,,UNKNOWN,,TX-012,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/ and ...-05/,policy/file-context corpus,proc_amzn_drvs/amzn_drvs,none,no exact amzn_drvs file-context mapping found,no exact driver-specific allow/init/uevent join,UNKNOWN,caller/effect UNKNOWN,no policy mutation or device probe,,,,,,,,
6TX amzn_drv_test closure,work/luna_worker_phase6tx_amzn_drv_test_closure_20260810.csv,6c48832be2d2e7553787edb1539e4760f8f0b79c769d76571528c6b4ca091649,LOCAL_ONLY,,5c5fa2ed958cbe6019d665c5ee71c74d13c30f272a71f2a6a0f7e157c53b6001,,,,,,,,,,,,LOCAL_ONLY,,TX-013,adb/phase6n/PHASE6N-KERNEL-RO-20260810-01/,read-only capture metadata,other Amazon proc/logger nodes,not amzn_drv_test,confirms only /proc/idme and /dev/metrics;/dev/vitals metadata; no /proc/amzn_drvs proof,no transfer of labels or modes to test proc,LOCAL_ONLY,not inferred,do not extend capture to writes or opens,,,,,,,,
6TX amzn_drv_test closure,work/luna_worker_phase6tx_amzn_drv_test_closure_20260810.csv,6c48832be2d2e7553787edb1539e4760f8f0b79c769d76571528c6b4ca091649,UNKNOWN,,not separately used,,,,,,,,,,,,UNKNOWN,,TX-014,artifacts/phase6nd-amzn-drv-test-image-marker-20260810-01/phase6nd-image-marker-audit.csv,marker rows,unique image markers,source present; amzn_drvs/logger_loop/test names zero,zero unique markers; generic strings excluded,not applicable,UNKNOWN external module status,not inferred,host-side diff only,,,,,,,,
6TY User-0 Fire writer,work/luna_worker_phase6ty_user0_fire_restoration_20260810.csv,92c63e2f2896e6c703ba04868f249f0115441df90ea5491164cbcfe7d24e9fb5,child/profile-scoped,,,,,,,,,,,,,,STRONG_STATIC,,6TY-CHILD-01,,,,,,,,,,AmazonUserManagerService.BinderService -> enableKftLauncher(UserInfo),private AmazonUserManager path; existing lifecycle/MANAGE_USERS/system-user gate evidence; external caller not reconstructed,"UserInfo.id; target is KFT child/profile user, not proven User-0","AmazonPackageManager.setComponentEnabledSetting(com.amazon.tahoe/.launcher.FreeTimeLauncherActivity,1,1,userId)",decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,AmazonUserManagerService$BinderService.enableKftLauncherComponent; codeOff 0x0431e2; invoke offset 0x04320a,Exact Fire-adjacent child launcher state writer; no HOME/preferred sink
6TY User-0 Fire writer,work/luna_worker_phase6ty_user0_fire_restoration_20260810.csv,92c63e2f2896e6c703ba04868f249f0115441df90ea5491164cbcfe7d24e9fb5,child/profile-scoped,,,,,,,,,,,,,,STRONG_STATIC,,6TY-CHILD-02,,,,,,,,,,AmazonUserManagerService.BinderService -> enableKftLauncher(UserInfo),same bounded private-service/lifecycle gate; legitimate tx3 caller remains UNKNOWN,UserInfo.id; child/profile scope,"AmazonPackageManager.setApplicationEnabledSetting(com.amazon.firelauncher,2,0,userId)",decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,AmazonUserManagerService$BinderService.enableKftLauncherComponent; codeOff 0x0431e2; invoke offset 0x043228,Fire package disable is explicitly user-parameterized; not a User-0 restoration writer
6TY User-0 Fire writer,work/luna_worker_phase6ty_user0_fire_restoration_20260810.csv,92c63e2f2896e6c703ba04868f249f0115441df90ea5491164cbcfe7d24e9fb5,child/profile-scoped,,,,,,,,,,,,,,STRONG_STATIC,,6TY-CHILD-03,,,,,,,,,,AmazonUserManagerService.BinderService -> enableKftLauncher(UserInfo),same bounded private-service/lifecycle gate; no external caller proof,UserInfo.id; child/profile scope,"AmazonPackageManager.setApplicationEnabledSetting(com.android.launcher3,2,0,userId)",decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,AmazonUserManagerService$BinderService.enableKftLauncherComponent; codeOff 0x0431e2; invoke offset 0x043242,Companion child launcher package writer; not Fire restoration
6TY User-0 Fire writer,work/luna_worker_phase6ty_user0_fire_restoration_20260810.csv,92c63e2f2896e6c703ba04868f249f0115441df90ea5491164cbcfe7d24e9fb5,fixed-OOBE,,,,,,,,,,,,,,NOT_A_SINK,,6TY-OOBE-01,,,,,,,,,,AppAdapterHandler input/keymapping lifecycle -> goToRegistration(),internal handler; no Binder caller UID/permission in writer slice; fixed device-registration branch,fixed component/default handler user context; no explicit User-0 argument,"PackageManager.setComponentEnabledSetting(com.amazon.tv.oobe/.RegistrationActivity,1,1)",decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,AppAdapterHandler.goToRegistration; codeOff 0x02aaf6; invoke offset 0x02ab0c,OOBE registration component writer only; no Fire/HOME sink
6TY User-0 Fire writer,work/luna_worker_phase6ty_user0_fire_restoration_20260810.csv,92c63e2f2896e6c703ba04868f249f0115441df90ea5491164cbcfe7d24e9fb5,fixed-OOBE,,,,,,,,,,,,,,STRONG_STATIC,,6TY-OOBE-02,,,,,,,,,,Boot-after-system-OTA/OOBE lifecycle -> OOBE activation helper,protected OTA/system-server sender and OOBE predicates; manual delivery/replay excluded,OOBE setup state; exact delivered numeric user not closed,OOBE component/settings activation; no exact Fire restoration setter in bounded fosservices slice,findings/phase-6ab-evidence-index.md,c29b32bf6874b245859357d926773193c15771a6eb254f97edac57541ae5cb90,BootAfterSystemOTAReceiver.java:27-80; fosservices lines 96107-96126,Fixed OOBE writer family retained separately; not evidence of normal User-0 Fire writer
6TY User-0 Fire writer,work/luna_worker_phase6ty_user0_fire_restoration_20260810.csv,92c63e2f2896e6c703ba04868f249f0115441df90ea5491164cbcfe7d24e9fb5,fixed-policy,,,,,,,,,,,,,,NOT_A_SINK,,6TY-POLICY-01,,,,,,,,,,"ProductPolicy local action -> EnableDisableComponentAction.enableDisableComponent(String,boolean)",trusted in-process ProductPolicy action; policy-file/user-list driven; action caller not exposed,supplied action user int v7; exact caller scope not in method slice,"AmazonPackageManager.setComponentEnabledSetting(ComponentName,1/0,1/0,user)",decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,EnableDisableComponentAction.enableDisableComponent; codeOff 0x052642; invokes 0x052688 and 0x0526e8,"Generic policy component setter; no Fire literal, HOME selector, or restoration identity"
6TY User-0 Fire writer,work/luna_worker_phase6ty_user0_fire_restoration_20260810.csv,92c63e2f2896e6c703ba04868f249f0115441df90ea5491164cbcfe7d24e9fb5,fixed-policy,,,,,,,,,,,,,,NOT_A_SINK,,6TY-POLICY-02,,,,,,,,,,"ProductPolicy local action -> EnableDisableComponentAction.enableDisableComponent(String,boolean)",same trusted in-process ProductPolicy gate,supplied action user int v7; exact caller scope not in method slice,"AmazonPackageManager.setApplicationEnabledSetting(package,1/0,1/0,user)",decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,EnableDisableComponentAction.enableDisableComponent; codeOff 0x052642; invokes 0x052698 and 0x0526f4,Generic policy application setter; generic setter is not promoted to Fire writer
