candidate,interface,published_service,proxy_method,descriptor,transaction_code,proxy_line,transaction_line,implementation_method,implementation_range,permission_or_gate,permission_result_consumption,identity_markers,sink_markers,home_markers,package_state_markers,caller_reachability,classification,confidence
device-policy,IAmazonDevicePolicyManager,amazondevicepolicymanager,clearRestrictionForUser,(Landroid/content/ComponentName;Ljava/lang/String;I)V,2,397125,397153,AmazonDevicePolicyManagerService.BinderService.clearRestrictionForUser,46047-46053,permission/helper call present; literal unresolved [setUserRestrictionForUser helper],not-applicable,no caller-identity marker observed,setUserRestriction; ComponentName,none observed,none observed,not established from proxy/publication alone,explicit permission/helper marker; no HOME/package-state writer,Confirmed static
device-policy,IAmazonDevicePolicyManager,amazondevicepolicymanager,getBackedUpPoliciesFile,()[B,3,397169,397184,AmazonDevicePolicyManagerService.BinderService.getBackedUpPoliciesFile,46054-46100,android.permission.MANAGE_USERS; Need to have MANAGE_USERS permission in Manifest [checkPermission],not-applicable,no caller-identity marker observed,JournaledFile,none observed,none observed,not established from proxy/publication alone,explicit permission/helper marker; no HOME/package-state writer,Confirmed static
device-policy,IAmazonDevicePolicyManager,amazondevicepolicymanager,setRestrictionForUser,(Landroid/content/ComponentName;Ljava/lang/String;I)V,1,397209,397236,AmazonDevicePolicyManagerService.BinderService.setRestrictionForUser,46101-46107,permission/helper call present; literal unresolved [setUserRestrictionForUser helper],not-applicable,no caller-identity marker observed,setUserRestriction; ComponentName,none observed,none observed,not established from proxy/publication alone,explicit permission/helper marker; no HOME/package-state writer,Confirmed static
window,IAmazonWindowManager,amazonwindowmanager,getLidState,()I,3,400032,400047,AmazonWindowManagerService.BinderService.getLidState,56081-56100,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,none observed,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
window,IAmazonWindowManager,amazonwindowmanager,isPipActive,()Z,4,400066,400081,AmazonWindowManagerService.BinderService.isPipActive,56101-56108,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,none observed,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
window,IAmazonWindowManager,amazonwindowmanager,lockNow,(Landroid/os/Bundle;)V,1,400104,400127,AmazonWindowManagerService.BinderService.lockNow,56109-56126,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,none observed,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
window,IAmazonWindowManager,amazonwindowmanager,setOverscan,(IIIII)V,2,400143,400167,AmazonWindowManagerService.BinderService.setOverscan,56127-56149,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,none observed,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
window,IAmazonWindowManager,amazonwindowmanager,setPipVisibility,(Z)V,5,400177,400193,AmazonWindowManagerService.BinderService.setPipVisibility,56150-56156,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,setPipVisibility,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
window,IAmazonWindowManager,amazonwindowmanager,stopAppPinningMode,()V,6,400203,400218,AmazonWindowManagerService.BinderService.stopAppPinningMode,56157-56178,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,stopAppPinningMode,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
package,IAmazonPackageManager,amazonpackagemanager,deregisterProxyReceiver,(Landroid/content/Intent;)Z,7,402937,402961,AmazonPackageManagerService.BinderService.deregisterProxyReceiver,95877-95888,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,PackageManager,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
package,IAmazonPackageManager,amazonpackagemanager,getAmazonFlagsForUser,(Ljava/lang/String;I)I,3,402983,403002,AmazonPackageManagerService.BinderService.getAmazonFlagsForUser,95889-95895,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,none observed,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
package,IAmazonPackageManager,amazonpackagemanager,getConfigurationHelper,()Lcom/amazon/android/service/pm/ConfigurationHelper;,11,403021,403036,AmazonPackageManagerService.BinderService.getConfigurationHelper,95896-95928,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,none observed,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
package,IAmazonPackageManager,amazonpackagemanager,isFtvSpecApp,(Ljava/lang/String;)Z,9,403068,403085,AmazonPackageManagerService.BinderService.isFtvSpecApp,95929-95935,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,none observed,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
package,IAmazonPackageManager,amazonpackagemanager,isPreInstalledAppWithFtvSpec,(Ljava/lang/String;)Z,10,403108,403125,AmazonPackageManagerService.BinderService.isPreInstalledAppWithFtvSpec,95936-95942,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,none observed,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
package,IAmazonPackageManager,amazonpackagemanager,registerProxyReceiver,(Landroid/content/Intent;Landroid/app/PendingIntent;)Z,6,403148,403180,AmazonPackageManagerService.BinderService.registerProxyReceiver,95943-95954,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,PackageManager,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
package,IAmazonPackageManager,amazonpackagemanager,removeAmazonFlagsForUser,(Ljava/util/List;II)V,2,403202,403218,AmazonPackageManagerService.BinderService.removeAmazonFlagsForUser,95955-95972,amazon.permission.ADD_RM_PKG_METADATA; Permission denied to remove amazon flags. [checkCallingOrSelfPermission],consumed,no caller-identity marker observed,PackageManager; removeAmazonFlagsForUser,none observed,removeAmazonFlagsForUser,not established from proxy/publication alone,Amazon package metadata/state surface; not shown as enabled-state or HOME writer,Strong evidence (bounded)
package,IAmazonPackageManager,amazonpackagemanager,removeAmazonMetadataForUser,(Ljava/lang/String;Ljava/util/List;I)V,5,403229,403249,AmazonPackageManagerService.BinderService.removeAmazonMetadataForUser,95973-95990,amazon.permission.ADD_RM_PKG_METADATA; Permission denied. [checkCallingOrSelfPermission],consumed,no caller-identity marker observed,PackageManager; removeAmazonMetadataForUser,none observed,removeAmazonMetadataForUser,not established from proxy/publication alone,Amazon package metadata/state surface; not shown as enabled-state or HOME writer,Strong evidence (bounded)
package,IAmazonPackageManager,amazonpackagemanager,setAmazonFlagsForUser,(Ljava/util/List;II)V,1,403259,403280,AmazonPackageManagerService.BinderService.setAmazonFlagsForUser,95991-96008,amazon.permission.ADD_RM_PKG_METADATA; Permission denied to set amazon flags. [checkCallingOrSelfPermission],consumed,no caller-identity marker observed,PackageManager; setAmazonFlagsForUser,none observed,setAmazonFlagsForUser,not established from proxy/publication alone,Amazon package metadata/state surface; not shown as enabled-state or HOME writer,Strong evidence (bounded)
package,IAmazonPackageManager,amazonpackagemanager,setAmazonMetadataForUser,(Ljava/lang/String;Ljava/util/List;Ljava/util/List;I)V,4,403296,403318,AmazonPackageManagerService.BinderService.setAmazonMetadataForUser,96009-96026,amazon.permission.ADD_RM_PKG_METADATA; Permission denied. [checkCallingOrSelfPermission],consumed,no caller-identity marker observed,PackageManager; setAmazonMetadataForUser,none observed,setAmazonMetadataForUser,not established from proxy/publication alone,Amazon package metadata/state surface; not shown as enabled-state or HOME writer,Strong evidence (bounded)
package,IAmazonPackageManager,amazonpackagemanager,shouldAllowMicAccess,(Ljava/lang/String;)Z,8,403328,403345,AmazonPackageManagerService.BinderService.shouldAllowMicAccess,96027-96036,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,PackageManager,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
