apk,sha256
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-package-management/com.amazon.pm__0_com.amazon.pm.apk,e790e4255ca38995f395ac77bec74eadaf9b96db62e96ae75ae60448d460edf3
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-provisioning/com.amazon.kindle.otter.oobe.forced.ota__0_com.amazon.kindle.otter.oobe.forced.ota.apk,63cc2b0fd1543f688851b1f5621f6636201e3d81398644eaea3d794cda57360b
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-provisioning/com.amazon.kindle.otter.oobe__0_com.amazon.kindle.otter.oobe.apk,8a75076e9cec473846eddc48d6ff0730358f4152d13a4152f568040b52fa646a
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-settings/com.android.settings__0_TabletSettings.apk,034e39c02f80feba3974e76079fdab6af03ca67ad53fde0b46b07d493ad8ec86
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-settings-provider/com.android.providers.settings__0_SettingsProvider.apk,bc97aa63af6ec1f036f5ceff8df7deb3f6af0aaf7d205cb0ea0744b6a902f2ed
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-systemui/com.android.systemui__0_TabletSystemUI.apk,9c75f1657c9e52b9f66287c1ff92a2dfc50a135d86de149cdb4ae2bb127cc4ee
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6j/ota-additional-holders-device-20260805-01/com_amazon_application_compatibility_enforcer.apk,e0f27244b1942ffc8c0deb07c6c11ebfa51b0ea586421c030129ebba284538fc
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6j/ota-additional-holders-device-20260805-01/com_amazon_diode.apk,1bd9788b1aaae81c600991f3a88db0fa971d5a4265dc1e0cd4206b3ba2f8ca70
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6j/ota-additional-holders-device-20260805-01/com_amazon_kor_demo.apk,975cad513f5830c35310577170da3f3c08f5514826c8e9e16b11ca3abf6b5542
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6j/ota-additional-holders-device-20260805-01/com_amazon_tahoe.apk,49934edcaae1f678441b9651164a484523d1e496f659c61651310f9bde8a6581
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6j/ota-alexa-system-ota-device-20260805-01/com.amazon.alexa.multimodal.gemini.apk,3824f5f6a8ef2e6c8cb30dceaf3ea145c9757760c9f24731dcdf40f7e2c4dd20
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6j/ota-apk-ps7331-device-20260805-01/DeviceSoftwareOTA.apk,35b2cd7ab72549277b691e603039a155d26a9a850c753f80c7cda968053c88ce
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6j/ota-contracts-ps7331-device-20260805-01/DeviceSoftwareOTAContracts.apk,815e38eb47f6d9090087f9a399e1d9e5aebd1aefc441d9a82128e4f92f76685c
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6j/ota-controller-holders-static-20260805-01/com_amazon_dcp.apk,263ea61be0acd0005cf53f887f3b8a199fdfd189d4b50f25adb4bdacc53fff35
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6j/ota-controller-holders-static-20260805-01/com_amazon_kindle_otter_oobe_forced_ota.apk,63cc2b0fd1543f688851b1f5621f6636201e3d81398644eaea3d794cda57360b
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6j/ota-controller-holders-static-20260805-01/com_amazon_ssmsys.apk,58425c0112cf6820875d94d6bc859482a7f3ba5bc61dac18e974e4b023c18a70
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6j/ota-oobe-ps7331-device-20260805-01/com.amazon.kindle.otter.oobe.apk,6f8cfbeadbb777c98384ae976f875f11fdaf605dd10741674d772d7c43fe4d83
