source,source_sha256,line,class,method,setter,category,scope_observation,nearby_literals,callsite,device_mutation
decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,293738,com.amazon.android.service.action.EnableDisableComponentAction,enableDisableComponent (Ljava/lang/String;IZ)V,setApplicationEnabledSetting,amazon_product_policy,policy-file/user-list driven; trusted system service,Failed to enable/disabble component - Package Manager not available; Enabled ;  for user: ,"0526f4: 6e57 3a00 6312 |0057: invoke-virtual {v3, v6, v2, v1, v7}, Lamazon/content/pm/AmazonPackageManager;.setApplicationEnabledSetting:(Ljava/lang/String;III)V // method@003a",false
decompiled/baksmali/vdexExtractor/services/disassembly.log,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,56994,com.android.server.BluetoothManagerService,updateOppLauncherComponentState (IZ)V,setComponentEnabledSetting,standard_bluetooth_internal,fixed Bluetooth component,BluetoothManagerService; Unable to unbind service with intent: ; com.android.bluetooth; com.android.bluetooth.opp.BluetoothOppLauncherActivity,"05da2c: 7255 c107 0231 |0013: invoke-interface {v2, v0, v1, v3, v5}, Landroid/content/pm/IPackageManager;.setComponentEnabledSetting:(Landroid/content/ComponentName;III)V // method@07c1",false
decompiled/baksmali/vdexExtractor/services/disassembly.log,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,85596,com.android.server.InputMethodManagerService,updateInputMethodsFromSettingsLocked (Z)V,setApplicationEnabledSetting,other_state_writer,requires caller/data-flow review,,"07cc08: 7806 be07 0600 |0048: invoke-interface/range {v6, v7, v8, v9, v10, v11}, Landroid/content/pm/IPackageManager;.setApplicationEnabledSetting:(Ljava/lang/String;IIILjava/lang/String;)V // method@07be",false
decompiled/baksmali/vdexExtractor/services/disassembly.log,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,158798,com.android.server.am.ActivityManagerService$DevelopmentSettingsObserver,onChange ()V,setComponentEnabledSetting,standard_ams_internal,system_server fixed/system path,com.android.shell; com.android.shell.BugreportStorageProvider; development_settings_enabled,"0d7ba8: 6e40 5608 4321 |0025: invoke-virtual {v3, v4, v1, v2}, Landroid/content/pm/PackageManager;.setComponentEnabledSetting:(Landroid/content/ComponentName;II)V // method@0856",false
decompiled/baksmali/vdexExtractor/services/disassembly.log,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,500744,com.android.server.pm.PackageManagerShellCommand,runSetEnabledSetting (I)I,setApplicationEnabledSetting,standard_shell_command,shell command reaches standard PMS gate,--user; Error: no package or component specified; shell:,"2dbb62: 7806 be07 0200 |004b: invoke-interface/range {v2, v3, v4, v5, v6, v7}, Landroid/content/pm/IPackageManager;.setApplicationEnabledSetting:(Ljava/lang/String;IIILjava/lang/String;)V // method@07be",false
decompiled/baksmali/vdexExtractor/services/disassembly.log,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,500765,com.android.server.pm.PackageManagerShellCommand,runSetEnabledSetting (I)I,setComponentEnabledSetting,standard_shell_command,shell command reaches standard PMS gate,shell:; Package ;  new state: ,"2dbbc2: 7250 c107 92ac |007b: invoke-interface {v2, v9, v12, v10, v0}, Landroid/content/pm/IPackageManager;.setComponentEnabledSetting:(Landroid/content/ComponentName;III)V // method@07c1",false
decompiled/baksmali/vdexExtractor/services/disassembly.log,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,785598,com.android.server.am.ActivityManagerService,systemReady (Ljava/lang/Runnable;Landroid/util/TimingsTraceLog;)V,setComponentEnabledSetting,standard_ams_internal,system_server fixed/system path,ActivityManager; PowerManagerInternal not found.; ActivityManagerStartApps; user_setup_complete,"108d22: 7250 c107 120d |01f8: invoke-interface {v2, v1, v13, v0, v0}, Landroid/content/pm/IPackageManager;.setComponentEnabledSetting:(Landroid/content/ComponentName;III)V // method@07c1",false
decompiled/baksmali/vdexExtractor/services/disassembly.log,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,832035,com.android.server.devicepolicy.DevicePolicyManagerService,enableIfNecessary (Ljava/lang/String;I)V,setApplicationEnabledSetting,other_state_writer,requires caller/data-flow review,android.app.extra.DEVICE_ADMIN; DevicePolicyManager,"1de190: 7806 be07 0300 |0016: invoke-interface/range {v3, v4, v5, v6, v7, v8}, Landroid/content/pm/IPackageManager;.setApplicationEnabledSetting:(Ljava/lang/String;IIILjava/lang/String;)V // method@07be",false
decompiled/baksmali/vdexExtractor/services/disassembly.log,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,840319,com.android.server.devicepolicy.DevicePolicyManagerService,enableSystemApp (Landroid/content/ComponentName;Ljava/lang/String;Ljava/lang/String;)V,setApplicationEnabledSetting,other_state_writer,requires caller/data-flow review,delegation-enable-system-app; Only system apps can be enabled this way.; DevicePolicyManager,"1de234: 7806 be07 0300 |0043: invoke-interface/range {v3, v4, v5, v6, v7, v8}, Landroid/content/pm/IPackageManager;.setApplicationEnabledSetting:(Ljava/lang/String;IIILjava/lang/String;)V // method@07be",false
decompiled/baksmali/vdexExtractor/services/disassembly.log,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,954239,com.android.server.pm.PackageManagerService,setEnabledSetting (Ljava/lang/String;Ljava/lang/String;IIILjava/lang/String;)V,setComponentEnabledSetting,standard_pms_internal,system_server internal path,Invalid new component state: ; Component class ;  does not exist in ; PackageManager; Failed setComponentEnabledSetting: component class ,"2d4f32: 1a05 6c33 |0601: const-string v5, ""Failed setComponentEnabledSetting: component class "" // string@336c",false
decompiled/baksmali/vdexExtractor/services/disassembly.log,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,1021399,com.android.server.webkit.SystemImpl,enablePackageForUser (Ljava/lang/String;ZI)V,setApplicationEnabledSetting,other_state_writer,requires caller/data-flow review,user,"388692: 7806 be07 0000 |000f: invoke-interface/range {v0, v1, v2, v3, v4, v5}, Landroid/content/pm/IPackageManager;.setApplicationEnabledSetting:(Ljava/lang/String;IIILjava/lang/String;)V // method@07be",false
